code,euro1900,avexpr,logpgp95,cons1,democ00a,cons00a,extmort4,logem4,loghjypl,baseco
ABW,,,,,,,,,,
ADO,,,,,,,,,,
AFG,0.0,,,1.0,1.0,1.0,93.7,4.540098,,
AGO,8.0,5.3636365,7.770645,3.0,0.0,1.0,280.0,5.6347895,-3.4112477,1
AK,,,,,,,,,,
AL,,,,,,,,,,
ALB,,,7.6591716,,,,,,,
ANT,,,,,,,,,,
ARE,0.0,7.181818,9.804219,,,,,,,
ARG,60.000004,6.3863635,9.133459,1.0,3.0,3.0,68.9,4.232656,-0.8722738,1
ARM,0.0,,7.6824822,,,,,,,
ASM,,,,,,,,,,
ATG,,,9.108308,,,,,,,
AUS,98.0,9.318182,9.897972,7.0,10.0,7.0,8.55,2.1459312,-0.17078833,1
AUT,100.0,9.727273,9.974877,,,,,,-0.34389976,
AZE,0.0,,7.3065314,,,,,,,
BDI,0.0,,6.565265,5.0,0.0,1.0,280.0,5.6347895,-3.506558,
BEL,100.0,9.681818,9.992871,,,,,,-0.17912664,
BEN,0.0,,7.090077,3.0,0.0,1.0,266.52,5.585449,-2.8302178,
BFA,0.0,4.4545455,6.84588,3.0,0.0,1.0,280.0,5.6347895,-3.5404594,1
BGD,0.0,5.1363635,6.877296,7.0,0.0,1.0,71.41,4.268438,-2.063568,1
BGR,100.0,8.909091,8.457443,,,,,,,
BHR,0.0,8.0,9.685953,,,,,,,
BHS,10.0,7.5,9.285448,,,,85.0,4.4426513,,1
BIH,100.0,,,,,,,,,
BLR,100.0,,8.340456,,,,,,,
BLZ,20.0,,8.377932,,,1.0,163.3,5.095589,,
BMU,,,,,,1.0,,,,
BOL,30.000002,5.6363635,7.9266024,3.0,4.0,3.0,71.0,4.26268,-1.9661129,1
BRA,40.0,7.909091,8.727454,1.0,1.0,3.0,71.0,4.26268,-1.1425642,1
BRB,20.0,,9.266721,,,1.0,85.0,4.4426513,-0.90634036,
BRN,,,,,,,,,,
BTN,0.0,,,1.0,0.0,1.0,,,,
BUR,,,,,,,,,,
BWA,0.0,7.7272725,8.855093,7.0,0.0,1.0,,,-2.3644605,
CA,,,,,,,,,,
CAF,0.0,,7.192934,1.0,0.0,1.0,280.0,5.6347895,-3.4112477,
CAN,99.0,9.727273,9.986449,7.0,9.0,7.0,16.1,2.7788193,-0.060812157,1
CHE,100.0,10.0,10.120211,,,,,,-0.13467489,
CHI,,,,,,,,,,
CHL,50.0,7.818182,9.336092,1.0,5.0,7.0,68.9,4.232656,-1.3356012,1
CHN,0.0,7.7727275,7.886081,,,,118.0,4.7706847,-2.8134108,
CIV,0.0,7.0,7.4442487,1.0,0.0,1.0,668.0,6.504288,-2.3330443,1
CMR,0.0,6.4545455,7.501082,3.0,0.0,1.0,280.0,5.6347895,-2.577022,1
COG,0.0,4.681818,7.420579,4.0,0.0,1.0,240.0,5.480639,-2.1037343,1
COL,20.0,7.318182,8.809863,3.0,3.0,5.0,71.0,4.26268,-1.3318062,1
COM,5.0,,7.3839893,5.0,0.0,1.0,,,-3.3524072,
CPR,,,,,,,,,,
CPV,5.0,,7.979339,,,,,,-2.577022,
CRI,20.0,7.0454545,8.794825,3.0,10.0,7.0,78.1,4.3579903,-1.3586792,1
CT,,,,,,,,,,
CUB,,,,3.0,,3.0,,,,
CYM,,,,,,,,,,
CYP,,,,,,,,,-0.8074363,
CZE,100.0,8.863636,9.204322,,,,,,-1.5558971,
DDR,,,,,,,,,,
DE,,,,,,,,,,
DEN,,,,,,,,,,
DEU,100.0,,,,,,,,,
DEU,100.0,,9.935471,,,,,,-0.20089293,
DJI,0.0,,,,,,26.0,3.2580965,,
DMA,10.0,,8.330864,,,,85.0,,,
DNK,100.0,9.727273,10.005592,,,,,,-0.37106368,
DOM,25.0,6.181818,8.364042,3.0,1.0,3.0,130.0,4.8675346,-1.5798792,1
DZA,13.0,6.5,8.389359,2.0,0.0,1.0,78.2,4.3592696,-1.1147417,1
ECU,30.000002,6.5454545,8.470101,3.0,1.0,3.0,71.0,4.26268,-1.4396951,1
EGY,0.0,6.7727275,7.9515595,1.0,7.0,7.0,67.8,4.2165623,-1.6766466,1
ERI,0.0,,6.6200733,,,,,,,
ESP,100.0,9.681818,9.618468,,,,,,-0.38272566,
EST,100.0,,8.393895,,,,,,,
ETH,0.0,5.7272725,6.1092477,1.0,5.0,7.0,26.0,3.2580965,,1
FIN,100.0,9.727273,9.826066,,,,,,-0.3092462,
FJI,,,8.301521,7.0,0.0,1.0,11.4,2.4336133,-1.2982835,
FL,,,,,,,,,,
FRA,100.0,9.727273,9.963641,,,,2.88,1.0577903,-0.20089293,
FRO,,,,,,,,,,
FSM,,,,,,,,,,
GA,,,,,,,,,,
GAB,0.0,7.818182,8.907883,2.0,0.0,1.0,280.0,5.6347895,-1.8515095,1
GBR,100.0,9.772727,9.87817,,,,2.55,0.93609333,-0.3188288,
GEO,100.0,,7.3714895,,,,,,,
GHA,0.0,6.2727275,7.36518,1.0,0.0,1.0,668.0,6.504288,-2.9565115,1
GIN,0.0,6.5454545,7.4899707,1.0,0.0,1.0,483.0,6.1800165,-3.1465552,1
GLP,,,,,,,,,,
GMB,0.0,8.272727,7.2723985,7.0,0.0,1.0,1470.0,7.293018,-3.0365543,1
GNB,0.0,4.5454545,,3.0,0.0,1.0,164.66,5.103883,-3.2441936,
GNQ,,,,,,,,,,
GRC,100.0,7.818182,9.39765,,,,,,-0.7571525,
GRD,10.0,,8.418477,,,,85.0,,,
GRL,,,,,,,,,,
GTM,20.0,5.1363635,8.294049,1.0,0.0,1.0,71.0,4.26268,-1.5606477,1
GUF,,,,,,,,,,
GUM,,,,,,,,,,
GUY,2.0,5.8863635,7.904704,7.0,0.0,1.0,32.18,3.4713452,-2.253795,1
HKG,4.0,8.136364,10.04975,,,,14.9,2.7013612,-0.49758044,1
HND,20.0,5.318182,7.6870804,3.0,6.0,5.0,78.1,4.3579903,-2.040221,1
HRV,100.0,,8.418477,,,,,,,
HTI,0.0,3.7272727,7.1467724,1.0,0.0,1.0,130.0,4.8675346,-2.864704,1
HUN,100.0,9.0,8.809863,,,,,,-1.1809075,
IA,,,,,,,,,,
