code,euro1900,avexpr,logpgp95,cons1,cons90,ex2col,urbz1995,pd1500s,lpd1500s,lpd1000s,sjb1500,baserf
ABW,,,,,,0.0,,1.4599999,0.3784364,-0.18272163,,
ADO,,,,,,0.0,,,,,,
AFG,0.0,,,1.0,2.0,1.0,19.9,8.333333,2.1202636,,,
AGO,8.0,5.3636365,7.770645,3.0,3.0,1.0,31.0,1.5,0.4054651,-0.29035226,,
AK,,,,,,,,,,,,
AL,,,,,,,,,,,,
ALB,,,7.6591716,,,0.0,37.2,7.29927,1.9877744,1.9877744,2.5,
ANT,,,,,,0.0,69.2,1.46,0.37843648,-0.18272163,,
ARE,0.0,7.181818,9.804219,,,0.0,83.8,1.0,0.0,0.0,,
ARG,60.000004,6.3863635,9.133459,1.0,6.0,1.0,88.1,0.10962148,-2.210722,-2.616187,0.0,1
ARM,0.0,,7.6824822,,,0.0,68.6,2.66,0.97832614,0.0620354,,
ASM,,,,,,0.0,,,,,,
ATG,,,9.108308,,,0.0,35.8,1.46,0.37843648,-0.18272163,,
AUS,98.0,9.318182,9.897972,7.0,7.0,1.0,84.69,0.02603387,-3.648357,-3.648357,0.0,1
AUT,100.0,9.727273,9.974877,,,0.0,64.3,24.175028,3.1853201,2.135498,6.5,
AZE,0.0,,7.3065314,,,0.0,55.7,2.66,0.97832614,0.0620354,,
BDI,0.0,,6.565265,5.0,1.0,1.0,7.5,25.0,3.218876,2.4849067,,
BEL,100.0,9.681818,9.992871,,,0.0,96.99,38.086533,3.6398606,2.5004265,28.0,
BEN,0.0,,7.090077,3.0,1.0,1.0,38.4,4.23,1.442202,0.9902844,,
BFA,0.0,4.4545455,6.84588,3.0,1.0,1.0,15.9,4.23,1.442202,-0.9162907,,
BGD,0.0,5.1363635,6.877296,7.0,2.0,1.0,18.3,23.7,3.1654751,2.9295924,8.54,1
BGR,100.0,8.909091,8.457443,,,0.0,68.3,7.2365446,1.9791439,1.9791439,12.1,
BHR,0.0,8.0,9.685953,,,0.0,90.29,1.0,0.0,0.0,,
BHS,10.0,7.5,9.285448,,,1.0,86.5,1.46,0.37843648,-0.18272163,,
BIH,100.0,,,,,0.0,41.1,8.65,2.1575594,,5.0,
BLR,100.0,,8.340456,,,0.0,71.0,0.71,-0.34249035,-0.17554459,4.5,
BLZ,20.0,,8.377932,,,1.0,46.5,1.54,0.4317824,0.14323421,9.2,1
BMU,,,,,,0.0,99.9,1.46,0.37843648,-0.18272163,,
BOL,30.000002,5.6363635,7.9266024,3.0,7.0,1.0,60.5,0.8299674,-0.18636888,-0.591834,10.62,1
BRA,40.0,7.909091,8.727454,1.0,7.0,1.0,78.3,0.11825209,-2.1349366,-2.4916115,0.0,1
BRB,20.0,,9.266721,,,1.0,47.3,1.4599999,0.3784364,-0.18272163,,
BRN,,,,,,0.0,69.2,,,,,
BTN,0.0,,,1.0,2.0,1.0,6.0,,,,,
BUR,,,,,,,,,,,,
BWA,0.0,7.7272725,8.855093,7.0,7.0,1.0,60.0,0.14,-1.9661129,-2.6450753,,
CA,,,,,,,,,,,,
CAF,0.0,,7.192934,1.0,1.0,1.0,39.1,1.5,0.4054651,-0.29035226,,
CAN,99.0,9.727273,9.986449,7.0,7.0,1.0,76.68,0.021689693,-3.830918,-4.5240655,0.0,1
CHE,100.0,10.0,10.120211,,,0.0,61.0,20.22756,3.007046,2.0262167,7.0,
CHI,,,,,,0.0,29.45,,,,,
CHL,50.0,7.818182,9.336092,1.0,7.0,1.0,83.9,0.80128205,-0.22154227,-0.62700737,0.0,1
CHN,0.0,7.7727275,7.886081,,,0.0,30.2,11.794463,2.4676301,1.9568045,8.06,
CIV,0.0,7.0,7.4442487,1.0,2.0,1.0,43.4,4.23,1.442202,0.9902844,,
CMR,0.0,6.4545455,7.501082,3.0,2.0,1.0,44.7,1.5,0.4054651,-0.29035226,,
COG,0.0,4.681818,7.420579,4.0,2.0,1.0,58.4,1.5,0.4054651,-0.29035226,,
COL,20.0,7.318182,8.809863,3.0,6.0,1.0,72.6,0.9627419,-0.03796991,-0.5487956,7.94,1
COM,5.0,,7.3839893,5.0,5.0,1.0,30.4,4.484305,1.5005835,,,
CPR,,,,,,,,,,,,
CPV,5.0,,7.979339,,,1.0,54.3,0.5,-0.6931472,,,
CRI,20.0,7.0454545,8.794825,3.0,7.0,1.0,49.3,1.54,0.4317824,0.14323421,9.2,1
CT,,,,,,,,,,,,
CUB,,,,3.0,,1.0,75.8,0.45,-0.79850775,-0.18272163,,
CYM,,,,,,0.0,,1.46,0.37843648,-0.18272163,,
CYP,,,,,,0.0,54.07,,,,,
CZE,100.0,8.863636,9.204322,,,0.0,65.42,38.819878,3.6589324,2.2633643,6.5,
DDR,,,,,,,,,,,,
DE,,,,,,,,,,,,
DEN,,,,,,,,,,,,
DEU,100.0,,9.935471,,,0.0,86.5,18.610245,2.9237123,2.304673,8.0,
DEU,100.0,,,,,0.0,86.5,,,,,
DJI,0.0,,,,,1.0,82.1,,,,,
DMA,10.0,,8.330864,,,1.0,69.3,1.46,0.37843648,-0.18272163,,
DNK,100.0,9.727273,10.005592,,,0.0,85.21,14.140938,2.649074,2.243609,6.5,
DOM,25.0,6.181818,8.364042,3.0,6.0,1.0,61.9,1.46,0.37843648,-0.18272163,3.0,1
DZA,13.0,6.5,8.389359,2.0,2.0,1.0,55.7,6.997685,1.9455794,2.2332616,13.97,1
ECU,30.000002,6.5454545,8.470101,3.0,7.0,1.0,58.9,2.167317,0.77348995,0.3680248,10.62,1
EGY,0.0,6.7727275,7.9515595,1.0,3.0,1.0,44.6,100.457085,4.6097307,4.8328743,14.57,1
ERI,0.0,,6.6200733,,,1.0,17.1,2.0,0.6931472,0.0,,
ESP,100.0,9.681818,9.618468,,,0.0,76.45,13.014576,2.5660698,2.080562,13.0,
EST,100.0,,8.393895,,,0.0,73.0,0.71,-0.34249035,-0.17554452,4.5,
ETH,0.0,5.7272725,6.1092477,1.0,2.0,1.0,15.4,6.6666665,1.89712,1.2039728,,
FIN,100.0,9.727273,9.826066,,,0.0,63.16,3.647891,1.2941492,,6.5,
FJI,,,8.301521,7.0,7.0,1.0,40.6,,,0.2437302,,
FL,,,,,,,,,,,,
FRA,100.0,9.727273,9.963641,,,0.0,74.7,27.267769,3.3057053,2.4694574,10.5,
FRO,,,,,,0.0,,,,,,
FSM,,,,,,0.0,27.7,,,,,
GA,,,,,,,,,,,,
GAB,0.0,7.818182,8.907883,2.0,2.0,1.0,50.1,1.5,0.4054651,-0.29035226,,
GBR,100.0,9.772727,9.87817,,,0.0,89.2,17.591059,2.8673906,1.8259369,8.0,
GEO,100.0,,7.3714895,,,0.0,58.3,2.66,0.97832614,0.0620354,,
GHA,0.0,6.2727275,7.36518,1.0,1.0,1.0,35.9,4.23,1.442202,0.99028444,,
GIN,0.0,6.5454545,7.4899707,1.0,1.0,1.0,29.2,4.23,1.442202,0.99028426,,
GLP,,,,,,0.0,99.4,1.46,0.37843648,-0.18272163,,
GMB,0.0,8.272727,7.2723985,7.0,7.0,1.0,29.0,4.23,1.442202,0.9902844,,
GNB,0.0,4.5454545,,3.0,3.0,1.0,21.7,4.23,1.442202,0.9902844,,
GNQ,,,,,,0.0,42.2,1.5,0.4054651,-0.29035226,,
GRC,100.0,7.818182,9.39765,,,0.0,59.2,7.7579517,2.0487185,2.0487185,3.5,
GRD,10.0,,8.418477,,,1.0,35.8,1.46,0.37843648,-0.18272163,,
GRL,,,,,,0.0,,,,,,
GTM,20.0,5.1363635,8.294049,1.0,4.0,1.0,38.9,1.5400001,0.43178245,0.14323421,9.2,1
GUF,,,,,,0.0,,1.46,0.37843648,-0.18272156,,
GUM,,,,,,0.0,38.3,,,,,
GUY,2.0,5.8863635,7.904704,7.0,4.0,1.0,35.4,0.213,-1.5464631,-0.18272163,0.0,1
HKG,4.0,8.136364,10.04975,,,1.0,95.03,0.0873446,-2.437894,,3.0,1
HND,20.0,5.318182,7.6870804,3.0,5.0,1.0,43.8,1.54,0.4317824,0.14323421,9.2,1
HRV,100.0,,8.418477,,,0.0,55.8,8.65,2.1575594,1.9021075,5.0,
HTI,0.0,3.7272727,7.1467724,1.0,1.0,1.0,31.8,1.3200002,0.27763188,-0.18272163,3.0,1
HUN,100.0,9.0,8.809863,,,0.0,64.6,13.536929,2.6054215,1.6891307,6.5,
IA,,,,,,,,,,,,
IDN,0.0,7.590909,8.070906,1.0,2.0,1.0,35.4,4.278057,1.453499,0.72756195,7.27,1
IL,,,,,,,,,,,,
IMY,,,,,,0.0,,,,,,
IN,,,,,,,,,,,,
IND,0.0,8.272727,7.326,7.0,7.0,1.0,26.8,23.7,3.1654751,2.9295924,8.54,1
IRL,,9.727273,9.769384,,,0.0,57.5,11.612716,2.4521008,1.4712714,,
IRN,0.0,4.7727275,8.605204,,,0.0,59.03,8.000001,2.0794415,2.2243903,14.61,
IRQ,0.0,1.6363636,,,,0.0,74.5,11.349999,2.4292176,3.129561,7.4,
ISL,100.0,9.727273,9.943669,,,0.0,91.5,60.000004,4.0943446,3.909526,,
ISR,0.0,8.545455,9.784141,,,0.0,90.7,8.334,2.1203434,2.1210632,12.7,
ITA,100.0,9.454545,9.897972,,,0.0,66.63,34.006664,3.5265565,2.8334093,17.5,
JAM,1.9,7.090909,8.188689,7.0,7.0,1.0,53.7,4.62,1.5303947,-0.1827217,3.0,1
JAP,,,,,,,,,,,,
JOR,0.0,6.7727275,8.171882,,,0.0,71.4,41.67,3.7297814,3.7297013,,
JPN,0.0,9.727273,10.034077,,,0.0,78.1,282.1895,5.642579,4.313443,6.5,
KAZ,,,8.131531,,,0.0,59.6,0.875,-0.13353139,-0.47000363,4.5,
KEN,0.0,6.0454545,7.056175,5.0,3.0,1.0,28.6,2.6355555,0.969094,0.34048524,,
KGZ,,,7.575585,,,0.0,38.8,0.875,-0.13353139,-0.47000363,,
KHM,,,7.1228666,,,0.0,20.4,8.497621,2.1397862,1.7343211,,
KIR,,,,,,0.0,35.7,,,,,
KNA,10.0,,8.890135,,,1.0,34.0,1.4600002,0.37843654,-0.18272163,,
KOR,0.0,8.636364,9.415728,,,0.0,81.28,40.514534,3.7016609,3.2316573,8.68,
KWT,0.0,7.0454545,9.803667,,,0.0,97.0,1.0,0.0,1.7248487,,
KY,,,,,,,,,,,,
LA,,,,,,,,,,,,
LAO,0.0,,7.090077,5.0,3.0,1.0,20.7,1.7331022,0.549913,-0.1432342,7.27,1
LBN,,,8.637639,,,0.0,87.5,15.0,2.7080503,2.7080503,,
LBR,0.0,3.6363637,,7.0,1.0,0.0,45.0,4.23,1.442202,0.9902844,,
LBY,0.0,5.2727275,,3.0,1.0,1.0,85.3,14.208259,2.6538234,2.6538234,8.74,
LCA,10.0,,8.558335,,,1.0,37.2,1.46,0.37843648,-0.18272163,,
LIE,,,,,,0.0,,,,,,
LKA,0.0,6.0454545,7.7319307,7.0,5.0,1.0,22.1,15.472691,2.7390766,2.515933,8.54,1
LSO,0.0,,7.3065314,7.0,1.0,1.0,24.0,0.49138,-0.7105375,,,
LTU,100.0,,8.237479,,,0.0,72.0,0.71,-0.34249035,-0.17554459,4.5,
LUX,100.0,10.0,10.28875,,,0.0,89.08,18.6,2.9231615,,,
LVA,100.0,,8.154788,,,0.0,72.8,0.71,-0.34249035,-0.17554459,4.5,
MA,,,,,,,,,,,,
MAC,,,,,,0.0,98.8,,,,,
MAR,1.0,7.090909,8.042378,1.0,2.0,1.0,51.8,9.083697,2.2064812,2.4941635,17.79,1
MCO,,,,,,0.0,,,,,,
MD,,,,,,,,,,,,
MDA,100.0,,7.377759,,,0.0,51.6,0.71,-0.34249035,1.2441546,3.0,
MDG,0.0,4.4545455,6.8351846,4.0,3.0,1.0,26.4,1.2037005,0.18540059,-1.0673624,,
MDV,,,8.116715,,,0.0,26.9,,,,,
ME,,,,,,,,,,,,
MEX,15.000001,7.5,8.943768,3.0,3.0,1.0,73.4,2.6195977,0.96302074,0.45219514,14.84,1
MHL,,,,,,0.0,,,,,,
MI,,,,,,,,,,,,
MKD,100.0,,8.061487,,,0.0,59.86,8.65,2.1575594,1.9021075,5.0,
MLI,0.0,4.0,6.565265,3.0,1.0,1.0,26.8,1.0,0.0,-0.40546507,,
MLT,,7.2272725,9.427063,,,0.0,89.32,62.5,4.1351666,,,
MMR,0.0,5.7727275,,7.0,1.0,1.0,25.8,6.0831876,1.8055289,1.1123817,8.48,
MNG,0.0,7.3636365,7.2997975,,,0.0,60.8,0.382,-0.9623347,-1.141991,,
MNP,,,,,,0.0,,,,,,
MO,,,,,,,,,,,,
MOZ,2.5,6.5,6.461468,2.0,3.0,1.0,33.8,1.2753638,0.24323148,-0.96074134,,
MRT,0.0,,7.4145727,5.0,3.0,1.0,51.2,3.0,1.0986123,0.6931472,,
MS,,,,,,,,,,,,
MTQ,20.0,,9.54,,,0.0,93.3,1.46,0.37843648,-0.18272163,,
MUS,5.0,,9.053686,7.0,7.0,1.0,40.5,0.0,,,,
MWI,2.7,6.818182,6.461468,1.0,1.0,1.0,13.5,0.79,-0.2357223,-0.92381895,,
MYS,0.0,7.9545455,8.8942585,7.0,7.0,1.0,53.6,1.2174706,0.19677547,-0.49637172,7.27,1
MYT,,,,,,0.0,,,,,,
NAM,0.0,,8.515191,3.0,3.0,1.0,36.0,0.14,-1.9661129,-2.6450753,,
NC,,,,,,,,,,,,
NCL,,,,,,0.0,62.0,,,,,
NER,0.0,5.0,6.733402,3.0,3.0,1.0,18.2,1.0,0.0,-0.40546507,,
NGA,0.0,5.5454545,6.8134446,7.0,1.0,1.0,39.5,4.23,1.442202,0.9902844,,
NH,,,,,,,,,,,,
NIC,20.0,5.2272725,7.544332,1.0,3.0,1.0,62.1,1.54,0.4317824,0.14323421,9.2,1
NJ,,,,,,,,,,,,
NLD,100.0,10.0,9.896966,,,0.0,89.02,26.533018,3.27839,2.1797776,23.0,
NOR,100.0,9.954545,10.023933,,,0.0,73.17,43.455116,3.7717285,3.0785813,6.5,
NPL,0.0,,6.937314,1.0,7.0,1.0,10.3,13.986014,2.638058,2.3503757,,
NY,,,,,,,,,,,,
NZL,93.0,9.727273,9.756147,7.0,7.0,1.0,85.9,0.37,-0.99425226,,3.0,1
OAN,,,,,,,,,,,,
OH,,,,,,,,,,,,
OMN,0.0,7.1363635,9.208339,,,0.0,75.6,1.0,0.0,-0.060436357,,
PA,,,,,,,,,,,,
PAK,0.0,6.0454545,7.3524413,1.0,3.0,1.0,34.3,23.7,3.1654751,2.9295924,8.54,1
PAN,20.0,5.909091,8.836374,3.0,7.0,1.0,55.6,1.54,0.4317824,0.14323421,9.2,1
PER,30.000002,5.7727275,8.396154,1.0,7.0,1.0,70.9,1.5625,0.4462871,0.15860502,10.49,1
PHL,1.0,5.4545455,8.098643,3.0,7.0,1.0,54.0,1.6768957,0.5169443,-1.0924935,3.0,1
PLW,,,,,,0.0,,,,,,
PNG,0.0,7.2727275,,7.0,7.0,1.0,16.0,1.53,0.42526773,,3.0,
POL,100.0,7.681818,8.655214,,,0.0,63.7,13.139741,2.5756414,1.4124905,6.0,
POR,,,,,,,,,,,,
PRI,,,,,,0.0,73.3,5.64,1.729884,-0.18272163,,
PRK,0.0,,,,,0.0,61.2,,,,,
PRT,100.0,9.181818,9.489486,,,0.0,35.59,13.661202,2.61456,1.8805907,12.0,
PRY,25.0,6.9545455,8.207947,1.0,5.0,1.0,52.4,0.50339794,-0.6863743,-1.3795215,0.0,1
PYF,,,,,,0.0,56.4,1.53,0.42526773,,,
QAT,0.0,7.7272725,9.685331,,,0.0,91.4,1.0,0.0,0.0,,
REU,,,,,,0.0,67.7,0.0,,,,
RI,,,,,,,,,,,,
ROM,100.0,7.2727275,8.387085,,,0.0,55.9,8.6828165,2.161346,1.2450552,3.0,
RUS,100.0,8.454545,8.405144,,,0.0,75.9,0.7105427,-0.34172627,-1.4398311,4.5,
RWA,0.0,,6.4769726,1.0,1.0,1.0,5.7,25.0,3.218876,2.4849067,,
