key,title,paper,category,tags,frequency,country,source_url,notes
bbe2005,"Bernanke, Boivin and Eliasz (2005) FAVAR panel",bbe2005,Monetary policy,"monetary-policy|favar|factor-model|var|large-panel|us",monthly,US,https://academic.oup.com/qje/article/120/1/387/1931468,"120 transformed macro series (BBE Table A.1 transformation codes already applied) plus the fed funds rate. Variable descriptions in bbe2005-variables.csv."
bq1989,"Blanchard and Quah (1989) output growth and unemployment",bq1989,Business cycles,"svar|long-run-restrictions|demand-supply-shocks|us",quarterly,US,https://www.jstor.org/stable/1827924,"Demeaned/detrended series as used in the paper: real GNP growth and the unemployment rate."
gk2015,"Gertler and Karadi (2015) monetary VAR with high-frequency instruments",gk2015,Monetary policy,"monetary-policy|proxy-svar|high-frequency|credit-spread|us",monthly,US,https://www.aeaweb.org/articles?id=10.1257/mac.20130329,"Log CPI, log IP, policy rates, Treasury yields, Gilchrist-Zakrajsek EBP, mortgage and CP spreads. ff_exp1yr is NA before 1983."
sw2001,"Stock and Watson (2001) three-variable VAR",sw2001,Monetary policy,"var|textbook|inflation|unemployment|fed-funds|us",quarterly,US,https://www.aeaweb.org/articles?id=10.1257/jep.15.4.101,"Inflation (annualised QoQ), unemployment and the fed funds rate, 1960Q1-2000Q4."
u2005,"Uhlig (2005) sign-restriction monetary VAR",u2005,Monetary policy,"monetary-policy|sign-restrictions|svar|reserves|us",monthly,US,https://doi.org/10.1016/j.jmoneco.2004.05.007,"Real GDP (interpolated), CPI, commodity prices, fed funds, non-borrowed and total reserves."
psy2015,"Phillips, Shi and Yu (2015) S&P 500 price-dividend ratio",psy2015,Asset prices,"bubbles|explosive-roots|gsadf|stock-market|dividends|us",monthly,US,http://www.econ.yale.edu/~shiller/data.htm,"Real S&P 500 price and dividend from Shiller's data, price-dividend ratio and its 1973-01 = 100 index. Used in the `exuber` package."
kl2017,"Kilian and Lutkepohl (2017) textbook monetary VAR",kl2017,Monetary policy,"var|textbook|inflation|fed-funds|gdp-growth|us",quarterly,US,https://sites.google.com/site/lkilian2019/textbook,"Real GDP growth, fed funds rate and inflation, 1954Q4-2007Q4 (Chapter 2)."
oil,"Kilian and Lutkepohl (2017) textbook oil VAR",kl2017,Oil and energy,"var|textbook|oil|inflation|gdp-growth|us",quarterly,US,https://sites.google.com/site/lkilian2019/textbook,"Real oil price growth, inflation and real GDP growth, 1973Q1-2013Q2 (Chapter 2)."
nber_rec,"NBER business cycle reference dates",,Business cycles,"recessions|nber|reference-dates|us",irregular,US,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,"Peak and trough months and contraction length in months. Handy for shading recessions in plots."
r2016_monetary,"Ramey (2016) monetary shocks panel",r2016,Monetary policy,"monetary-policy|shocks|romer-romer|gertler-karadi|high-frequency|narrative|local-projections|us",monthly,US,https://econweb.ucsd.edu/~vramey/research.html,"Handbook Section 3 data: log IP, unemployment, CPI, fed funds, commodity prices, consumption; Romer-Romer shocks (Wieland update to 2007), Gertler-Karadi surprises, Barakchian-Crowe and Sims-Zha shocks, GZ excess bond premium, Wu-Xia shadow rate, five Stock-Watson factors."
r2016_govt,"Ramey (2016) government spending panel",r2016,Fiscal policy,"fiscal-policy|government-spending|military-news|multipliers|nipa|us",quarterly,US,https://econweb.ucsd.edu/~vramey/research.html,"Handbook Section 4 data: nominal NIPA components and deflators, hours, population, T-bill, CBO potential GDP, Ramey military news, Fisher-Peters excess returns, Ben Zeev-Pappa defense news."
r2016_tech,"Ramey (2016) technology shocks panel",r2016,Productivity,"technology-shocks|tfp|news-shocks|fernald|productivity|us",quarterly,US,https://econweb.ucsd.edu/~vramey/research.html,"Handbook Section 5 data: Fernald TFP (raw and utilization-adjusted), business output and hours, relative price of investment, plus identified technology and news shocks from Francis et al., Beaudry-Portier, Barsky-Sims, Ben Zeev-Khan, JPT and Miyamoto-Nguyen."
r2016_tax,"Ramey (2016) tax shocks panel",r2016,Fiscal policy,"fiscal-policy|tax|narrative|romer-romer|mertens-ravn|us",quarterly,US,https://econweb.ucsd.edu/~vramey/research.html,"Handbook Section 4 data: real NIPA aggregates, tax receipts, Romer-Romer exogenous/endogenous tax changes, Mertens-Ravn unanticipated and anticipated tax shocks, Leeper-Richter-Walker tax expectations."
rz2018,"Ramey and Zubairy (2018) US historical fiscal data",rz2018,Fiscal policy,"fiscal-policy|multipliers|military-news|local-projections|state-dependence|historical|us",quarterly,US,https://econweb.ucsd.edu/~vramey/research.html,"Quarterly government purchases (most series from 1889, population from 1875), GDP, deflator, unemployment, military news, T-bill, ZLB dummy, potential GDP, debt and receipts. Standard dataset for state-dependent multipliers."
gz2012,"Gilchrist and Zakrajsek (2012) credit spread and excess bond premium",gz2012,Financial conditions,"credit-spread|excess-bond-premium|financial|recession-probability|us",monthly,US,https://www.federalreserve.gov/econres/notes/feds-notes/updating-the-recession-risk-and-the-excess-bond-premium-20161006.html,"GZ spread, excess bond premium and implied 12-month recession probability, updated monthly by the Fed Board. Snapshot taken 2026-09."
