key,title,paper,category,tags,frequency,country,source_url,notes
ajr2001,"Acemoglu, Johnson and Robinson (2001) settler mortality and institutions",ajr2001,Development and growth,"institutions|settler-mortality|instrumental-variables|colonial-origins|property-rights|cross-country",cross-section,Cross-country,https://economics.mit.edu/people/faculty/daron-acemoglu/data-archive,"186 countries with at least one non-missing variable from maketable1.dta (the 64-country baseco==1 sample is the paper's main regression sample): (log) European settler mortality, average protection against expropriation risk 1985-95, log GDP per capita PPP 1995, constraints on the executive/democracy in 1900 and at independence. From the Acemoglu data archive, freely downloadable for research; content verified against known table values (e.g. US extmort4 = 15)."
ajr2002,"Acemoglu, Johnson and Robinson (2002) reversal of fortune",ajr2002,Development and growth,"institutions|urbanization|population-density|colonialism|reversal-of-fortune|cross-country",cross-section,Cross-country,https://economics.mit.edu/people/faculty/daron-acemoglu/data-archive,"203 countries with at least one non-missing outcome/historical variable from maketable1.dta (the 41-country baserf==1 sample is the paper's main regression sample): log GDP per capita PPP 1995, urbanization 1995, population density and log population density in 1500 and 1000 AD, ever-a-European-colony dummy, constraints on the executive 1990. Same archive/terms as [ajr2001]."
ajry2008,"Acemoglu, Johnson, Robinson and Yared (2008) income and democracy panel",ajry2008,Development and growth,"democracy|income|polity|freedom-house|panel|cross-country",5-year panel,Cross-country,https://economics.mit.edu/people/faculty/daron-acemoglu/data-archive,"2321 country x 5-year-period observations (1950-2000) from the ""5 Year Panel"" sheet of Income and Democracy Data AER adjustment.xls: log real GDP per capita, log population, Freedom House political rights, Polity IV score, savings rate, labour share, age structure, education, socialist/sample flags. Column definitions in data-raw/variables/development.csv."
aj2007,"Acemoglu and Johnson (2007) disease, life expectancy and development",aj2007,Health,"life-expectancy|epidemiological-transition|mortality|gdp-per-capita|panel|cross-country",10-year panel,Cross-country,https://economics.mit.edu/people/faculty/daron-acemoglu/data-archive,"4257 country x decade observations (1900-2000, disease.dta, main analysis columns only) with life expectancy, the predicted global-mortality instrument (constructed from the epidemiological transition), Maddison population and GDP levels, and the sample/startXXX flags used in the paper's base and long-difference specifications. Column definitions in data-raw/variables/development.csv."
hj1999,"Hall and Jones (1999) output per worker and social infrastructure",hj1999,Development and growth,"output-per-worker|social-infrastructure|growth-accounting|cross-country",cross-section,Cross-country,https://web.stanford.edu/~chadj/,"152 countries (the ""basic data"" table of HallJones400.asc): log output, capital and human capital per worker, TFP (logA), government anti-diversion policy index (gadp), openness, social infrastructure index, language and geography controls, c. 1988. Column definitions in data-raw/variables/development.csv."
j2002,"Jones (2002) sources of US economic growth",j2002,Development and growth,"growth-accounting|ideas|research-intensity|tfp|us",annual,US,https://web.stanford.edu/~chadj/,"US annual growth-accounting series 1950-1993 (main table of Sources50.asc): real GDP, hours, capital stock, GDP per hour, capital-output ratio, saving rate, average educational attainment and TFP (A). Scientists/employment tables for France, Germany, Japan, UK and the G-5 total in the same file are not included."
chks2014,"Chetty, Hendren, Kline and Saez (2014) intergenerational mobility by commuting zone",chks2014,Inequality,"intergenerational-mobility|social-mobility|commuting-zones|income|us",cross-section,US,https://opportunityinsights.org/data/,"741 commuting zones (Online Data Table V of the CHKS online data tables): relative and absolute upward mobility for the 1980-82 birth cohort plus by-sex, by-cohort, income-definition and covariate-adjusted variants, and college attendance/quality and teenage-birth outcome mobility. Column definitions (from the source's own variable dictionary) in data-raw/variables/development.csv."
cghhmn2017,"Chetty et al. (2017) absolute income mobility by birth cohort",cghhmn2017,Inequality,"absolute-mobility|intergenerational-mobility|birth-cohort|income|us",annual,US,https://opportunityinsights.org/data/,"45 birth cohorts (1940-1984) x 100 parent-income percentiles, long: the share of children earning more than their parents (abs_mob) at each parent percentile, plus the cohort's overall absolute mobility rate (cohort_mean) and the share of parents with zero/negative income (par_frac0). From table1_national_absmob_by_cohort_parpctile.xlsx."
chetty2016,"Chetty et al. (2016) life expectancy by household income percentile",chetty2016,Health,"life-expectancy|income|mortality|health-inequality|us",cross-section,US,https://healthinequality.org/data/,"National life expectancy at age 40 by household income percentile (1-100) and sex, 2001-2014 (health_ineq_online_table_1.csv, raw and race-adjusted, with standard errors). Released by the authors under a CC0 licence (public domain); cite the 2016 JAMA paper. State-level table in [chetty2016_state]."
chetty2016_state,"Chetty et al. (2016) life expectancy by income quartile and state",chetty2016,Health,"life-expectancy|income|mortality|health-inequality|states|us",cross-section,US,https://healthinequality.org/data/,"Life expectancy at 40 by household income quartile (Q1-Q4), sex and US state, 2001-2014, with standard errors and cell counts (health_ineq_online_table_3.csv). Same CC0 licence as [chetty2016]; national table there."
ps2003,"Piketty and Saez (2003) top income shares, updated to 2024",ps2003,Inequality,"top-incomes|income-shares|fractiles|tax-data|inequality|us",annual,US,https://eml.berkeley.edu/~saez/,"Top fractile shares of income excluding capital gains, 1913-2024 (Table A1 of TabFig2024.xlsx, the latest vintage of Saez's updated series): cumulative shares P90-100 through P99.99-100 and within-bracket shares P90-95 through P99.9-99.99. No licence stated on the site; freely downloadable, cite the paper."
psz2018,"Piketty, Saez and Zucman (2018) distributional national accounts income shares",psz2018,Inequality,"national-income|pre-tax|post-tax|income-shares|dina|us",annual,US,https://gabriel-zucman.eu/usdina/,"Equal-split pre-tax and post-tax national income shares of the bottom 50%, middle 40%, top 10% and top 1% (plus pre-tax top 0.1%), 1913-2014 (Data sheet of PSZ2018MainData.xlsx; bottom 50%/middle 40% and all post-tax series start in 1962 when individualized micro data begin). No licence stated on the site; freely downloadable, cite the paper."
sz2016,"Saez and Zucman (2016) top wealth shares",sz2016,Inequality,"wealth|wealth-shares|capitalization-method|inequality|us",annual,US,https://gabriel-zucman.eu/uswealth/,"Top wealth shares by capitalizing income tax returns, 1913-2012 (DataFig1-6-7b sheet of SaezZucman2015MainData.xlsx, Figure 1 series): bottom 90%, top 10%, top 5%, top 1%, top 0.5%, top 0.1% and top 0.01% wealth shares. No licence stated on the site; freely downloadable, cite the paper."
