key,title,paper,category,tags,frequency,country,source_url,notes
ck1994,"Card and Krueger (1994) New Jersey-Pennsylvania fast-food survey",ck1994,Labour,"minimum-wage|employment|difference-in-differences|fast-food|survey|us",panel (2 waves),US,https://davidcard.berkeley.edu/data_sets.html,"410 fast-food stores surveyed just before (wave 1, Feb-Mar 1992) and about 8 months after (wave 2, Nov-Dec 1992) New Jersey's minimum-wage increase; Pennsylvania stores are the comparison group. From the public njmin.zip archive (public.dat + codebook); no licence restriction stated. Column dictionary in data-raw/variables/labour.csv, built from the zip's codebook."
al1999,"Angrist and Lavy (1999) Israel class size (Maimonides' rule)",al1999,Education,"class-size|regression-discontinuity|maimonides-rule|test-scores|education|israel",cross-section,Israel,https://economics.mit.edu/people/faculty/josh-angrist/angrist-data-archive,"4th and 5th grade classes (final4.dta/final5.dta stacked, grade column) in Israeli public schools, c. 1991, used to instrument class size with Maimonides' rule (max 40 pupils per class). Column dictionary (partial, main variables) in data-raw/variables/labour.csv; town names are in Hebrew and may not render in all locales."
a1990_a,"Angrist (1990) Vietnam draft lottery, FICA earnings cells 1964-1977",a1990,Labour,"draft-lottery|instrumental-variables|veteran-status|earnings|social-security|us",annual panel,US,https://economics.mit.edu/people/faculty/josh-angrist/angrist-data-archive,"Grouped Social Security (Continuous Work History Sample) earnings cells by birth cohort (1944-1953), race, draft-lottery-number interval (73 bins of 5 numbers) and calendar year 1964-1977; mean/sd/n of FICA-taxable earnings per cell (cwhsa.dta). Column names as in the source file; see [a1990_b] for the 1978-1984 extension."
a1990_b,"Angrist (1990) Vietnam draft lottery, FICA and W-2 earnings cells 1978-1984",a1990,Labour,"draft-lottery|instrumental-variables|veteran-status|earnings|social-security|us",annual panel,US,https://economics.mit.edu/people/faculty/josh-angrist/angrist-data-archive,"Same cell structure as [a1990_a] (birth cohort x race x lottery interval x year) for 1978-1984, with both FICA-taxable and total W-2 compensation (type column, cwhsb.dta)."
aai2002,"Abadie, Angrist and Imbens (2002) JTPA training experiment",aai2002,Labour,"jtpa|randomized-experiment|quantile-treatment-effects|training|earnings|us",cross-section,US,https://economics.mit.edu/people/faculty/josh-angrist/angrist-data-archive,"11,204 JTPA (Job Training Partnership Act) applicants with random assignment to training (jtpa.raw), 30-month earnings and covariates; used for the paper's quantile treatment effect estimates. Column meanings recovered from the comments in the archive's qeffectsfinal.m; hsorged/married/wkless13 are hot-deck-imputed and may be fractional."
al2009,"Angrist and Lavy (2009) high school achievement awards RCT",al2009,Education,"randomized-experiment|achievement-awards|bagrut|matriculation|education|israel",annual panel,Israel,https://economics.mit.edu/people/faculty/josh-angrist/angrist-data-archive,"Individual-level panel of Israeli high school students in schools randomized into an achievement-award program, cohorts 2000-2002 (base00/01/02.dta stacked; the pre-experiment base99 baseline cohort is not included). Official codebook reproduced in data-raw/variables/labour.csv; student/school ids are fictitious and not consistent across the archive's Stata and SAS files."
alo2009,"Angrist, Lang and Oreopoulos (2009) Canadian STAR incentives RCT",alo2009,Education,"randomized-experiment|financial-incentives|academic-support|gpa|education|canada",cross-section,Canada,https://economics.mit.edu/people/faculty/josh-angrist/angrist-data-archive,"1,656 first-year students at a Canadian university randomized into support-services and/or grade-incentive (STAR) treatments; grades, credits, and survey responses (STAR_public_use.dta). Column dictionary from the archive's readme.txt."
abk2006,"Angrist, Bettinger and Kremer (2006) Colombia voucher long-run follow-up",abk2006,Education,"school-vouchers|paces|randomized-experiment|icfes|test-scores|colombia",cross-section,Colombia,https://economics.mit.edu/people/faculty/josh-angrist/angrist-data-archive,"4,044 PACES voucher-lottery applicants matched (by id/name/city) to their national ICFES exam records 5-8 years after the lottery, with math and reading scores (aerdata_colombia2.dta). Companion long-run file to [abbkk2002]."
abbkk2002,"Angrist, Bettinger, Bloom, King and Kremer (2002) Colombia PACES voucher lottery",abbkk2002,Education,"school-vouchers|paces|randomized-experiment|education|colombia",cross-section,Colombia,https://economics.mit.edu/people/faculty/josh-angrist/angrist-data-archive,"Bogota (1995, 1997) and Jamundi (1993) PACES voucher-lottery survey respondents (1,618 of the 25,330 applicants in the full aerdat4.sas7bdat, filtered to BOG95SMP/BOG97SMP/JAM93SMP==1 and 27 of its 89 columns to stay under the package's per-object size budget); demographics, grade repetition and progression, and labour-market outcomes. Full file kept at data-raw/abbkk2002/ for anyone who needs the other columns."
adh2013,"Autor, Dorn and Hanson (2013) China trade shock, commuting zones",adh2013,Labour,"china-shock|import-competition|trade|manufacturing|employment|commuting-zones|us",10-year panel,US,https://www.ddorn.net/data.htm,"722 US commuting zones x 2 periods (1990-2000, 2000-2007); start-of-period levels (l_ prefix) and 10-year-equivalent changes (d_ prefix) in manufacturing employment, wages and Chinese import exposure per worker, plus the Autor-Dorn-Hanson instrument. Subset of 31 of the 208 columns in workfile_china.dta (main-table variables only) to fit the package's size budget; cite the paper per the data page's access policy."
duflo2001,"Duflo (2001) Indonesia INPRES school construction, regency-level variables",duflo2001,Education,"school-construction|inpres|instrumental-variables|returns-to-schooling|indonesia",cross-section,Indonesia,https://github.com/droodman/Duflo-2001,"308 birth regencies: number of INPRES primary schools built 1973-1978, 1971 child population/enrollment/density, program-intensity instruments and the Java/poor indicators used in the paper's Table 6. From David Roodman's replication repository (MIT licence); the underlying 1995 SUPAS/SUSENAS micro files are not redistributable and are not included."
