st,stateabbrv,statename,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,sd_le_agg_q1_F,sd_le_raceadj_q1_F,sd_le_agg_q2_F,sd_le_raceadj_q2_F,sd_le_agg_q3_F,sd_le_raceadj_q3_F,sd_le_agg_q4_F,sd_le_raceadj_q4_F,sd_le_agg_q1_M,sd_le_raceadj_q1_M,sd_le_agg_q2_M,sd_le_raceadj_q2_M,sd_le_agg_q3_M,sd_le_raceadj_q3_M,sd_le_agg_q4_M,sd_le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
1,AL,Alabama,81.208611,82.228058,83.856339,84.474808,85.357079,85.808136,86.899963,87.224434,74.194298,75.376083,78.726929,79.430519,81.755196,82.262962,84.116356,84.49781,.091293953,.11666798,.10264802,.10965104,.12113114,.12434945,.14973865,.15035358,.068455532,.1083641,.089632198,.10527096,.11598545,.12573311,.13311483,.13747026,3419114,2803243,2520347,2119247,2862389,2728540,2481761,2005954
2,AK,Alaska,82.583572,82.348953,83.815147,83.712013,85.854538,85.585838,87.157089,87.16877,76.531036,76.639389,80.32373,80.524376,82.330803,82.445099,85.398438,85.575829,.33839086,.33955711,.36807653,.37382165,.30707479,.32140312,.29940796,.2988449,.25443128,.25340441,.29463685,.29335475,.27807727,.27634391,.25999761,.25546613,287869,364928,439382,528988,339042,374547,484283,537646
4,AZ,Arizona,82.646103,82.151314,84.398926,84.147186,85.876945,85.781685,87.412048,87.435135,77.445061,77.007629,80.674591,80.474632,82.738091,82.700462,85.126984,85.230026,.096449837,.1141299,.108588,.11930052,.10909873,.11578956,.12067553,.12458663,.076080568,.088039763,.092998669,.099302582,.10698533,.10996675,.11182424,.11257195,3281760,3395651,3120125,3014634,3288830,3113884,2943030,2875894
5,AR,Arkansas,80.595299,81.310768,83.675117,84.12365,85.25621,85.637344,87.324226,87.601463,74.9888,75.763702,79.100021,79.606911,81.674553,82.115067,83.796753,84.158447,.10819105,.11672823,.13233517,.13867043,.16471018,.16345578,.19294953,.18890008,.087307453,.1093381,.11318759,.12632927,.15040496,.16008736,.1888808,.19163491,2070245,1804408,1490854,1025154,1882283,1762111,1408915,949898
6,CA,California,84.436256,82.946465,84.858124,83.530724,86.082794,84.965134,87.839706,86.939842,79.961792,78.731621,81.351509,80.364868,83.101517,82.369225,85.62487,85.161736,.042002473,.18072177,.048643224,.1832623,.048499428,.17298901,.043219864,.17871538,.033241622,.11811631,.043159887,.12632297,.045641381,.12349968,.042866692,.13012137,20215088,18383557,18250582,23014857,20578421,17762051,17285647,22682795
8,CO,Colorado,82.919159,82.387817,85.034241,84.839043,86.571106,86.47332,88.507103,88.555649,78.062561,77.599342,81.584465,81.448418,84.032951,84.001686,86.519722,86.636421,.12107423,.13789091,.12362355,.12867339,.11925945,.12424204,.11244871,.11398306,.093545876,.10144992,.10801014,.11097763,.11199899,.11346551,.11293595,.1135636,2259475,2756610,3056413,3490654,2328427,2657580,2974157,3396603
9,CT,Connecticut,82.611183,82.566223,84.401299,84.575111,86.087318,86.28476,87.94558,88.111473,77.372452,77.378212,80.43161,80.646988,82.977402,83.235397,85.785011,86.014069,.14721729,.14723547,.1381377,.13558309,.13205212,.13247423,.11503885,.11751066,.12309182,.12271325,.11930601,.12049609,.11928069,.12239413,.10882482,.11286979,1434310,1913025,2419573,3500466,1368737,1743518,2275935,3358897
10,DE,Delaware,81.028885,81.685738,83.491249,84.005775,85.458023,85.889015,87.630486,87.717789,74.90432,75.667274,79.428833,79.998352,82.302002,82.788818,85.027878,85.234688,.2376758,.23527321,.2498147,.24478465,.25260511,.24544355,.26959628,.26880419,.20120434,.20627618,.22532497,.22569701,.23713514,.23504609,.24115741,.23813522,449706,546751,579557,608615,404807,482162,544101,576733
11,DC,District Of Columbia,80.295586,81.959274,83.293297,84.548447,84.896484,85.870918,87.841988,88.300339,74.652733,76.546844,78.323997,79.807358,81.609039,82.686958,86.4487,86.927116,.29110718,.36245301,.30332714,.34947032,.35727027,.37031347,.32679763,.31774545,.22442009,.30871612,.30931824,.36400595,.40137663,.40521359,.30993664,.29847571,334980,319991,249932,338132,362550,257422,188010,327016
12,FL,Florida,83.125664,82.855927,84.634071,84.430626,86.054153,85.911194,87.676147,87.599136,77.329628,77.187881,80.241531,80.131927,82.476212,82.421837,85.079178,85.078964,.046982791,.076888077,.058209009,.074846141,.062023643,.074028008,.068061315,.076711327,.038810715,.055299439,.049775045,.060188737,.060044758,.065617904,.065163925,.06917683,13398561,11438087,9454997,8610905,12807322,10520680,8736183,8228656
