code,country,sample,imputed,logyl,logkl,alogky,school,loghl,loga,logl,mining,ecorg,socinf,yrsopen,gadp,engfrac,eurfrac,log_frankrom,latitude
DZA,Algeria,1,1,9.35998,10.30679,0.47341,2.39,0.32026,8.56631,15.49508,0.053,0,0.26467,0.0,0.529,0.0,0.006,2.637,36.72
AGO,Angola,1,1,7.06252,6.55136,-0.25558,3.09874,0.41523,6.90287,15.27232,0.268,0,0.21333,0.0,0.427,0.0,0.0,2.443,-8.843
BEN,Benin,1,1,7.64465,7.54174,-0.05146,0.7,0.0938,7.60231,14.56503,0.009,0,0.24366,0.111,0.376,0.0,0.0,3.742,6.364
BWA,Botswana,1,0,8.10645,9.19876,0.54615,3.7,0.4958,7.0645,12.90912,0.533,5,0.53428,0.356,0.713,0.0,0.0,3.179,-21.536
BFA,Burkina faso,1,1,6.95208,6.76837,-0.09186,3.78991,0.50785,6.53609,15.26451,0.001,1,0.24917,0.0,0.498,0.0,0.0,2.646,12.049
BDI,Burundi,1,1,6.96107,6.45657,-0.25225,2.0008,0.26811,6.94521,14.81593,0.01,4,0.2639,0.0,0.528,0.0,0.0,3.213,-3.365
CMR,Cameroon,1,0,7.90249,8.04404,0.07078,2.23,0.29882,7.53289,15.39862,0.088,5,0.35928,0.156,0.563,0.0,0.0,2.759,10.73
CPV,Cape Verde Is.,1,1,7.89261,8.77808,0.44274,3.32931,0.44613,7.00375,11.80398,0.006,1,0.22907,0.071,0.387,0.0,0.7,3.809,15.091
CAF,Central Afr.R.,1,1,7.06854,6.88849,-0.09002,1.26,0.16884,6.98973,14.14141,0.03,3,0.20988,0.0,0.42,0.0,0.0,2.717,4.331
TCD,Chad,1,1,7.03664,5.88198,-0.57733,2.60203,0.34867,7.2653,14.45478,0.002,5,0.27702,0.0,0.554,0.0,0.0,2.485,10.377
COM,Comoros,1,1,7.13227,7.76796,0.31784,3.02373,0.40518,6.40925,12.2015,0.072,5,0.50838,0.45,0.567,0.0,0.0,3.845,-11.671
COG,Congo,1,0,8.3692,8.50015,0.06547,3.14,0.42076,7.88296,13.77979,0.168,1,0.20733,0.0,0.415,0.0,0.0,3.249,-3.684
DJI,Djibouti,0,0,,,,,,,,0.0,5,,,,0.0,0.04,4.262,11.505
EGY,Egypt,1,1,8.80153,8.12542,-0.33805,5.09748,0.64685,8.49273,16.44067,0.034,1,0.2755,0.0,0.551,0.0,0.0,2.464,29.996
ETH,Ethiopia,0,0,,,,,,,,0.001,0,0.19933,0.0,0.399,0.0,0.0,2.133,9.007
GAB,Gabon,1,1,8.62377,10.05713,0.71668,2.2546,0.30212,7.60497,13.11948,0.215,5,0.28683,0.0,0.574,0.0,0.06,3.423,0.372
GMB,Gambia,1,0,7.44872,7.09654,-0.17609,0.84,0.11256,7.51226,12.86139,0.0,5,0.39494,0.222,0.568,0.0,0.0,3.955,13.257
GHA,Ghana,1,0,7.52507,7.10491,-0.21008,3.22,0.43148,7.30367,15.61004,0.016,3,0.38128,0.222,0.54,0.0,0.0,2.938,6.694
GIN,Guinea,1,1,7.32935,6.90698,-0.21119,2.35965,0.31619,7.22434,14.74638,0.077,5,0.35183,0.2,0.504,0.0,0.0,3.176,11.671
GNB,Guinea-biss,1,0,7.23673,7.8341,0.29869,0.56,0.07504,6.863,12.99862,0.0,1,0.25872,0.178,0.34,0.0,0.0,3.743,12.262
CIV,Ivory Coast,1,1,8.14367,8.44026,0.14829,2.92846,0.39241,7.60297,15.30041,0.029,5,0.31283,0.0,0.626,0.0,0.0,2.808,5.496
KEN,Kenya,1,0,7.59978,7.91873,0.15947,3.09,0.41406,7.02625,16.13396,0.002,5,0.31306,0.044,0.582,0.0,0.0,2.524,-0.513
LSO,Lesotho,1,1,7.71105,7.83689,0.06292,3.51,0.47034,7.17779,13.58411,0.003,5,0.55154,0.442,0.661,0.0,0.0,3.028,-29.595
LBR,Liberia,0,0,,,,1.84,,,,0.099,5,,,0.197,0.025,0.025,3.395,6.385
MDG,Madagascar,1,1,7.27352,5.76262,-0.75545,3.97152,0.53218,7.49678,15.38647,0.077,1,0.238,0.0,0.476,0.0,0.0,2.293,-18.958
MWI,Malawi,1,1,6.95436,7.07719,0.06142,2.58,0.34572,6.54722,15.04978,0.081,5,0.25133,0.0,0.503,0.0,0.0,2.539,-15.811
MLI,Mali,1,0,7.11335,6.72355,-0.1949,0.82,0.10988,7.19837,15.01342,0.012,1,0.23328,0.156,0.311,0.0,0.0,2.549,12.508
MRT,Mauritania,1,1,7.48643,8.30818,0.41087,2.51832,0.33746,6.7381,13.55026,0.069,3,0.20314,0.0,0.406,0.0,0.0,3.154,17.925
MUS,Mauritius,1,1,9.13435,9.05985,-0.03725,4.59,0.59559,8.57601,13.30256,0.001,5,0.85193,1.0,0.704,0.003,0.567,3.438,-20.232
MAR,Morocco,1,1,8.80027,8.74085,-0.02971,5.07048,0.64412,8.18586,15.82804,0.029,3,0.50372,0.444,0.563,0.0,0.0,2.542,33.593
MOZ,Mozambique,1,1,7.23258,6.02818,-0.6022,1.08,0.14472,7.69007,15.83146,0.083,1,0.268,0.0,0.536,0.0,0.012,2.408,-18.499
NAM,Namibia,1,1,8.83613,10.1921,0.67798,3.41427,0.45751,7.70063,12.92347,0.252,3,0.3685,0.275,0.462,0.067,0.088,3.059,-17.979
NER,Niger,1,0,6.91856,7.0498,0.06562,0.54,0.07236,6.78058,15.08021,0.076,5,0.257,0.0,0.514,0.0,0.0,2.515,13.876
NGA,Nigeria,1,1,7.44531,8.21654,0.38561,1.46423,0.19621,6.86349,17.49199,0.208,4,0.214,0.0,0.428,0.0,0.0,2.161,6.543
REU,Reunion,1,1,8.98686,9.57269,0.29292,3.91338,0.52439,8.16955,12.36342,0.025,3,0.40274,0.337,0.469,0.0,0.91,3.687,-20.954
RWA,Rwanda,1,1,7.32246,6.5857,-0.36838,0.84,0.11256,7.57829,14.98935,0.002,1,0.19339,0.0,0.387,0.0,0.0,3.266,-2.032
SEN,Senegal,1,0,7.8399,7.26072,-0.28959,2.39,0.32026,7.80923,14.97867,0.005,4,0.24333,0.0,0.487,0.0,0.0,2.989,14.772
SYC,Seychelles,1,1,8.93834,9.41304,0.23735,2.22702,0.29842,8.40257,10.29484,0.001,1,0.22783,0.106,0.35,0.029,0.047,4.442,-4.664
SLE,Sierra leone,1,0,7.72941,6.1593,-0.78506,1.72,0.23048,8.28399,14.18447,0.061,5,0.199,0.0,0.398,0.0,0.0,3.325,8.701
SOM,Somalia,1,1,7.45231,7.58918,0.06844,2.28781,0.30657,7.0773,15.02743,0.003,1,0.16017,0.0,0.32,0.0,0.0,2.701,10.633
ZAF,South africa,1,0,9.09035,9.90849,0.40907,4.95,0.63195,8.04932,16.31631,0.111,3,0.41428,0.089,0.74,0.09,0.09,2.186,-29.13
SDN,Sudan,1,1,7.76558,8.31243,0.27343,0.91,0.12194,7.37021,15.85791,0.0,4,0.16711,0.026,0.308,0.0,0.0,2.395,14.043
SWZ,Swaziland,1,1,8.66969,9.00675,0.16853,3.77,0.50518,7.99598,12.61879,0.012,5,0.53117,0.46,0.602,0.0,0.0,4.041,-26.545
TZA,Tanzania,1,0,7.02424,7.0657,0.02073,2.29,0.30686,6.69665,16.20584,0.002,0,0.27567,0.0,0.551,0.0,0.0,2.395,-2.154
TGO,Togo,1,0,7.25061,7.89372,0.32156,2.13,0.28542,6.64363,14.14261,0.092,1,0.22283,0.0,0.446,0.0,0.0,3.725,6.194
