dataset,variable,description
ajry2008,code,3-letter country code
ajry2008,country,Country name
ajry2008,year,Start year of the 5-year period
ajry2008,age_midage,Percent of population age 30-45
ajry2008,age_old,Percent of population age 45-60
ajry2008,age_veryold,Percent of population age 60+
ajry2008,age_veryyoung,Percent of population age 0-15
ajry2008,age_young,Percent of population age 15-30
ajry2008,education,Average schooling years
ajry2008,fhpolrigaug,Augmented Freedom House political rights index
ajry2008,laborshare,Labor share of gross value added (%)
ajry2008,lpop,Log total population (thousands)
ajry2008,lrgdpch,Log real GDP per capita (Penn World Table)
ajry2008,medage,Median age of the population
ajry2008,nsave,Nominal savings rate: (Y-C-G)/Y
ajry2008,polity4,Polity IV democracy/autocracy index
ajry2008,socialist,Dummy for Soviet bloc / iron-curtain countries
ajry2008,sample,Dummy for the paper's base regression sample
ajry2008,worldincome,Trade-weighted world income instrument
ajry2008,worlddemocracy,Trade-weighted world democracy instrument
ajry2008,samplebalancefe,Dummy for the balanced panel used in fixed-effects regressions
ajry2008,samplebalancegmm,Dummy for the balanced panel used in GMM regressions
aj2007,country,Country name
aj2007,ctry,Numeric country code used by the authors
aj2007,year,Decade (1900-2000 in 10-year steps)
aj2007,lifeexpect,Life expectancy at birth
aj2007,loglifeexpect,Log life expectancy at birth
aj2007,globmort1000,Predicted mortality from the international epidemiological-transition instrument (deaths per 1000)
aj2007,maddpop,"Population (Maddison, thousands)"
aj2007,logmaddpop,Log population (Maddison)
aj2007,totalmaddgdp,Total real GDP (Maddison)
aj2007,logtotalmaddgdp,Log total real GDP (Maddison)
aj2007,gdppcmadd,Real GDP per capita (Maddison)
aj2007,loggdppcmadd,Log real GDP per capita (Maddison)
aj2007,sample40,Dummy for the paper's 1940-1980 base sample
aj2007,sample80,Dummy for the paper's 1980-2000 base sample
aj2007,startrich,Dummy: country in the richest tercile of GDP per capita in the initial year
aj2007,startmedium,Dummy: country in the middle tercile of GDP per capita in the initial year
aj2007,startpoor,Dummy: country in the poorest tercile of GDP per capita in the initial year
aj2007,above_medmort,Dummy: predicted mortality (globmort1000) above the sample median
hj1999,code,3-letter country code
hj1999,country,Country name
hj1999,sample,1 if the country is in the paper's 127-country sample
hj1999,imputed,1 if any of the country's data were imputed
hj1999,logyl,Log output per worker (mining netted out)
hj1999,logkl,Log physical capital per worker
hj1999,alogky,"a * log(capital-output ratio), a = alpha/(1-alpha)"
hj1999,school,Average years of schooling
hj1999,loghl,Log human capital per worker
hj1999,loga,Log total factor productivity (Solow residual)
hj1999,logl,Log employment/labor force
hj1999,mining,Fraction of GDP produced by mining and quarrying (c. 1988)
hj1999,ecorg,Freedom House (1994) type-of-economic-organization score (4-5 = capitalist)
hj1999,socinf,Social infrastructure index: 0.5 * (gadp + yrsopen)
hj1999,yrsopen,Fraction of years 1950-94 the economy was open to trade (Sachs-Warner)
hj1999,gadp,Government anti-diversion policy index
hj1999,engfrac,Fraction of the population speaking English
hj1999,eurfrac,Fraction of the population speaking a major West European language
hj1999,log_frankrom,Log of the Frankel-Romer gravity-model predicted trade share
hj1999,latitude,Degrees of latitude (signed)
chks2014,cz,Commuting zone ID
chks2014,cz_name,Commuting zone name
chks2014,state,State abbreviation
chks2014,children_in_1980_82_cohorts,Number of children in the 1980-82 birth cohorts used to estimate the mobility statistics
chks2014,am_80_82_cohort,"Absolute upward mobility (rank of a child with parent at the 25th percentile), core sample"
chks2014,rm_80_82_cohort,"Relative mobility (child-rank on parent-rank slope), core sample"
chks2014,p_child_in_q5_parent_in_q1_80_85_cohort,"P(child in top quintile | parent in bottom quintile), 1980-85 cohorts"
chks2014,am_college_attendance,Predicted college attendance rate for a child with parent at the 25th percentile
chks2014,rm_college_attendance,Slope of college attendance (18-21) on parent income rank
