dataset,variable,description
bw2006,SENT,"Sentiment index; updated version of Eq. (2) in Baker-Wurgler (2006); first principal component of five standardized sentiment proxies"
bw2006,SENT_ORTH,"Sentiment index orthogonalized to six macro indicators; updated version of Eq. (3) in Baker-Wurgler (2006)"
bw2006,pdnd,"Value-weighted dividend premium (log P/B of dividend payers minus non-payers), t-12 value"
bw2006,ripo,"First-day IPO returns, 12-month trailing NIPO-weighted average, t-12 value"
bw2006,nipo,"Number of IPOs, 12-month trailing sum"
bw2006,cefd,"Closed-end fund discount (unlevered general equity funds, equal-weighted)"
bw2006,s,"Equity share in new issues: equity issuance over equity+debt issuance, 12-month trailing"
bw2006,indpro,"Industrial production index"
bw2006,consdur,"Nominal durable goods consumption"
bw2006,consnon,"Nominal nondurable goods consumption"
bw2006,consserv,"Nominal services consumption"
bw2006,recess,"NBER recession indicator (1 = recession)"
bw2006,employ,"Employment"
bw2006,cpi,"Consumer price index"
fr2009,tothrs,"Sprague-method total hours worked, billions"
fr2009,avgwkhrs,"Average weekly hours, unadjusted"
fr2009,avgwkhrs_adj,"Average weekly hours, demographically adjusted"
fr2009,effhrsvw,"Efficiency hours, variable wage weights"
fr2009,effhrstorn,"Efficiency hours, Tornqvist index"
fr2009,civnipop16,"Civilian noninstitutional population, ages 16+"
fr2009,nipop16,"Total noninstitutional population, ages 16+"
fr2009,nipop16_17,"Noninstitutional population, ages 16-17"
fr2009,nipop18_21,"Noninstitutional population, ages 18-21"
fr2009,nipop22_24,"Noninstitutional population, ages 22-24"
fr2009,nipop25_34,"Noninstitutional population, ages 25-34"
fr2009,nipop35_44,"Noninstitutional population, ages 35-44"
fr2009,nipop45_54,"Noninstitutional population, ages 45-54"
fr2009,nipop55_64,"Noninstitutional population, ages 55-64"
fr2009,nipop65,"Noninstitutional population, ages 65+"
fr2009,gengovhrs,"General government hours"
fr2009,nprofhrs,"Nonprofit sector hours"
fr2009,bushrs,"Business sector hours"
fr2009,effhrs70,"Efficiency hours, fixed 1970 wage weights"
fr2009,effhrs80,"Efficiency hours, fixed 1980 wage weights"
fr2009,effhrs7080,"Efficiency hours, fixed 1970-80 average wage weights"
fr2009,rgdp,"Real GDP"
fr2009,xbus,"Labour productivity in the private business sector"
fr2009,hrsbusindex,"Index of hours in the private business sector"
fr2009,fisherdlp,"Fisher chain-weighted log change in labour productivity (input to investment-specific technology change); missing before 2006"
fr2009,dlp,"Log change in labour productivity; missing before 2006"
fr2009,ffr,"Federal funds rate; missing before 2006"
gwz2024_monthly,price,"S&P 500 price index level"
gwz2024_monthly,d12,"12-month trailing dividends"
gwz2024_monthly,e12,"12-month trailing earnings"
gwz2024_monthly,ret,"S&P 500 return including dividends (CRSP)"
gwz2024_monthly,retx,"S&P 500 return excluding dividends (CRSP)"
gwz2024_monthly,AAA,"Moody's AAA-rated corporate bond yield"
gwz2024_monthly,BAA,"Moody's BAA-rated corporate bond yield"
gwz2024_monthly,lty,"Long-term government bond yield"
gwz2024_monthly,ltr,"Long-term government bond return"
gwz2024_monthly,corpr,"Long-term corporate bond return"
gwz2024_monthly,tbl,"Treasury bill rate (3-month)"
gwz2024_monthly,Rfree,"Risk-free rate"
gwz2024_monthly,dp,"Dividend-price ratio (log d12/price)"
gwz2024_monthly,dy,"Dividend yield (log d12/lagged price)"
gwz2024_monthly,ep,"Earnings-price ratio (log e12/price)"
gwz2024_monthly,de,"Dividend-payout ratio (log d12/e12)"
gwz2024_monthly,bm,"Book-to-market ratio, Dow Jones Industrial Average"
gwz2024_monthly,tms,"Term spread (long-term yield minus T-bill rate)"
gwz2024_monthly,dfy,"Default yield spread (BAA minus AAA)"
gwz2024_monthly,dfr,"Default return spread (corporate bond minus long-term government bond return)"
gwz2024_monthly,infl,"CPI inflation, lagged one month"
gwz2024_monthly,eqis,"Equity issuing activity (net equity expansion)"
gwz2024_monthly,ntis,"Net equity expansion, alternative"
gwz2024_monthly,svar,"Stock market variance (sum of squared daily returns)"
gwz2024_monthly,cay,"Consumption-wealth ratio (Lettau-Ludvigson)"
gwz2024_monthly,ik,"Investment-to-capital ratio"
gwz2024_monthly,csp,"Cross-sectional premium"
gwz2024_monthly,pce,"Personal consumption expenditure growth"
gwz2024_monthly,vp,"Variance premium"
gwz2024_monthly,impvar,"Implied variance"
gwz2024_monthly,vrp,"Variance risk premium"
gwz2024_monthly,govik,"Government investment-to-capital ratio"
gwz2024_monthly,lzrt,"Long-term zero-coupon real rate"
gwz2024_monthly,skew,"Skewness measure"
gwz2024_monthly,crdstd,"Credit standards tightening index"
gwz2024_monthly,ogap,"Output gap"
gwz2024_monthly,wtexas,"West Texas crude oil price growth"
gwz2024_monthly,accrul,"Accruals"
gwz2024_monthly,cfacc,"Cash-flow-based accruals"
gwz2024_monthly,sntm,"Sentiment measure"
gwz2024_monthly,ndrbl,"New orders for durable goods"
gwz2024_monthly,skvw,"Value-weighted skewness"
gwz2024_monthly,tail,"Tail risk measure"
gwz2024_monthly,fbm,"Fama-Bliss forward spread / book-to-market variant"
gwz2024_monthly,dtoy,"Detrended turnover, year"
gwz2024_monthly,dtoat,"Detrended turnover, alternative"
gwz2024_monthly,ygap,"Yield gap"
gwz2024_monthly,rdsp,"R&D spending ratio"
gwz2024_monthly,rsvix,"Realized-vs-implied variance spread"
gwz2024_monthly,gpce,"Growth in personal consumption expenditure"
gwz2024_monthly,gip,"Growth in industrial production"
gwz2024_monthly,tchi,"Technical/momentum indicator"
gwz2024_monthly,house,"Housing collateral ratio"
gwz2024_monthly,avgcor,"Average pairwise stock return correlation"
gwz2024_monthly,shtint,"Short interest"
gwz2024_monthly,disag,"Analyst forecast disagreement"
