dataset,variable,description
ck1994,sheet,Sheet number (unique store id)
ck1994,chain,"Chain: 1=Burger King, 2=KFC, 3=Roy Rogers, 4=Wendy's"
ck1994,co_owned,1 if company owned
ck1994,state,"1 if New Jersey, 0 if Pennsylvania"
ck1994,southj,1 if in southern NJ
ck1994,centralj,1 if in central NJ
ck1994,northj,1 if in northern NJ
ck1994,pa1,"1 if in PA, northeast suburbs of Philadelphia"
ck1994,pa2,"1 if in PA, Easton etc."
ck1994,shore,1 if on the NJ shore
ck1994,ncalls,Wave 1: number of call-backs (0 if reached on first call)
ck1994,empft,Wave 1: number of full-time employees
ck1994,emppt,Wave 1: number of part-time employees
ck1994,nmgrs,Wave 1: number of managers/assistant managers
ck1994,wage_st,Wave 1: starting wage ($/hour)
ck1994,inctime,Wave 1: months to usual first raise
ck1994,firstinc,Wave 1: usual amount of first raise ($/hour)
ck1994,bonus,Wave 1: 1 if cash bounty offered for new workers
ck1994,pctaff,Wave 1: percent of employees affected by the new minimum wage
ck1994,meals,"Wave 1: free/reduced-price meal code (0 none, 1 free, 2 reduced, 3 both)"
ck1994,open,Wave 1: hour of opening
ck1994,hrsopen,Wave 1: number of hours open per day
ck1994,psoda,"Wave 1: price of medium soda, including tax"
ck1994,pfry,"Wave 1: price of small fries, including tax"
ck1994,pentree,"Wave 1: price of an entree, including tax"
ck1994,nregs,Wave 1: number of cash registers in the store
ck1994,nregs11,Wave 1: number of registers open at 11:00 am
ck1994,type2,"Wave 2 interview type: 1=phone, 2=personal"
ck1994,status2,"Wave 2 interview status (0 refused ... 5 closed, mall fire)"
ck1994,date2,Date of the wave 2 interview
ck1994,ncalls2,Wave 2: number of call-backs
ck1994,empft2,Wave 2: number of full-time employees
ck1994,emppt2,Wave 2: number of part-time employees
ck1994,nmgrs2,Wave 2: number of managers/assistant managers
ck1994,wage_st2,Wave 2: starting wage ($/hour)
ck1994,inctime2,Wave 2: months to usual first raise
ck1994,firstin2,Wave 2: usual amount of first raise ($/hour)
ck1994,special2,Wave 2: 1 if a special program for new workers
ck1994,meals2,Wave 2: free/reduced-price meal code
ck1994,open2r,Wave 2: hour of opening
ck1994,hrsopen2,Wave 2: number of hours open per day
ck1994,psoda2,"Wave 2: price of medium soda, including tax"
ck1994,pfry2,"Wave 2: price of small fries, including tax"
ck1994,pentree2,"Wave 2: price of an entree, including tax"
ck1994,nregs2,Wave 2: number of cash registers in the store
