dataset,variable,description
eampd,date,Date of the Governing Council monetary policy event
eampd,ois_sw,1-week EONIA/€STR OIS rate change in the event window (basis points)
eampd,ois_1m,1-month OIS rate change (basis points)
eampd,ois_3m,3-month OIS rate change (basis points)
eampd,ois_6m,6-month OIS rate change (basis points)
eampd,ois_1y,1-year OIS rate change (basis points)
eampd,ois_2y,2-year OIS rate change (basis points)
eampd,ois_3y,3-year OIS rate change (basis points)
eampd,ois_4y,4-year OIS rate change (basis points)
eampd,ois_5y,5-year OIS rate change (basis points)
eampd,ois_6y,6-year OIS rate change (basis points)
eampd,ois_7y,7-year OIS rate change (basis points)
eampd,ois_8y,8-year OIS rate change (basis points)
eampd,ois_9y,9-year OIS rate change (basis points)
eampd,ois_10y,10-year OIS rate change (basis points)
eampd,ois_15y,15-year OIS rate change (basis points)
eampd,ois_20y,20-year OIS rate change (basis points)
eampd,de3m,3-month German government bond yield change (basis points)
eampd,de6m,6-month German government bond yield change (basis points)
eampd,de1y,1-year German government bond yield change (basis points)
eampd,de2y,2-year German government bond yield change (basis points)
eampd,de3y,3-year German government bond yield change (basis points)
eampd,de4y,4-year German government bond yield change (basis points)
eampd,de5y,5-year German government bond yield change (basis points)
eampd,de6y,6-year German government bond yield change (basis points)
eampd,de7y,7-year German government bond yield change (basis points)
eampd,de8y,8-year German government bond yield change (basis points)
eampd,de9y,9-year German government bond yield change (basis points)
eampd,de10y,10-year German government bond yield change (basis points)
eampd,de15y,15-year German government bond yield change (basis points)
eampd,de20y,20-year German government bond yield change (basis points)
eampd,de30y,30-year German government bond yield change (basis points)
eampd,it2y,2-year Italian government bond yield change (basis points)
eampd,fr2y,2-year French government bond yield change (basis points)
eampd,es2y,2-year Spanish government bond yield change (basis points)
eampd,it5y,5-year Italian government bond yield change (basis points)
eampd,es5y,5-year Spanish government bond yield change (basis points)
eampd,fr5y,5-year French government bond yield change (basis points)
eampd,es10y,10-year Spanish government bond yield change (basis points)
eampd,fr10y,10-year French government bond yield change (basis points)
eampd,it10y,10-year Italian government bond yield change (basis points)
eampd,stoxx50,EURO STOXX 50 index percent change
eampd,sx7e,EURO STOXX Banks index percent change
eampd,eurusd,EUR/USD exchange rate percent change
eampd,eurgbp,EUR/GBP exchange rate percent change
eampd,eurjpy,EUR/JPY exchange rate percent change
eampd_pr,date,Date of the Governing Council monetary policy event
eampd_pr,ois_sw,1-week EONIA/€STR OIS rate change in the event window (basis points)
eampd_pr,ois_1m,1-month OIS rate change (basis points)
eampd_pr,ois_3m,3-month OIS rate change (basis points)
eampd_pr,ois_6m,6-month OIS rate change (basis points)
eampd_pr,ois_1y,1-year OIS rate change (basis points)
eampd_pr,ois_2y,2-year OIS rate change (basis points)
eampd_pr,ois_3y,3-year OIS rate change (basis points)
eampd_pr,ois_4y,4-year OIS rate change (basis points)
eampd_pr,ois_5y,5-year OIS rate change (basis points)
eampd_pr,ois_6y,6-year OIS rate change (basis points)
eampd_pr,ois_7y,7-year OIS rate change (basis points)
eampd_pr,ois_8y,8-year OIS rate change (basis points)
eampd_pr,ois_9y,9-year OIS rate change (basis points)
eampd_pr,ois_10y,10-year OIS rate change (basis points)
eampd_pr,ois_15y,15-year OIS rate change (basis points)
eampd_pr,ois_20y,20-year OIS rate change (basis points)
eampd_pr,de3m,3-month German government bond yield change (basis points)
eampd_pr,de6m,6-month German government bond yield change (basis points)
eampd_pr,de1y,1-year German government bond yield change (basis points)
eampd_pr,de2y,2-year German government bond yield change (basis points)
eampd_pr,de3y,3-year German government bond yield change (basis points)
eampd_pr,de4y,4-year German government bond yield change (basis points)
eampd_pr,de5y,5-year German government bond yield change (basis points)
eampd_pr,de6y,6-year German government bond yield change (basis points)
eampd_pr,de7y,7-year German government bond yield change (basis points)
eampd_pr,de8y,8-year German government bond yield change (basis points)
eampd_pr,de9y,9-year German government bond yield change (basis points)
eampd_pr,de10y,10-year German government bond yield change (basis points)
eampd_pr,de15y,15-year German government bond yield change (basis points)
eampd_pr,de20y,20-year German government bond yield change (basis points)
eampd_pr,de30y,30-year German government bond yield change (basis points)
eampd_pr,it2y,2-year Italian government bond yield change (basis points)
eampd_pr,fr2y,2-year French government bond yield change (basis points)
eampd_pr,es2y,2-year Spanish government bond yield change (basis points)
eampd_pr,it5y,5-year Italian government bond yield change (basis points)
eampd_pr,es5y,5-year Spanish government bond yield change (basis points)
eampd_pr,fr5y,5-year French government bond yield change (basis points)
eampd_pr,es10y,10-year Spanish government bond yield change (basis points)
eampd_pr,fr10y,10-year French government bond yield change (basis points)
eampd_pr,it10y,10-year Italian government bond yield change (basis points)
eampd_pr,stoxx50,EURO STOXX 50 index percent change
eampd_pr,sx7e,EURO STOXX Banks index percent change
eampd_pr,eurusd,EUR/USD exchange rate percent change
eampd_pr,eurgbp,EUR/GBP exchange rate percent change
eampd_pr,eurjpy,EUR/JPY exchange rate percent change
eampd_pc,date,Date of the Governing Council monetary policy event
eampd_pc,ois_sw,1-week EONIA/€STR OIS rate change in the event window (basis points)
eampd_pc,ois_1m,1-month OIS rate change (basis points)
eampd_pc,ois_3m,3-month OIS rate change (basis points)
eampd_pc,ois_6m,6-month OIS rate change (basis points)
eampd_pc,ois_1y,1-year OIS rate change (basis points)
eampd_pc,ois_2y,2-year OIS rate change (basis points)
eampd_pc,ois_3y,3-year OIS rate change (basis points)
eampd_pc,ois_4y,4-year OIS rate change (basis points)
eampd_pc,ois_5y,5-year OIS rate change (basis points)
eampd_pc,ois_6y,6-year OIS rate change (basis points)
eampd_pc,ois_7y,7-year OIS rate change (basis points)
eampd_pc,ois_8y,8-year OIS rate change (basis points)
eampd_pc,ois_9y,9-year OIS rate change (basis points)
eampd_pc,ois_10y,10-year OIS rate change (basis points)
eampd_pc,ois_15y,15-year OIS rate change (basis points)
eampd_pc,ois_20y,20-year OIS rate change (basis points)
eampd_pc,de3m,3-month German government bond yield change (basis points)
eampd_pc,de6m,6-month German government bond yield change (basis points)
eampd_pc,de1y,1-year German government bond yield change (basis points)
eampd_pc,de2y,2-year German government bond yield change (basis points)
eampd_pc,de3y,3-year German government bond yield change (basis points)
eampd_pc,de4y,4-year German government bond yield change (basis points)
eampd_pc,de5y,5-year German government bond yield change (basis points)
eampd_pc,de6y,6-year German government bond yield change (basis points)
eampd_pc,de7y,7-year German government bond yield change (basis points)
eampd_pc,de8y,8-year German government bond yield change (basis points)
eampd_pc,de9y,9-year German government bond yield change (basis points)
eampd_pc,de10y,10-year German government bond yield change (basis points)
eampd_pc,de15y,15-year German government bond yield change (basis points)
eampd_pc,de20y,20-year German government bond yield change (basis points)
eampd_pc,de30y,30-year German government bond yield change (basis points)
eampd_pc,it2y,2-year Italian government bond yield change (basis points)
eampd_pc,fr2y,2-year French government bond yield change (basis points)
eampd_pc,es2y,2-year Spanish government bond yield change (basis points)
eampd_pc,it5y,5-year Italian government bond yield change (basis points)
eampd_pc,es5y,5-year Spanish government bond yield change (basis points)
eampd_pc,fr5y,5-year French government bond yield change (basis points)
eampd_pc,es10y,10-year Spanish government bond yield change (basis points)
eampd_pc,fr10y,10-year French government bond yield change (basis points)
eampd_pc,it10y,10-year Italian government bond yield change (basis points)
eampd_pc,stoxx50,EURO STOXX 50 index percent change
eampd_pc,sx7e,EURO STOXX Banks index percent change
