"byr","race","interval","year","type","vmn1","vsd1","vnu1","vnms1","vfin1","ctr1","ltax","xltax"
1944,1,1,1978,"TAXAB",10625.58,7052.47,179,3,0.179000005125999,15,0.296000003814697,0.217999994754791
1944,1,2,1978,"TAXAB",11546.46,8032.55,182,5,0.197999998927116,15,0.368000000715256,0.263999998569489
1944,1,3,1978,"TAXAB",11401.16,7508.27,209,1.5,0.195999994874001,15,0.33500000834465,0.254000008106232
1944,1,4,1978,"TAXAB",10899.99,7342.6,206,1.5,0.188999995589256,15,0.310999989509583,0.247999995946884
1944,1,5,1978,"TAXAB",11667.14,7507.56,207,0,0.158999994397163,15,0.41499999165535,0.361999988555908
1944,1,6,1978,"TAXAB",11191.45,7251.15,177,5,0.152999997138977,15,0.305000007152557,0.225999996066093
1944,1,7,1978,"TAXAB",10804.34,7450.33,192,1.5,0.181999996304512,15,0.312999993562698,0.275999993085861
1944,1,8,1978,"TAXAB",10467.22,7349.47,143,5,0.245000004768372,15,0.321999996900558,0.280000001192093
1944,1,9,1978,"TAXAB",11051.14,7766.3,198,4,0.202000007033348,15,0.303000003099442,0.216999992728233
1944,1,10,1978,"TAXAB",10919,7529.37,222,7,0.197999998927116,15,0.293000012636185,0.207000002264977
1944,1,11,1978,"TAXAB",11062.26,7445.47,176,4,0.199000000953674,15,0.358000010251999,0.300999999046326
1944,1,12,1978,"TAXAB",10334.19,7812.5,161,7,0.224000006914139,15,0.266999989748001,0.224000006914139
1944,1,13,1978,"TAXAB",11688.34,7687.5,185,8,0.178000003099442,15,0.33500000834465,0.270000010728836
1944,1,14,1978,"TAXAB",11214.74,7225.73,186,4,0.150999993085861,15,0.328000009059906,0.268999993801117
1944,1,15,1978,"TAXAB",10550.23,7285.69,162,4,0.216000005602837,15,0.308999985456467,0.228000000119209
1944,1,16,1978,"TAXAB",10593.6,7341.52,136,5,0.228000000119209,15,0.272000014781952,0.199000000953674
1944,1,17,1978,"TAXAB",11416.43,7138.68,191,4,0.151999995112419,15,0.345999985933304,0.272000014781952
1944,1,18,1978,"TAXAB",11487.44,7024.36,192,3,0.160999998450279,15,0.375,0.317999988794327
1944,1,19,1978,"TAXAB",10352.94,7693.51,197,1.5,0.248999997973442,15,0.279000014066696,0.233999997377396
1944,1,20,1978,"TAXAB",10650.24,7478.31,179,0,0.189999997615814,15,0.317999988794327,0.26800000667572
1944,1,21,1978,"TAXAB",11008,7841.86,216,5,0.185000002384186,15,0.351999998092651,0.273000001907349
1944,1,22,1978,"TAXAB",10542.54,7176.95,204,1.5,0.210999995470047,15,0.308999985456467,0.239999994635582
1944,1,23,1978,"TAXAB",10306.97,7385.87,191,4,0.187999993562698,15,0.324999988079071,0.293000012636185
1944,1,24,1978,"TAXAB",11211.89,7481.63,178,7,0.135000005364418,15,0.34799998998642,0.257999986410141
1944,1,25,1978,"TAXAB",11244.42,7747.73,161,1.5,0.186000004410744,15,0.342000007629395,0.261000007390976
1944,1,26,1978,"TAXAB",10626.68,7426.83,183,6,0.186000004410744,15,0.28999999165535,0.202000007033348
1944,1,27,1978,"TAXAB",10864.52,7627.37,148,5,0.223000004887581,15,0.296999990940094,0.236000001430511
1944,1,28,1978,"TAXAB",11644.94,7330.9,184,7,0.167999997735023,15,0.342000007629395,0.282999992370605
1944,1,29,1978,"TAXAB",11381.89,7052.53,197,7,0.167999997735023,15,0.349999994039536,0.29899999499321
1944,1,30,1978,"TAXAB",10323.13,7505.32,170,4,0.217999994754791,15,0.340999990701675,0.293999999761581
1944,1,31,1978,"TAXAB",10268.75,7597.97,187,1.5,0.224999994039536,15,0.305000007152557,0.250999987125397
1944,1,32,1978,"TAXAB",12419.87,7819.97,208,3,0.138999998569489,15,0.370000004768372,0.259999990463257
1944,1,33,1978,"TAXAB",10966.56,7448.77,162,1.5,0.166999995708466,15,0.358000010251999,0.28999999165535
1944,1,34,1978,"TAXAB",10537.28,7702.46,216,0,0.212999999523163,15,0.319000005722046,0.254999995231628
1944,1,35,1978,"TAXAB",11282.55,7123.97,190,3,0.146999999880791,15,0.321000009775162,0.241999998688698
1944,1,36,1978,"TAXAB",10670.19,7002.54,172,3,0.157000005245209,15,0.296999990940094,0.25
1944,1,37,1978,"TAXAB",10451.05,7168.52,170,1.5,0.175999999046326,15,0.300000011920929,0.229000002145767
1944,1,38,1978,"TAXAB",11531.31,7206.03,168,5,0.172999992966652,15,0.333000004291534,0.26800000667572
1944,1,39,1978,"TAXAB",10896.04,8822.22,163,3,0.209000006318092,15,0.282000005245209,0.215000003576279
1944,1,40,1978,"TAXAB",10881.36,7581.7,171,4,0.210999995470047,15,0.35699999332428,0.291999995708466
1944,1,41,1978,"TAXAB",12408.68,7817.86,191,3,0.136000007390976,15,0.386999994516373,0.308999985456467
1944,1,42,1978,"TAXAB",11174.78,7725.38,186,6,0.166999995708466,15,0.328000009059906,0.273999989032745
1944,1,43,1978,"TAXAB",10863.78,7224.46,181,1.5,0.165999993681908,15,0.358999997377396,0.298000007867813
1944,1,44,1978,"TAXAB",10346.2,7336.62,171,3,0.210999995470047,15,0.250999987125397,0.199000000953674
1944,1,45,1978,"TAXAB",11222.6,7425.09,209,7,0.148000001907349,15,0.305999994277954,0.254000008106232
1944,1,46,1978,"TAXAB",10837.41,7764.22,188,3,0.212999999523163,15,0.361999988555908,0.27700001001358
1944,1,47,1978,"TAXAB",9452.55,7132.59,175,1.5,0.223000004887581,15,0.273999989032745,0.239999994635582
1944,1,48,1978,"TAXAB",10982.12,7418.33,193,1.5,0.171000003814697,15,0.310999989509583,0.248999997973442
1944,1,49,1978,"TAXAB",11591.27,7285.76,162,4,0.166999995708466,15,0.358000010251999,0.28999999165535
1944,1,50,1978,"TAXAB",10846.31,7296.19,172,4,0.180000007152557,15,0.331000000238419,0.266999989748001
