"id","dbogota","djamundi","d1993","d1995","d1997","vouch0","sex","age","mom_sch","mom_age","dad_sch","dad_age","stratams","rept6","totscyrs","finish6","finish7","finish8","usngsch","hoursum","working","married","haschild","test_tak","response","svy"
3,1,0,0,1,0,1,0,14,9,45,2,45,0,0,4,1,1,1,1,0,0,0,0,0,1,0
4,1,0,0,1,0,0,1,14,5,36,11,43,0,0,4,1,1,1,1,0,0,0,0,1,1,0
5,1,0,0,1,0,0,0,14,9,38,5,41,0,0,4,1,1,1,0,0,0,0,0,0,1,0
6,1,0,0,1,0,0,0,12,9,30,8,36,0,0,4,1,1,0,0,0,0,0,0,0,1,0
10,1,0,0,1,0,1,1,14,5,37,5,41,0,0,4,1,1,1,1,0,0,0,0,0,1,0
11,1,0,0,1,0,1,0,14,5,38,5,38,0,0,4,1,1,1,0,28,1,0,0,0,1,0
12,1,0,0,1,0,0,1,14,5,37,0,42,0,0,4,1,1,1,0,0,0,0,0,0,1,0
15,1,0,0,1,0,1,0,15,11,35,,,0,0,4,1,1,1,0,0,0,0,0,0,1,1
16,1,0,0,1,0,0,0,15,4,50,2,52,0,0,2,1,1,0,0,8,1,0,0,0,1,0
17,1,0,0,1,0,0,0,17,5,36,,37,0,0,4,1,1,1,0,0,0,0,0,0,1,0
21,1,0,0,1,0,1,1,14,11,45,11,50,0,0,4,1,0,0,1,0,0,0,0,1,1,0
22,1,0,0,1,0,0,0,13,5,54,,44,0,0,4,1,1,1,1,0,0,0,0,0,1,0
24,1,0,0,1,0,0,1,15,3,44,5,55,0,0,4,1,1,1,0,0,1,0,0,0,1,0
25,1,0,0,1,0,0,0,17,6,47,5,50,0,0,4,1,1,1,0,0,0,0,0,1,1,1
27,1,0,0,1,0,0,0,17,9,39,11,46,0,0,5,1,1,1,0,0,0,0,0,0,1,1
28,1,0,0,1,0,0,1,17,5,42,7,49,1,0,4,1,1,1,0,40,1,0,0,0,1,1
39,1,0,0,1,0,1,1,14,1,42,,,0,0,4,1,1,1,1,6,1,0,0,1,1,0
41,1,0,0,1,0,0,0,17,4,33,1,37,0,0,4,1,1,1,0,0,0,0,0,1,1,0
42,1,0,0,1,0,0,0,16,6,37,4,40,0,0,4,1,1,1,0,0,0,0,0,1,1,0
46,1,0,0,1,0,0,0,13,11,33,11,37,0,1,4,1,1,0,0,0,0,0,0,0,1,0
48,1,0,0,1,0,0,0,13,7,35,11,45,0,0,4,1,1,1,1,0,0,0,0,0,1,0
52,1,0,0,1,0,1,1,16,2,39,6,38,0,0,4,1,1,1,1,0,0,0,0,1,1,0
55,1,0,0,1,0,1,0,18,3,40,6,42,0,0,4,1,1,1,1,0,0,0,0,0,1,0
58,1,0,0,1,0,1,0,13,5,28,,39,0,0,4,1,1,1,1,0,0,0,0,0,1,0
60,1,0,0,1,0,0,0,14,5,47,8,40,0,0,3,1,1,0,0,0,0,1,0,0,1,0
63,1,0,0,1,0,0,0,16,6,42,,,0,0,2,1,1,0,0,0,0,1,0,0,1,0
64,1,0,0,1,0,0,0,15,5,36,7,36,0,2,4,1,0,0,0,0,0,0,0,0,1,0
73,1,0,0,1,0,1,0,14,7,58,5,44,0,0,4,1,1,1,1,40,1,0,0,0,1,0
74,1,0,0,1,0,1,1,13,5,37,5,38,0,0,4,1,1,1,1,0,0,0,0,1,1,0
75,1,0,0,1,0,0,1,14,9,32,,,0,0,4,1,1,1,0,0,0,0,0,0,1,0
76,1,0,0,1,0,1,1,17,5,40,,,0,0,4,1,1,1,1,0,0,0,0,0,1,0
77,1,0,0,1,0,1,0,18,,65,,,0,0,1,0,0,0,0,40,1,0,0,0,1,0
80,1,0,0,1,0,1,1,14,5,42,3,38,0,1,4,1,1,0,0,0,0,0,0,0,1,0
82,1,0,0,1,0,0,0,15,6,38,,,0,1,3,0,0,0,0,9,1,0,0,0,1,0
86,1,0,0,1,0,1,1,16,2,48,,51,0,0,4,1,1,1,1,0,0,0,0,0,1,0
87,1,0,0,1,0,1,0,17,5,38,,,0,0,4,1,1,1,0,0,0,0,0,0,1,0
88,1,0,0,1,0,1,1,16,0,48,1,58,0,0,4,1,1,1,1,0,0,0,0,1,1,0
89,1,0,0,1,0,0,1,16,11,38,11,42,0,0,4,1,1,0,0,0,0,0,0,0,1,0
91,1,0,0,1,0,1,1,17,1,36,,,1,0,1,1,0,0,0,40,1,0,0,0,1,0
93,1,0,0,1,0,0,1,13,11,39,11,40,0,0,4,1,1,1,0,0,0,0,0,0,1,0
95,1,0,0,1,0,0,0,18,1,48,,46,0,0,4,1,1,0,0,24,1,0,0,1,1,0
97,1,0,0,1,0,0,0,13,9,35,11,35,0,0,4,1,1,1,0,0,0,0,0,1,1,0
98,1,0,0,1,0,0,1,13,8,36,,,0,0,4,1,1,1,0,0,0,0,0,0,1,0
100,1,0,0,1,0,0,0,14,5,43,5,46,0,0,2,1,1,0,0,40,1,0,0,0,1,1
103,1,0,0,1,0,1,1,18,3,34,0,50,1,1,5,1,1,1,0,40,1,0,0,0,1,0
105,1,0,0,1,0,1,1,16,5,39,6,42,1,0,1,1,0,0,0,0,1,0,0,1,1,0
107,1,0,0,1,0,1,0,16,9,41,5,41,1,0,4,1,1,1,1,40,1,0,0,0,1,0
110,1,0,0,1,0,0,1,15,5,36,6,37,0,0,4,1,1,1,0,0,0,0,0,0,1,0
112,1,0,0,1,0,1,0,16,5,38,5,53,0,0,4,1,1,1,1,0,0,0,0,1,1,0
113,1,0,0,1,0,1,0,14,5,35,3,39,0,0,4,1,1,1,1,0,0,0,0,0,1,0
115,1,0,0,1,0,1,0,16,,,,,0,0,4,1,1,1,1,9,1,0,0,0,1,1
117,1,0,0,1,0,1,0,14,9,40,8,49,0,0,4,1,1,1,1,0,0,0,0,0,1,0
118,1,0,0,1,0,0,1,16,5,58,,70,1,0,4,1,1,1,0,16,1,0,0,0,1,1
119,1,0,0,1,0,1,0,16,9,35,9,41,0,2,6,1,1,1,1,0,0,0,0,1,1,0
120,1,0,0,1,0,1,1,14,,55,,,0,0,4,1,0,0,1,0,0,0,0,0,1,0
121,1,0,0,1,0,0,0,18,5,42,3,55,0,2,3,0,0,0,0,0,0,0,0,0,1,0
123,1,0,0,1,0,1,1,14,5,37,8,37,1,0,4,1,1,1,1,0,0,0,0,0,1,0
128,1,0,0,1,0,1,0,14,4,47,3,40,0,0,4,1,1,1,1,0,0,0,0,0,1,0
131,1,0,0,1,0,1,0,17,1,45,,,0,0,3,1,1,1,0,0,0,0,0,1,1,0
134,1,0,0,1,0,1,1,16,7,36,6,50,0,0,4,1,1,1,1,0,0,0,0,0,1,0
136,1,0,0,1,0,1,1,16,7,42,1,42,0,0,4,1,1,1,1,0,0,0,0,1,1,0
140,1,0,0,1,0,1,0,14,3,52,2,59,0,0,4,1,1,1,1,0,0,0,0,1,1,0
141,1,0,0,1,0,1,0,16,5,33,7,42,0,0,4,1,1,1,1,0,0,0,0,0,1,0
144,1,0,0,1,0,1,0,15,8,40,5,38,0,0,3,1,1,0,0,0,0,0,0,0,1,0
149,1,0,0,1,0,0,1,14,9,38,,35,0,0,4,1,1,1,0,0,0,0,0,1,1,0
153,1,0,0,1,0,1,1,15,4,31,5,45,0,0,4,1,1,1,1,0,0,0,0,1,1,0
156,1,0,0,1,0,0,0,15,6,45,8,52,0,2,5,1,1,0,0,0,0,0,0,0,1,0
157,1,0,0,1,0,1,0,14,6,38,,,0,0,2,1,1,0,0,40,1,0,0,0,1,0
158,1,0,0,1,0,0,0,13,5,31,9,35,0,0,4,1,1,1,0,0,0,0,0,0,1,0
160,1,0,0,1,0,0,0,18,5,47,2,57,0,0,6,1,1,1,0,0,0,0,0,1,1,0
165,1,0,0,1,0,1,0,15,5,38,5,65,0,0,4,1,1,1,0,0,0,0,0,1,1,0
