"vouch0","sex_name","match_i","match_ic","match_i7","age","phone","checkid","math","read","match_ic7","readcens1","readcens10","mathcens1","mathcens10"
0,0,0,0,0,10,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,10,0,1,39,54,1,54,54,39,39
0,0,1,1,1,10,0,1,42,41,1,41,41,42,42
0,0,1,1,1,10,1,1,45,52,1,52,52,45,45
0,0,0,0,0,10,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,10,1,1,50,54,1,54,54,50,50
0,0,1,1,1,10,1,1,34,41,1,41,41,34,35.0000038146973
0,0,0,0,0,10,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,10,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,10,1,1,43,36,1,36,40,43,43
0,0,1,1,1,10,1,1,42,44,1,44,44,42,42
0,0,1,1,1,10,1,1,35,47,1,47,47,35,35.0000038146973
0,1,1,1,1,10,1,1,37,47,1,47,47,37,37
0,1,1,1,1,10,1,1,45,54,1,54,54,45,45
0,1,1,1,1,10,1,1,35,47,1,47,47,35,35.0000038146973
0,1,0,0,0,10,1,1,0,0,0,32,40,32,35.0000038146973
0,1,1,0,1,10,1,1,45,44,0,44,44,45,45
0,1,0,0,0,10,1,1,0,0,0,32,40,32,35.0000038146973
0,1,0,0,0,10,1,1,0,0,0,32,40,32,35.0000038146973
0,1,1,1,1,10,1,1,45,52,1,52,52,45,45
0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,11,1,1,37,47,1,47,47,37,37
0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,11,1,1,42,46,1,46,46,42,42
0,0,1,1,1,11,0,1,35,38,1,38,40,35,35.0000038146973
0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,11,1,1,37,54,1,54,54,37,37
0,0,1,1,1,11,1,1,40,58,1,58,58,40,40
