"code","euro1900","avexpr","logpgp95","cons1","democ00a","cons00a","extmort4","logem4","loghjypl","baseco"
"AFG",0,,,1,1,1,93.6999969482422,4.54009819030762,,
"AGO",8,5.36363649368286,7.77064514160156,3,0,1,280,5.63478946685791,-3.41124773025513,1
"ALB",,,7.65917158126831,,,,,,,
"ARE",0,7.18181800842285,9.80421924591064,,,,,,,
"ARG",60.0000038146973,6.38636350631714,9.13345909118652,1,3,3,68.9000015258789,4.23265600204468,-0.872273802757263,1
"ARM",0,,7.68248224258423,,,,,,,
"ATG",,,9.10830783843994,,,,,,,
"AUS",98,9.31818199157715,9.89797210693359,7,10,7,8.55000019073486,2.14593124389648,-0.170788332819939,1
"AUT",100,9.72727298736572,9.97487735748291,,,,,,-0.343899756669998,
"AZE",0,,7.30653142929077,,,,,,,
"BDI",0,,6.56526517868042,5,0,1,280,5.63478946685791,-3.50655794143677,
"BEL",100,9.68181800842285,9.99287128448486,,,,,,-0.179126635193825,
"BEN",0,,7.09007692337036,3,0,1,266.519989013672,5.58544921875,-2.83021783828735,
"BFA",0,4.45454549789429,6.84588003158569,3,0,1,280,5.63478946685791,-3.54045939445496,1
"BGD",0,5.13636350631714,6.87729597091675,7,0,1,71.4100036621094,4.26843786239624,-2.06356811523438,1
"BGR",100,8.90909099578857,8.45744323730469,,,,,,,
"BHR",0,8,9.68595314025879,,,,,,,
"BHS",10,7.5,9.28544807434082,,,,85,4.44265127182007,,1
"BIH",100,,,,,,,,,
"BLR",100,,8.34045600891113,,,,,,,
"BLZ",20,,8.37793159484863,,,1,163.300003051758,5.09558916091919,,
"BMU",,,,,,1,,,,
"BOL",30.0000019073486,5.63636350631714,7.92660236358643,3,4,3,71,4.26268005371094,-1.96611285209656,1
"BRA",40,7.90909099578857,8.72745418548584,1,1,3,71,4.26268005371094,-1.14256417751312,1
"BRB",20,,9.26672077178955,,,1,85,4.44265127182007,-0.906340360641479,
"BTN",0,,,1,0,1,,,,
"BWA",0,7.72727251052856,8.85509300231934,7,0,1,,,-2.36446046829224,
"CAF",0,,7.19293403625488,1,0,1,280,5.63478946685791,-3.41124773025513,
"CAN",99,9.72727298736572,9.98644924163818,7,9,7,16.1000003814697,2.77881932258606,-0.0608121566474438,1
"CHE",100,10,10.120210647583,,,,,,-0.134674891829491,
"CHL",50,7.81818199157715,9.33609199523926,1,5,7,68.9000015258789,4.23265600204468,-1.33560121059418,1
"CHN",0,7.77272748947144,7.88608121871948,,,,118,4.77068471908569,-2.81341075897217,
"CIV",0,7,7.44424867630005,1,0,1,668,6.50428819656372,-2.3330442905426,1
"CMR",0,6.45454549789429,7.50108194351196,3,0,1,280,5.63478946685791,-2.57702207565308,1
"COG",0,4.68181800842285,7.420578956604,4,0,1,240,5.48063898086548,-2.10373425483704,1
"COL",20,7.31818199157715,8.80986309051514,3,3,5,71,4.26268005371094,-1.33180618286133,1
"COM",5,,7.38398933410645,5,0,1,,,-3.35240721702576,
"CPV",5,,7.97933912277222,,,,,,-2.57702207565308,
"CRI",20,7.04545450210571,8.79482460021973,3,10,7,78.0999984741211,4.35799026489258,-1.35867917537689,1
"CUB",,,,3,,3,,,,
"CYP",,,,,,,,,-0.807436287403107,
"CZE",100,8.8636360168457,9.20432186126709,,,,,,-1.55589711666107,
"DEU",100,,,,,,,,,
"DEU",100,,9.93547058105469,,,,,,-0.200892925262451,
"DJI",0,,,,,,26,3.25809645652771,,
"DMA",10,,8.33086395263672,,,,85,,,
"DNK",100,9.72727298736572,10.0055923461914,,,,,,-0.371063679456711,
"DOM",25,6.18181800842285,8.36404228210449,3,1,3,130,4.86753463745117,-1.57987916469574,1
"DZA",13,6.5,8.38935947418213,2,0,1,78.1999969482422,4.35926961898804,-1.11474168300629,1
"ECU",30.0000019073486,6.54545450210571,8.47010135650635,3,1,3,71,4.26268005371094,-1.43969511985779,1
"EGY",0,6.77272748947144,7.95155954360962,1,7,7,67.8000030517578,4.21656227111816,-1.67664659023285,1
"ERI",0,,6.62007331848145,,,,,,,
"ESP",100,9.68181800842285,9.61846828460693,,,,,,-0.382725656032562,
"EST",100,,8.39389514923096,,,,,,,
"ETH",0,5.72727251052856,6.10924768447876,1,5,7,26,3.25809645652771,,1
"FIN",100,9.72727298736572,9.82606601715088,,,,,,-0.309246212244034,
"FJI",,,8.30152130126953,7,0,1,11.3999996185303,2.43361330032349,-1.29828345775604,
"FRA",100,9.72727298736572,9.96364116668701,,,,2.88000011444092,1.05779027938843,-0.200892925262451,
"GAB",0,7.81818199157715,8.90788269042969,2,0,1,280,5.63478946685791,-1.85150945186615,1
"GBR",100,9.77272701263428,9.87817001342773,,,,2.54999995231628,0.936093330383301,-0.318828791379929,
"GEO",100,,7.37148952484131,,,,,,,
"GHA",0,6.27272748947144,7.36518001556396,1,0,1,668,6.50428819656372,-2.95651149749756,1
"GIN",0,6.54545450210571,7.48997068405151,1,0,1,483,6.18001651763916,-3.14655518531799,1
"GMB",0,8.27272701263428,7.27239847183228,7,0,1,1470,7.29301786422729,-3.03655433654785,1
"GNB",0,4.54545450210571,,3,0,1,164.660003662109,5.10388278961182,-3.24419355392456,
"GRC",100,7.81818199157715,9.39764976501465,,,,,,-0.757152497768402,
"GRD",10,,8.41847705841064,,,,85,,,
"GTM",20,5.13636350631714,8.29404926300049,1,0,1,71,4.26268005371094,-1.56064772605896,1
"GUY",2,5.88636350631714,7.90470409393311,7,0,1,32.1800003051758,3.47134518623352,-2.25379490852356,1
"HKG",4,8.1363639831543,10.049750328064,,,,14.8999996185303,2.70136117935181,-0.49758043885231,1
"HND",20,5.31818199157715,7.68708038330078,3,6,5,78.0999984741211,4.35799026489258,-2.04022097587585,1
"HRV",100,,8.41847705841064,,,,,,,
"HTI",0,3.72727274894714,7.14677238464355,1,0,1,130,4.86753463745117,-2.8647038936615,1
"HUN",100,9,8.80986309051514,,,,,,-1.18090748786926,
"IDN",0,7.59090900421143,8.0709056854248,1,0,1,170,5.13579845428467,-2.20727491378784,1
"IND",0,8.27272701263428,7.32600021362305,7,0,1,48.6300010681152,3.88424062728882,-2.45340800285339,1
"IRL",,9.72727298736572,9.76938438415527,,,,,,-0.549912989139557,
"IRN",0,4.77272748947144,8.60520362854004,,,,,,-1.22078001499176,
"IRQ",0,1.63636362552643,,,,,,,,
"ISL",100,9.72727298736572,9.94366931915283,,,,,,-0.314710706472397,
"ISR",0,8.54545497894287,9.78414058685303,,,,,,-0.417031764984131,
"ITA",100,9.45454502105713,9.89797210693359,,,,,,-0.181521892547607,
"JAM",1.89999997615814,7.09090900421143,8.18868923187256,7,0,1,130,4.86753463745117,-2.04022097587585,1
"JOR",0,6.77272748947144,8.17188167572021,,,,,,-0.877070009708405,
"JPN",0,9.72727298736572,10.0340766906738,,,,,,-0.532730460166931,
"KAZ",,,8.13153076171875,,,,,,,
"KEN",0,6.04545450210571,7.05617523193359,5,0,1,145,4.97673368453979,-2.88240361213684,1
"KGZ",,,7.57558488845825,,,,,,,
"KHM",,,7.1228666305542,,,,,,,
"KNA",10,,8.89013481140137,,,,85,,,
"KOR",0,8.6363639831543,9.41572761535645,,,,118,4.77068471908569,-0.967584013938904,
"KWT",0,7.04545450210571,9.80366706848145,,,,,,,
"LAO",0,,7.09007692337036,5,0,1,140,4.94164228439331,,
"LBN",,,8.63763904571533,,,,,,,
"LBR",0,3.63636374473572,,7,1,4,483,6.18001651763916,,
"LBY",0,5.27272748947144,,3,0,1,,,,
"LCA",10,,8.55833530426025,,,,85,,,
"LKA",0,6.04545450210571,7.73193073272705,7,0,1,69.8000030517578,4.24563407897949,-1.86433017253876,1
"LSO",0,,7.30653142929077,7,0,1,,,-2.76462054252625,
"LTU",100,,8.2374792098999,,,,,,,
"LUX",100,10,10.2887496948242,,,,,,-0.0140989227220416,
"LVA",100,,8.15478801727295,,,,,,,
"MAR",1,7.09090900421143,8.04237842559814,1,1,1,78.1999969482422,4.35926961898804,-1.67664659023285,1
"MDA",100,,7.37775897979736,,,,,,,
"MDG",0,4.45454549789429,6.8351845741272,4,0,1,536.039978027344,6.28420877456665,-3.1941831111908,1
"MDV",,,8.11671543121338,,,,,,,
"MEX",15.0000009536743,7.5,8.94376754760742,3,0,1,71,4.26268005371094,-0.83701753616333,1
"MKD",100,,8.06148719787598,,,,,,,
"MLI",0,4,6.56526517868042,3,0,1,2940,7.98616504669189,-3.35240721702576,1
"MLT",,7.22727251052856,9.42706298828125,,,,16.2999992370605,2.7911651134491,-0.770028233528137,1
"MMR",0,5.77272748947144,,7,0,1,34.5999984741211,3.54385352134705,-3.54045939445496,
"MNG",0,7.36363649368286,7.29979753494263,,,,,,,
"MOZ",2.5,6.5,6.46146821975708,2,0,1,,,-3.24419355392456,
"MRT",0,,7.41457271575928,5,0,1,280,5.63478946685791,-2.99573230743408,
"MTQ",20,,9.53999996185303,,,,,,,
"MUS",5,,9.05368614196777,7,0,1,30.5,3.41772675514221,-1.33941078186035,
"MWI",2.70000004768372,6.81818199157715,6.46146821975708,1,0,1,,,-3.50655794143677,
"MYS",0,7.95454549789429,8.89425849914551,7,0,1,17.7000007629395,2.87356472015381,-1.32050669193268,1
"NAM",0,,8.51519107818604,3,0,1,,,-1.639897108078,
"NER",0,5,6.73340177536011,3,0,1,400,5.99146461486816,-3.54045939445496,1
"NGA",0,5.54545450210571,6.8134446144104,7,0,1,2004,7.60290050506592,-3.03655433654785,1
"NIC",20,5.22727251052856,7.5443320274353,1,1,1,163.300003051758,5.09558916091919,-2.07147336006165,1
"NLD",100,10,9.89696598052979,,,,,,-0.215671539306641,
"NOR",100,9.95454502105713,10.0239334106445,,,,,,-0.275753498077393,
"NPL",0,,6.9373140335083,1,1,1,,,,
"NZL",93,9.72727298736572,9.75614738464355,7,10,7,8.55000019073486,2.14593124389648,-0.33267942070961,1
"OMN",0,7.13636350631714,9.20833873748779,,,,,,-0.858021855354309,
"PAK",0,6.04545450210571,7.35244131088257,1,0,1,36.9900016784668,3.61064767837524,-2.05572485923767,1
"PAN",20,5.90909099578857,8.83637428283691,3,0,1,163.300003051758,5.09558916091919,-1.50058352947235,1
"PER",30.0000019073486,5.77272748947144,8.39615440368652,1,4,3,71,4.26268005371094,-1.43969511985779,1
"PHL",1,5.45454549789429,8.09864330291748,3,0,1,,,-2.07147336006165,
"PNG",0,7.27272748947144,,7,0,1,170,5.13579845428467,-2.55104637145996,
"POL",100,7.68181800842285,8.65521430969238,,,,,,-1.43548452854156,
"PRI",,,,,,,,,-0.341082811355591,
"PRK",0,,,,,,,,,
"PRT",100,9.18181800842285,9.48948574066162,,,,,,-1.00512194633484,
"PRY",25,6.95454549789429,8.20794677734375,1,1,2,78.0999984741211,4.35799026489258,-1.77195680141449,1
"QAT",0,7.72727251052856,9.68533134460449,,,,,,,
"REU",,,,,,,,,-1.44392347335815,
"ROM",100,7.27272748947144,8.3870849609375,,,,,,-2.1803674697876,
"RUS",100,8.45454502105713,8.40514373779297,,,,,,-0.874669075012207,
"RWA",0,,6.47697257995605,1,0,1,280,5.63478946685791,-3.14655518531799,
"SAU",0,7.59090900421143,9.23989963531494,,,,,,-0.638659000396729,
"SDN",0,4,7.30653142929077,7,0,1,88.1999969482422,4.47960710525513,-2.70306253433228,1
"SEN",0,6,7.40245151519775,3,0,1,164.660003662109,5.10388278961182,-2.63108921051025,1
"SGP",4,9.31818199157715,10.1464338302612,7,0,1,17.7000007629395,2.87356472015381,-0.500875294208527,1
"SLB",,,7.79975318908691,,,,,,,
"SLE",0,5.81818199157715,6.25382900238037,,,,483,6.18001651763916,-2.74887204170227,1
"SLV",20,5,7.94803190231323,3,,3,78.0999984741211,4.35799026489258,-1.85150945186615,1
"SOM",0,3,,7,0,1,,,-3.01593494415283,
"STP",100,8.40909099578857,,,,,,,,
"SUR",1,4.68181800842285,8.01000022888184,,,1,32.1800003051758,3.47134518623352,-1.37042093276978,
"SVK",100,,8.85223579406738,,,,,,,
"SVN",,,9.30018138885498,,,,,,,
"SWE",100,9.5,9.86630439758301,,,,,,-0.239527031779289,
"SWZ",0,,8.10772037506104,2,0,1,,,-1.80788886547089,
"SYC",0,,,,,,,,-1.53711724281311,
"SYR",0,5.81818199157715,8.02943325042725,,,,,,-0.825536370277405,
"TCD",0,,6.8351845741272,1,0,1,280,5.63478946685791,-3.44201922416687,
"TGO",0,6.90909099578857,7.2225661277771,3,0,1,668,6.50428819656372,-3.21887588500977,1
"THA",0,7.63636350631714,8.77493095397949,,,,140,4.94164228439331,-1.85150945186615,
"TJK",,,6.8875527381897,,,,,,,
"TKM",,,7.64012336730957,,,,,,,
"TTO",40,7.45454549789429,8.76873016357422,7,0,1,85,4.44265127182007,-0.697155237197876,1
"TUN",3,6.45454549789429,8.4826021194458,1,0,1,63,4.14313459396362,-1.52785789966583,1
"TUR",0,7.45454549789429,8.64117908477783,,,,,,-1.52326023578644,
"TWN",0,9.22727298736572,,,,,,,-0.809680998325348,
"TZA",0,6.63636350631714,6.25382900238037,3,0,1,145,5.63478946685791,-3.44201922416687,1
"UGA",0,4.45454549789429,6.96602439880371,7,0,1,280,5.63478946685791,-3.44201922416687,1
"UKR",100,,7.81197357177734,,,,,,,
"URY",60.0000038146973,7,9.03121376037598,1,1,1,71,4.26268005371094,-1.07880961894989,1
"USA",87.5,10,10.2157402038574,7,10,7,15,2.70805025100708,0,1
"UZB",,,7.80791664123535,,,,,,,
"VCT",10,,8.31874179840088,,,,85,,,
"VEN",20,7.13636350631714,9.07107830047607,1,1,3,78.0999984741211,4.35799026489258,-0.703197479248047,1
"VNM",0,6.40909099578857,7.27931880950928,1,0,1,140,4.94164228439331,,1
"VUT",,,8.14031600952148,,,,,,,
"WSM",,,7.86710548400879,,,,,,,
"YEM",0,6.36363649368286,6.64639043807983,,,,,,-1.55116903781891,
"YUG",100,6.31818199157715,,,,,,,,
"YUG",100,6.31818199157715,,,,,,,-1.20397281646729,
"ZAF",22,6.86363649368286,8.88599395751953,3,3,3,15.5,2.74083995819092,-1.3862943649292,1
"ZAR",8,3.5,6.86693334579468,1,0,1,240,5.48063898086548,-3.41124773025513,1
"ZMB",3,6.63636350631714,6.8134446144104,3,0,1,,,-2.97592973709106,
"ZWE",7.19999980926514,6,7.69621276855469,7,0,1,,,-2.73336815834045,
"ZWE",7.19999980926514,,,7,0,1,,,,
