"code","euro1900","avexpr","logpgp95","cons1","cons90","ex2col","urbz1995","pd1500s","lpd1500s","lpd1000s","sjb1500","baserf"
"ABW",,,,,,0,,1.45999991893768,0.378436386585236,-0.182721629738808,,
"AFG",0,,,1,2,1,19.8999996185303,8.33333301544189,2.12026357650757,,,
"AGO",8,5.36363649368286,7.77064514160156,3,3,1,31,1.5,0.405465096235275,-0.290352255105972,,
"ALB",,,7.65917158126831,,,0,37.2000007629395,7.29927015304565,1.98777437210083,1.98777437210083,2.5,
"ANT",,,,,,0,69.1999969482422,1.46000003814697,0.378436475992203,-0.182721629738808,,
"ARE",0,7.18181800842285,9.80421924591064,,,0,83.8000030517578,1,0,0,,
"ARG",60.0000038146973,6.38636350631714,9.13345909118652,1,6,1,88.0999984741211,0.109621480107307,-2.21072196960449,-2.61618709564209,0,1
"ARM",0,,7.68248224258423,,,0,68.5999984741211,2.66000008583069,0.978326141834259,0.0620354004204273,,
"ATG",,,9.10830783843994,,,0,35.7999992370605,1.46000003814697,0.378436475992203,-0.182721629738808,,
"AUS",98,9.31818199157715,9.89797210693359,7,7,1,84.6900024414062,0.0260338708758354,-3.64835691452026,-3.64835691452026,0,1
"AUT",100,9.72727298736572,9.97487735748291,,,0,64.3000030517578,24.17502784729,3.18532013893127,2.135498046875,6.5,
"AZE",0,,7.30653142929077,,,0,55.7000007629395,2.66000008583069,0.978326141834259,0.0620354004204273,,
"BDI",0,,6.56526517868042,5,1,1,7.5,25,3.21887588500977,2.4849066734314,,
"BEL",100,9.68181800842285,9.99287128448486,,,0,96.9899978637695,38.0865325927734,3.6398606300354,2.50042653083801,28,
"BEN",0,,7.09007692337036,3,1,1,38.4000015258789,4.23000001907349,1.44220197200775,0.990284383296967,,
"BFA",0,4.45454549789429,6.84588003158569,3,1,1,15.8999996185303,4.23000001907349,1.44220197200775,-0.916290700435638,,
"BGD",0,5.13636350631714,6.87729597091675,7,2,1,18.2999992370605,23.7000007629395,3.16547513008118,2.92959237098694,8.53999996185303,1
"BGR",100,8.90909099578857,8.45744323730469,,,0,68.3000030517578,7.23654460906982,1.97914385795593,1.97914385795593,12.1000003814697,
"BHR",0,8,9.68595314025879,,,0,90.2900009155273,1,0,0,,
"BHS",10,7.5,9.28544807434082,,,1,86.5,1.46000003814697,0.378436475992203,-0.182721629738808,,
"BIH",100,,,,,0,41.0999984741211,8.64999961853027,2.15755939483643,,5,
"BLR",100,,8.34045600891113,,,0,71,0.709999978542328,-0.342490345239639,-0.175544589757919,4.5,
"BLZ",20,,8.37793159484863,,,1,46.5,1.53999996185303,0.431782394647598,0.143234208226204,9.19999980926514,1
"BMU",,,,,,0,99.9000015258789,1.46000003814697,0.378436475992203,-0.182721629738808,,
"BOL",30.0000019073486,5.63636350631714,7.92660236358643,3,7,1,60.5,0.829967379570007,-0.186368882656097,-0.591834008693695,10.6199998855591,1
"BRA",40,7.90909099578857,8.72745418548584,1,7,1,78.3000030517578,0.118252091109753,-2.13493657112122,-2.49161148071289,0,1
"BRB",20,,9.26672077178955,,,1,47.2999992370605,1.45999991893768,0.378436386585236,-0.182721629738808,,
"BRN",,,,,,0,69.1999969482422,,,,,
"BTN",0,,,1,2,1,6,,,,,
"BWA",0,7.72727251052856,8.85509300231934,7,7,1,60,0.140000000596046,-1.96611285209656,-2.64507532119751,,
"CAF",0,,7.19293403625488,1,1,1,39.0999984741211,1.5,0.405465096235275,-0.290352255105972,,
"CAN",99,9.72727298736572,9.98644924163818,7,7,1,76.6800003051758,0.0216896925121546,-3.83091807365417,-4.52406549453735,0,1
"CHE",100,10,10.120210647583,,,0,61,20.227560043335,3.00704598426819,2.02621674537659,7,
"CHI",,,,,,0,29.4500007629395,,,,,
"CHL",50,7.81818199157715,9.33609199523926,1,7,1,83.9000015258789,0.801282048225403,-0.22154226899147,-0.627007365226746,0,1
"CHN",0,7.77272748947144,7.88608121871948,,,0,30.2000007629395,11.7944631576538,2.46763014793396,1.95680451393127,8.0600004196167,
"CIV",0,7,7.44424867630005,1,2,1,43.4000015258789,4.23000001907349,1.44220197200775,0.990284383296967,,
"CMR",0,6.45454549789429,7.50108194351196,3,2,1,44.7000007629395,1.5,0.405465096235275,-0.290352255105972,,
"COG",0,4.68181800842285,7.420578956604,4,2,1,58.4000015258789,1.5,0.405465096235275,-0.290352255105972,,
"COL",20,7.31818199157715,8.80986309051514,3,6,1,72.5999984741211,0.962741911411285,-0.0379699096083641,-0.548795580863953,7.94000005722046,1
"COM",5,,7.38398933410645,5,5,1,30.3999996185303,4.48430490493774,1.50058352947235,,,
"CPV",5,,7.97933912277222,,,1,54.2999992370605,0.5,-0.6931471824646,,,
"CRI",20,7.04545450210571,8.79482460021973,3,7,1,49.2999992370605,1.53999996185303,0.431782394647598,0.143234208226204,9.19999980926514,1
"CUB",,,,3,,1,75.8000030517578,0.449999988079071,-0.798507750034332,-0.182721629738808,,
"CYM",,,,,,0,,1.46000003814697,0.378436475992203,-0.182721629738808,,
"CYP",,,,,,0,54.0699996948242,,,,,
"CZE",100,8.8636360168457,9.20432186126709,,,0,65.4199981689453,38.8198776245117,3.65893244743347,2.26336431503296,6.5,
"DEU",100,,9.93547058105469,,,0,86.5,18.6102447509766,2.92371225357056,2.30467295646667,8,
"DEU",100,,,,,0,86.5,,,,,
"DJI",0,,,,,1,82.0999984741211,,,,,
"DMA",10,,8.33086395263672,,,1,69.3000030517578,1.46000003814697,0.378436475992203,-0.182721629738808,,
"DNK",100,9.72727298736572,10.0055923461914,,,0,85.2099990844727,14.1409378051758,2.6490740776062,2.2436089515686,6.5,
"DOM",25,6.18181800842285,8.36404228210449,3,6,1,61.9000015258789,1.46000003814697,0.378436475992203,-0.182721629738808,3,1
"DZA",13,6.5,8.38935947418213,2,2,1,55.7000007629395,6.99768495559692,1.9455794095993,2.2332615852356,13.9700002670288,1
"ECU",30.0000019073486,6.54545450210571,8.47010135650635,3,7,1,58.9000015258789,2.16731691360474,0.773489952087402,0.368024796247482,10.6199998855591,1
"EGY",0,6.77272748947144,7.95155954360962,1,3,1,44.5999984741211,100.457084655762,4.60973072052002,4.8328742980957,14.5699996948242,1
"ERI",0,,6.62007331848145,,,1,17.1000003814697,2,0.6931471824646,0,,
"ESP",100,9.68181800842285,9.61846828460693,,,0,76.4499969482422,13.014575958252,2.56606984138489,2.08056211471558,13,
"EST",100,,8.39389514923096,,,0,73,0.709999978542328,-0.342490345239639,-0.175544515252113,4.5,
"ETH",0,5.72727251052856,6.10924768447876,1,2,1,15.3999996185303,6.66666650772095,1.89711999893188,1.20397281646729,,
"FIN",100,9.72727298736572,9.82606601715088,,,0,63.1599998474121,3.6478910446167,1.29414916038513,,6.5,
"FJI",,,8.30152130126953,7,7,1,40.5999984741211,,,0.243730202317238,,
"FRA",100,9.72727298736572,9.96364116668701,,,0,74.6999969482422,27.2677688598633,3.30570530891418,2.46945738792419,10.5,
"FSM",,,,,,0,27.7000007629395,,,,,
"GAB",0,7.81818199157715,8.90788269042969,2,2,1,50.0999984741211,1.5,0.405465096235275,-0.290352255105972,,
"GBR",100,9.77272701263428,9.87817001342773,,,0,89.1999969482422,17.5910587310791,2.86739063262939,1.8259369134903,8,
"GEO",100,,7.37148952484131,,,0,58.2999992370605,2.66000008583069,0.978326141834259,0.0620354004204273,,
"GHA",0,6.27272748947144,7.36518001556396,1,1,1,35.9000015258789,4.23000001907349,1.44220197200775,0.990284442901611,,
"GIN",0,6.54545450210571,7.48997068405151,1,1,1,29.2000007629395,4.23000001907349,1.44220197200775,0.990284264087677,,
"GLP",,,,,,0,99.4000015258789,1.46000003814697,0.378436475992203,-0.182721629738808,,
"GMB",0,8.27272701263428,7.27239847183228,7,7,1,29,4.23000001907349,1.44220197200775,0.990284383296967,,
"GNB",0,4.54545450210571,,3,3,1,21.7000007629395,4.23000001907349,1.44220197200775,0.990284383296967,,
