"grade","schlcode","c_size","c_boys","c_girls","c_numcl","c_pik","c_status","c_leom","c_tip","c_numrd","c_type","flgrm","mrkgrm","ngrm","flmth","mrkmth","nmth","towncode","townname","popcode","tip_a","classid","classize","cohsize","mathsize","avgmath","passmath","verbsize","avgverb","passverb","studchk","misskov2","missagg","nmiss_k","nmiss_a","classct","math_n","flmath_n","nmath_n","verb_n","flverb_n","nverb_n","impute","nverb_m","nmath_m","tip_s","townid","tipuach"
4,11005,35,12,23,9,1,2,1,"5",1,1,17,66,35,17.1399993896484,65,35,26104,"™Ž™ š‰",11,24,1,35,35,35,64.9400024414062,17.1000003814697,35,65.7699966430664,17.1000003814697,1,0,0,0,0,1,64.9400024414062,17.1000003814697,35,65.7699966430664,17.1000003814697,35,0,,,24,26104,24
4,11006,54,23,31,12,2,2,1,"7",2,2,31,61,49,54.1699981689453,57,48,26104,"™Ž™ š‰",12,38,1,27,54,25,56.7999992370605,60,25,59.3199996948242,40,1,0,0,0,0,2,56.8527069091797,54.154167175293,48,61.4065322875977,30.5959186553955,49,0,,,38,26104,38
4,11006,54,23,31,12,2,2,1,"7",2,2,31,61,49,54.1699981689453,57,48,26104,"™Ž™ š‰",12,38,2,27,54,23,56.9099998474121,47.7999992370605,24,63.5800018310547,20.7999992370605,1,0,0,0,0,2,56.8527069091797,54.154167175293,48,61.4065322875977,30.5959186553955,49,0,,,38,26104,38
4,11009,38,15,23,6,1,2,1,"1",1,1,13,78,38,21.6200008392334,77,37,4622,"˜‡™ Œˆ",11,6,1,38,38,37,76.6999969482422,21.6000003814697,38,78.370002746582,13.1999998092651,1,0,0,0,0,1,76.6999969482422,21.6000003814697,37,78.370002746582,13.1999998092651,38,0,,,6,4622,6
4,11010,73,40,33,15,1,1,1,"",2,2,20,74,70,51.3899993896484,64,72,30007,"‰Œ™…˜‰",11,3,1,37,73,35,61.4000015258789,65.6999969482422,35,76.5999984741211,20,1,0,0,0,0,2,64.0979156494141,51.3624992370605,72,74.4850006103516,20,70,0,,,3,30007,3
4,11010,73,40,33,15,1,1,1,"",2,2,20,74,70,51.3899993896484,64,72,30007,"‰Œ™…˜‰",11,3,2,36,73,37,66.6500015258789,37.7999992370605,35,72.370002746582,20,1,0,0,0,0,2,64.0979156494141,51.3624992370605,72,74.4850006103516,20,70,0,,,3,30007,3
4,11013,65,31,34,17,1,1,1,"2",2,2,38,64,61,40.9799995422363,65,61,30007,"‰Œ™…˜‰",11,8,2,31,65,28,58.7099990844727,64.3000030517578,28,59.5,42.9000015258789,1,0,0,1,0,2,58.7099990844727,64.3000030517578,28,59.5,42.9000015258789,28,0,,,8,30007,8
4,11013,65,31,34,17,1,1,1,"2",2,2,38,64,61,40.9799995422363,65,61,30007,"‰Œ™…˜‰",11,8,1,34,65,33,70.3369674682617,21.1933326721191,33,67.8181838989258,33.8424224853516,,1,0,1,0,2,58.7099990844727,64.3000030517578,28,59.5,42.9000015258789,28,1,33,33,8,30007,8
4,11015,89,35,54,17,1,1,1,"1",3,3,5,84,85,8.23999977111816,80,85,30007,"‰Œ™…˜‰",11,6,1,30,89,27,81.5899963378906,7.40000009536743,27,84.0699996948242,0,1,0,0,1,0,3,80.5268402099609,7.03157901763916,57,82.9805297851562,3.52631568908691,57,0,,,6,30007,6
4,11015,89,35,54,17,1,1,1,"1",3,3,5,84,85,8.23999977111816,80,85,30007,"‰Œ™…˜‰",11,6,2,30,89,30,79.5699996948242,6.69999980926514,30,82,6.69999980926514,1,0,0,1,0,3,80.5268402099609,7.03157901763916,57,82.9805297851562,3.52631568908691,57,0,,,6,30007,6
4,11015,89,35,54,17,1,1,1,"1",3,3,5,84,85,8.23999977111816,80,85,30007,"‰Œ™…˜‰",11,6,3,29,89,28,78.9274978637695,10.6999998092651,28,86.0753555297852,8,,1,0,1,0,3,80.5268402099609,7.03157901763916,57,82.9805297851562,3.52631568908691,57,1,28,28,6,30007,6
4,11017,85,43,42,14,1,1,1,"2",3,3,27,68,75,30.2600002288818,66,76,30007,"‰Œ™…˜‰",11,9,1,29,85,27,72.8899993896484,11.1000003814697,27,74.8499984741211,22.2000007629395,1,0,0,0,0,3,66.3302459716797,31.7048778533936,82,64.1211090087891,30.854320526123,81,0,,,9,30007,9
4,11017,85,43,42,14,1,1,1,"2",3,3,27,68,75,30.2600002288818,66,76,30007,"‰Œ™…˜‰",11,9,2,28,85,28,67.4300003051758,42.9000015258789,28,62.9599990844727,32.0999984741211,1,0,0,0,0,3,66.3302459716797,31.7048778533936,82,64.1211090087891,30.854320526123,81,0,,,9,30007,9
4,11017,85,43,42,14,1,1,1,"2",3,3,27,68,75,30.2600002288818,66,76,30007,"‰Œ™…˜‰",11,9,3,28,85,27,58.6300010681152,40.7000007629395,26,54.2299995422363,38.5,1,0,0,0,0,3,66.3302459716797,31.7048778533936,82,64.1211090087891,30.854320526123,81,0,,,9,30007,9
4,11020,74,32,42,14,1,1,1,"1",2,2,17,75,69,18.3099994659424,76,71,30007,"‰Œ™…˜‰",11,5,1,38,74,36,76.3899993896484,19.3999996185303,36,75.8099975585938,13.8999996185303,1,0,0,0,0,2,76.0153503417969,18.2661972045898,71,74.8582611083984,17.3913040161133,69,0,,,5,30007,5
