"year","school_id","student_id","treated","pair","m_ahim","boy","ole5","educav","educem","zakaibag","lagscore","semrel","semarab","att18","att20","att22","att24","awr18","awr20","awr22","awr24","achv_math","achv_eng","achv_hib"
2000,6,3,0,18,5,1,0,8,7,1,73.2857131958008,0,1,1,1,1,1,1,1,1,1,1,1,1
2000,35,4,1,7,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,32,16,0,13,3,1,0,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,20,17,1,5,3,1,0,8,8,0,85.8571395874023,1,0,1,1,1,1,1,1,1,1,0,1,1
2000,34,18,1,20,2,1,0,8,7,1,74,0,1,1,1,1,1,1,1,1,1,1,1,1
2000,33,22,0,19,3,1,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,13,26,1,1,7,1,0,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000,37,28,1,16,3,1,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,1,35,0,2,4,0,0,12,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000,30,40,0,20,2,1,0,16,10,0,68.5999984741211,0,0,1,1,1,1,1,1,1,1,0,1,0
2000,29,43,0,17,3,0,0,3,3,0,45.3333320617676,1,0,0,0,0,0,0,0,0,0,0,0,0
2000,32,52,0,13,2,1,0,10,8,0,60.5,0,0,1,1,0,0,1,1,0,0,0,1,1
2000,1,53,0,2,4,0,0,12,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000,1,55,0,2,1,0,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000,28,59,0,5,1,1,0,12,12,0,29.5,0,0,0,0,0,0,0,0,0,0,0,1,0
2000,19,60,0,14,2,1,0,9,12,0,61.3333320617676,0,0,1,0,0,0,1,0,0,0,0,0,1
2000,30,64,0,20,2,0,0,17,16,0,81.8000030517578,0,0,1,1,1,1,1,1,1,1,1,1,1
2000,30,66,0,20,3,1,0,11,12,0,50,0,0,1,1,1,1,1,1,1,1,0,1,0
2000,13,70,1,1,6,1,0,6,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000,32,74,0,13,5,0,0,8,9,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,19,75,0,14,3,1,0,10,11,0,59.5,0,0,1,1,1,1,1,1,1,1,1,1,1
2000,19,76,0,14,3,1,0,10,8,1,67,0,0,1,1,1,1,1,1,1,1,1,1,1
2000,32,81,0,13,4,0,0,10,10,0,56.3333320617676,0,0,1,1,0,0,1,1,0,0,0,1,1
2000,13,82,1,1,9,1,0,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000,33,84,0,19,4,1,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,30,88,0,20,3,1,0,12,12,0,76.5999984741211,0,0,1,1,1,0,1,1,1,0,1,0,0
2000,23,90,0,11,2,0,0,16,11,0,49.6666679382324,0,0,1,1,1,1,1,1,1,1,0,1,1
2000,18,94,0,8,3,0,0,10,12,1,84.625,1,0,1,1,1,1,1,1,1,1,0,1,1
2000,1,96,0,2,3,0,0,12,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000,32,99,0,13,5,1,0,8,8,1,76.5,0,0,1,1,1,1,1,1,1,1,0,1,1
2000,24,102,1,7,3,1,0,22,18,0,69.8333358764648,1,0,1,1,1,1,1,1,1,1,1,1,1
2000,35,103,1,7,1,0,0,14,12,0,42.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,13,109,1,1,6,0,0,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000,13,111,1,1,7,1,0,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000,28,117,0,5,2,0,0,12,15,0,76.3333358764648,0,0,0,0,0,0,0,0,0,0,1,1,1
2000,32,118,0,13,2,0,0,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,32,121,0,13,2,0,0,8,11,0,46.6666679382324,0,0,1,1,1,1,1,1,1,1,0,1,1
2000,32,125,0,13,3,1,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,22,128,1,18,5,1,0,10,11,0,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,22,133,1,18,3,1,0,3,11,0,67,0,0,0,0,0,0,0,0,0,0,0,1,1
2000,33,135,0,19,4,1,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,13,137,1,1,6,1,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000,36,138,1,8,1,1,0,10,1,0,29.5,0,0,1,1,1,1,1,1,1,1,1,0,0
2000,30,140,0,20,2,0,0,12,12,0,40.4000015258789,0,0,1,0,0,0,0,0,0,0,0,1,1
2000,22,147,1,18,3,1,0,10,11,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,35,151,1,7,3,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,13,157,1,1,6,1,0,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000,19,163,0,14,3,0,0,8,11,0,35.5,0,0,0,0,0,0,0,0,0,0,1,0,0
