"sex","pctile","count","hh_inc","hh_inc_age40","le_agg","le_raceadj","sd_le_agg","sd_le_raceadj"
"F",1,7098335,432.78204,383.32544,78.526276,78.783836,0.052537858,0.062369585
"F",2,7120033,1919.1157,1681.7804,80.291382,80.46241,0.056186546,0.064146481
"F",3,7131115,3718.2156,3344.0874,81.043648,81.168098,0.056927446,0.065437168
"F",4,7135812,5466.6387,5051.8345,81.434181,81.530678,0.058088601,0.065256
"F",5,7140055,7089.4287,6671.7788,81.548515,81.628853,0.058224965,0.06485448
"F",6,7141666,8570.2676,8166.4253,81.604004,81.673355,0.062758289,0.068603188
"F",7,7144768,9890.6504,9424.541,81.642609,81.703041,0.062607594,0.065750666
"F",8,7146577,11141.579,10572.96,81.739784,81.789368,0.062888473,0.066356823
"F",9,7146867,12367.86,11746.701,81.706177,81.748344,0.065673351,0.067713179
"F",10,7149543,13525.564,12807.215,81.715576,81.754166,0.065104105,0.066931881
"F",11,7152938,14617.204,13744.705,81.985367,82.014641,0.065148622,0.065489903
"F",12,7154548,15691.668,14713.062,82.130821,82.156662,0.066605479,0.067595489
"F",13,7157847,16747.199,15697.612,82.326492,82.351776,0.06498453,0.065540999
"F",14,7156139,17777.514,16666.307,82.304054,82.33271,0.068551518,0.068234429
"F",15,7158253,18788.195,17619.527,82.437515,82.464401,0.06835486,0.068344899
"F",16,7161532,19787.162,18571.473,82.659279,82.685997,0.068762943,0.06854102
"F",17,7161166,20778.541,19529.727,82.587585,82.620689,0.066445515,0.065953314
"F",18,7162264,21764.938,20496.85,82.661598,82.696388,0.067712963,0.067553222
"F",19,7163496,22747.816,21463.76,82.908821,82.94355,0.072300218,0.072543971
"F",20,7164020,23728.01,22430.047,82.890808,82.930573,0.071053959,0.071046166
"F",21,7166206,24707.008,23392.875,82.955109,83.000237,0.0682007,0.067663737
"F",22,7165714,25686.211,24357.771,83.006218,83.058914,0.070845023,0.070048429
"F",23,7168507,26667.346,25329.4,83.064056,83.118538,0.071385451,0.07162001
"F",24,7169326,27651.844,26304.367,83.217201,83.268585,0.071674615,0.071245715
"F",25,7170463,28641.076,27287.229,83.29673,83.345512,0.070278287,0.070267126
"F",26,7170053,29635.301,28277.512,83.328285,83.374672,0.070094287,0.070402756
"F",27,7171977,30634.684,29273.383,83.388618,83.433304,0.069610551,0.069762997
"F",28,7171183,31640.113,30278.654,83.498146,83.543816,0.067685038,0.067632481
"F",29,7173317,32651.039,31297.256,83.674408,83.718033,0.070790917,0.071269192
"F",30,7173991,33670.215,32330.42,83.788948,83.834122,0.072497897,0.072306469
"F",31,7174613,34699.07,33373.582,83.730637,83.781654,0.073017932,0.073736459
"F",32,7174328,35739.371,34428.75,83.775978,83.831879,0.071797162,0.072117828
"F",33,7175648,36792.668,35503.703,83.945457,84.000481,0.071803391,0.070634834
"F",34,7176418,37859.223,36596.887,84.017365,84.073212,0.073114358,0.072457269
"F",35,7175978,38941.527,37713.238,84.047462,84.103325,0.06894087,0.069832109
"F",36,7176800,40036.59,38847.094,84.089401,84.147591,0.073011801,0.072950788
"F",37,7179075,41145.957,39999.723,84.224236,84.281258,0.072912887,0.072126649
"F",38,7178083,42272.977,41173.941,84.23233,84.291191,0.071608916,0.071283251
"F",39,7179058,43414.043,42373.551,84.222359,84.28257,0.073542193,0.074258395
"F",40,7180337,44570.664,43592.008,84.393791,84.447998,0.07316716,0.073399216
"F",41,7180754,45744.07,44826.73,84.464035,84.51651,0.073402829,0.074280933
"F",42,7179590,46933.258,46079.508,84.411079,84.463608,0.071482964,0.072968096
"F",43,7181920,48134.508,47346.082,84.572311,84.621666,0.073613629,0.074063055
"F",44,7183456,49352.219,48635.922,84.767899,84.813545,0.077549174,0.077848271
"F",45,7182868,50586.805,49946.883,84.676117,84.723267,0.074307717,0.074558944
"F",46,7184363,51835.27,51275.496,84.728035,84.774117,0.071703508,0.073040389
"F",47,7185013,53099.949,52619.137,84.954185,84.995895,0.072671369,0.072746068
"F",48,7185198,54385.266,53987.73,84.946159,84.985954,0.07310804,0.074194245
"F",49,7185826,55688.242,55370.012,84.952301,84.991852,0.072282836,0.072571032
"F",50,7185479,57012.57,56771.988,84.981941,85.019531,0.075507693,0.077474602
"F",51,7187061,58356.133,58193.582,84.954269,84.990944,0.073567182,0.074860297
"F",52,7188234,59722.73,59641.613,85.164528,85.19384,0.074437894,0.076763071
"F",53,7187661,61111.883,61106.355,85.114296,85.140343,0.075276665,0.07623551
"F",54,7189317,62520.648,62592.129,85.250519,85.269798,0.074340314,0.075603351
"F",55,7189237,63952.996,64105.07,85.322868,85.336349,0.073106609,0.076437384
"F",56,7188319,65410.285,65635.18,85.270782,85.279427,0.074438438,0.078169554
"F",57,7190406,66884.461,67188.781,85.540359,85.540733,0.075545132,0.078432649
"F",58,7190737,68384.359,68757.906,85.499336,85.496941,0.07669577,0.080951296
"F",59,7192821,69904.008,70342.813,85.675949,85.670769,0.07290636,0.077155776
"F",60,7191546,71455.133,71949.07,85.556061,85.552818,0.078594521,0.081122644
"F",61,7192115,73027.82,73575.883,85.509689,85.50927,0.076185703,0.081086963
"F",62,7194018,74628.766,75219.898,85.835289,85.831726,0.076721981,0.078386061
"F",63,7194642,76259.906,76884.734,85.854454,85.852356,0.075229764,0.079364635
"F",64,7194693,77924.133,78575.297,85.841637,85.840729,0.07912112,0.082119592
"F",65,7195935,79622.695,80298.055,86.01387,86.01162,0.075991869,0.080214657
"F",66,7197226,81359.602,82049.055,86.036346,86.034279,0.079185605,0.083462618
"F",67,7195498,83142.281,83829.938,85.89328,85.891869,0.078440227,0.083916575
"F",68,7196340,84964.023,85645.484,86.053368,86.048203,0.076987334,0.080445036
"F",69,7197939,86831.68,87497.344,86.085312,86.075218,0.078496322,0.081901774
"F",70,7197494,88753.945,89397.57,86.100922,86.084274,0.079006113,0.083084151
"F",71,7199069,90726.922,91344.297,86.291183,86.261612,0.081767604,0.087103724
"F",72,7198780,92764.195,93339.445,86.284363,86.245232,0.077819131,0.082109913
"F",73,7199917,94865.547,95386.438,86.377167,86.327362,0.079708189,0.086800933
"F",74,7200605,97040.102,97496.578,86.480743,86.423012,0.07852181,0.084627666
"F",75,7200688,99292.938,99673.656,86.439278,86.37175,0.082708962,0.091110416
"F",76,7201490,101633.68,101935.94,86.508705,86.432198,0.080905288,0.08928062
"F",77,7202366,104071.49,104284.42,86.711433,86.626793,0.080886275,0.090709105
"F",78,7202309,106624.52,106732.21,86.649414,86.559471,0.079684995,0.090228677
"F",79,7203446,109306.47,109295.41,86.76001,86.66507,0.081438772,0.090803549
"F",80,7203577,112141.27,111987.73,86.783203,86.685181,0.081351459,0.090282507
"F",81,7204335,115151.23,114832.43,86.798897,86.696945,0.083180487,0.092909709
"F",82,7204965,118362.74,117849.41,87.04837,86.939636,0.079447821,0.090883665
"F",83,7205657,121807.62,121080.77,87.145798,87.028717,0.080393553,0.092728756
