"state_fips","stateabbrv","statename","le_agg_q1_F","le_raceadj_q1_F","le_agg_q2_F","le_raceadj_q2_F","le_agg_q3_F","le_raceadj_q3_F","le_agg_q4_F","le_raceadj_q4_F","le_agg_q1_M","le_raceadj_q1_M","le_agg_q2_M","le_raceadj_q2_M","le_agg_q3_M","le_raceadj_q3_M","le_agg_q4_M","le_raceadj_q4_M","sd_le_agg_q1_F","sd_le_raceadj_q1_F","sd_le_agg_q2_F","sd_le_raceadj_q2_F","sd_le_agg_q3_F","sd_le_raceadj_q3_F","sd_le_agg_q4_F","sd_le_raceadj_q4_F","sd_le_agg_q1_M","sd_le_raceadj_q1_M","sd_le_agg_q2_M","sd_le_raceadj_q2_M","sd_le_agg_q3_M","sd_le_raceadj_q3_M","sd_le_agg_q4_M","sd_le_raceadj_q4_M","count_q1_F","count_q2_F","count_q3_F","count_q4_F","count_q1_M","count_q2_M","count_q3_M","count_q4_M"
1,"AL","Alabama",81.208611,82.228058,83.856339,84.474808,85.357079,85.808136,86.899963,87.224434,74.194298,75.376083,78.726929,79.430519,81.755196,82.262962,84.116356,84.49781,0.091293953,0.11666798,0.10264802,0.10965104,0.12113114,0.12434945,0.14973865,0.15035358,0.068455532,0.1083641,0.089632198,0.10527096,0.11598545,0.12573311,0.13311483,0.13747026,3419114,2803243,2520347,2119247,2862389,2728540,2481761,2005954
2,"AK","Alaska",82.583572,82.348953,83.815147,83.712013,85.854538,85.585838,87.157089,87.16877,76.531036,76.639389,80.32373,80.524376,82.330803,82.445099,85.398438,85.575829,0.33839086,0.33955711,0.36807653,0.37382165,0.30707479,0.32140312,0.29940796,0.2988449,0.25443128,0.25340441,0.29463685,0.29335475,0.27807727,0.27634391,0.25999761,0.25546613,287869,364928,439382,528988,339042,374547,484283,537646
4,"AZ","Arizona",82.646103,82.151314,84.398926,84.147186,85.876945,85.781685,87.412048,87.435135,77.445061,77.007629,80.674591,80.474632,82.738091,82.700462,85.126984,85.230026,0.096449837,0.1141299,0.108588,0.11930052,0.10909873,0.11578956,0.12067553,0.12458663,0.076080568,0.088039763,0.092998669,0.099302582,0.10698533,0.10996675,0.11182424,0.11257195,3281760,3395651,3120125,3014634,3288830,3113884,2943030,2875894
5,"AR","Arkansas",80.595299,81.310768,83.675117,84.12365,85.25621,85.637344,87.324226,87.601463,74.9888,75.763702,79.100021,79.606911,81.674553,82.115067,83.796753,84.158447,0.10819105,0.11672823,0.13233517,0.13867043,0.16471018,0.16345578,0.19294953,0.18890008,0.087307453,0.1093381,0.11318759,0.12632927,0.15040496,0.16008736,0.1888808,0.19163491,2070245,1804408,1490854,1025154,1882283,1762111,1408915,949898
6,"CA","California",84.436256,82.946465,84.858124,83.530724,86.082794,84.965134,87.839706,86.939842,79.961792,78.731621,81.351509,80.364868,83.101517,82.369225,85.62487,85.161736,0.042002473,0.18072177,0.048643224,0.1832623,0.048499428,0.17298901,0.043219864,0.17871538,0.033241622,0.11811631,0.043159887,0.12632297,0.045641381,0.12349968,0.042866692,0.13012137,20215088,18383557,18250582,23014857,20578421,17762051,17285647,22682795
8,"CO","Colorado",82.919159,82.387817,85.034241,84.839043,86.571106,86.47332,88.507103,88.555649,78.062561,77.599342,81.584465,81.448418,84.032951,84.001686,86.519722,86.636421,0.12107423,0.13789091,0.12362355,0.12867339,0.11925945,0.12424204,0.11244871,0.11398306,0.093545876,0.10144992,0.10801014,0.11097763,0.11199899,0.11346551,0.11293595,0.1135636,2259475,2756610,3056413,3490654,2328427,2657580,2974157,3396603
9,"CT","Connecticut",82.611183,82.566223,84.401299,84.575111,86.087318,86.28476,87.94558,88.111473,77.372452,77.378212,80.43161,80.646988,82.977402,83.235397,85.785011,86.014069,0.14721729,0.14723547,0.1381377,0.13558309,0.13205212,0.13247423,0.11503885,0.11751066,0.12309182,0.12271325,0.11930601,0.12049609,0.11928069,0.12239413,0.10882482,0.11286979,1434310,1913025,2419573,3500466,1368737,1743518,2275935,3358897
10,"DE","Delaware",81.028885,81.685738,83.491249,84.005775,85.458023,85.889015,87.630486,87.717789,74.90432,75.667274,79.428833,79.998352,82.302002,82.788818,85.027878,85.234688,0.2376758,0.23527321,0.2498147,0.24478465,0.25260511,0.24544355,0.26959628,0.26880419,0.20120434,0.20627618,0.22532497,0.22569701,0.23713514,0.23504609,0.24115741,0.23813522,449706,546751,579557,608615,404807,482162,544101,576733
11,"DC","District Of Columbia",80.295586,81.959274,83.293297,84.548447,84.896484,85.870918,87.841988,88.300339,74.652733,76.546844,78.323997,79.807358,81.609039,82.686958,86.4487,86.927116,0.29110718,0.36245301,0.30332714,0.34947032,0.35727027,0.37031347,0.32679763,0.31774545,0.22442009,0.30871612,0.30931824,0.36400595,0.40137663,0.40521359,0.30993664,0.29847571,334980,319991,249932,338132,362550,257422,188010,327016
12,"FL","Florida",83.125664,82.855927,84.634071,84.430626,86.054153,85.911194,87.676147,87.599136,77.329628,77.187881,80.241531,80.131927,82.476212,82.421837,85.079178,85.078964,0.046982791,0.076888077,0.058209009,0.074846141,0.062023643,0.074028008,0.068061315,0.076711327,0.038810715,0.055299439,0.049775045,0.060188737,0.060044758,0.065617904,0.065163925,0.06917683,13398561,11438087,9454997,8610905,12807322,10520680,8736183,8228656
13,"GA","Georgia",81.466133,82.42392,83.854027,84.404076,85.451118,85.815895,87.500397,87.691956,75.087532,76.145348,79.100029,79.735191,81.884918,82.321808,84.743782,85.02697,0.068953611,0.10746779,0.08295878,0.094410665,0.098216511,0.10191318,0.099503033,0.10144227,0.057162162,0.096361138,0.077092715,0.093067661,0.086946286,0.09396226,0.094089277,0.096809074,6031611,5297417,4879944,4898034,5183943,4910552,4599771,4771151
15,"HI","Hawaii",84.21431,80.952522,86.031998,82.58419,86.856041,83.288094,88.463196,85.247765,78.4758,76.639137,81.308197,79.47097,83.258896,81.509171,85.67382,84.158112,0.20329797,0.68063366,0.21767218,0.77711588,0.23382708,0.85638827,0.22016546,0.85365695,0.1723917,0.42205605,0.20100909,0.54240978,0.21375196,0.60377312,0.22170174,0.58645588,707725,832662,823927,780904,706804,8e+05,842325,736583
16,"ID","Idaho",82.546471,82.728096,85.357452,85.561737,86.525963,86.755013,88.269974,88.444321,78.152267,78.33078,82.150902,82.386284,84.278008,84.525497,86.121841,86.331566,0.19275545,0.19341072,0.20395891,0.20500478,0.22431365,0.22096051,0.28709042,0.2794764,0.15623546,0.16434266,0.17767626,0.18165119,0.20403001,0.2033498,0.26191461,0.25489169,835679,926619,904895,626539,815117,968469,888522,587945
17,"IL","Illinois",81.499771,81.895645,83.793526,84.014206,85.23394,85.353706,87.231522,87.182175,76.462921,76.869431,79.690536,79.931938,82.069923,82.239197,84.623489,84.688644,0.068239897,0.07254497,0.071066663,0.070298068,0.074074745,0.075628534,0.073808335,0.088559702,0.057137955,0.067386881,0.063356541,0.066675201,0.066714928,0.0678882,0.070762888,0.078784116,6366139,7184044,7998634,8640978,5880948,6758274,7725011,8276674
18,"IN","Indiana",80.291847,80.859085,83.404861,83.822617,85.233376,85.594391,87.016846,87.287704,74.083885,74.685806,79.090401,79.541412,82.003563,82.397675,84.104156,84.433746,0.086864315,0.099225797,0.087947793,0.098398045,0.10129058,0.10966004,0.11617412,0.12261076,0.066277906,0.091781706,0.076260179,0.095607407,0.085581966,0.10403933,0.1118404,0.11974858,3465109,4061890,4466636,3419098,3061136,4044858,4454461,3245215
19,"IA","Iowa",81.556351,81.931786,84.612968,84.952461,86.397896,86.698692,88.31424,88.518387,76.146606,76.562851,80.662979,81.048653,83.230179,83.582184,85.037994,85.333481,0.12622416,0.13657622,0.13133132,0.13982931,0.14307396,0.15197732,0.17205052,0.17158931,0.10700733,0.12398669,0.11268163,0.12956257,0.12844165,0.14240286,0.16563258,0.16928491,1464696,1982185,2277034,1559363,1418773,2079563,2209290,1439454
20,"KS","Kansas",80.781189,81.073135,83.902451,84.169838,85.869019,86.112022,87.618179,87.809196,75.436676,75.776054,79.9356,80.240288,82.667068,82.958122,85.059387,85.309105,0.13222611,0.13499287,0.14412867,0.14579669,0.14753979,0.14961489,0.16995275,0.16949309,0.110916,0.11962235,0.12177178,0.13235721,0.13596867,0.14183247,0.16717914,0.16851692,1370883,1697512,1886898,1618560,1305295,1694890,1849880,1522603
21,"KY","Kentucky",80.868965,81.415802,83.413162,83.882759,85.181801,85.566315,87.032249,87.305489,74.947975,75.540855,79.335197,79.833542,82.308807,82.7248,84.52282,84.863808,0.09768153,0.11391682,0.11306946,0.12505396,0.13170719,0.13927713,0.16564931,0.1669763,0.071806096,0.10154654,0.097227491,0.11454481,0.12116102,0.13279925,0.14968827,0.1539018,2773567,2726363,2532249,1805827,2605410,2651305,2463581,1719501
22,"LA","Louisiana",81.133202,82.181557,83.753204,84.361633,85.037399,85.466042,86.740814,87.063896,74.841164,76.071732,79.371689,80.050972,81.784775,82.25531,84.077492,84.447334,0.096036643,0.13526955,0.11677003,0.1228773,0.14309323,0.14189044,0.15947515,0.15822543,0.07680732,0.11522858,0.096911244,0.1100906,0.12503329,0.13294433,0.14272451,0.14453305,3348817,2495033,2242403,1967364,2698569,2436461,2283893,1905755
23,"ME","Maine",82.832733,83.195969,84.942505,85.295319,86.583778,86.903381,88.301704,88.55706,77.271698,77.704132,81.050011,81.458176,83.769104,84.1353,86.309631,86.593155,0.18793921,0.19078688,0.19614124,0.20381956,0.21093845,0.20896885,0.25768927,0.24701367,0.14389813,0.16181391,0.16801657,0.17890465,0.20786598,0.20926459,0.24219523,0.23666047,890641,1017206,1002112,658661,842562,1007688,951671,601256
24,"MD","Maryland",81.124992,81.922966,83.524582,84.001785,85.276665,85.602531,87.676521,87.762115,75.621597,76.573456,79.23378,79.836319,81.811943,82.252235,85.112732,85.336479,0.10895644,0.14244068,0.10625017,0.11716878,0.10257451,0.11214597,0.09578675,0.10759639,0.087598868,0.11469188,0.094674535,0.10821425,0.099871688,0.10796295,0.090358146,0.095739685,2607733,3293785,3729137,5136334,2395549,2816042,3307760,4890829
25,"MA","Massachusetts",83.20533,83.067032,84.446915,84.634674,86.107117,86.29142,87.89267,88.034286,77.983276,77.940643,80.499977,80.763428,82.965218,83.240059,85.652359,85.883278,0.10498339,0.10449956,0.10328969,0.1109644,0.095871136,0.10362643,0.095834978,0.10377906,0.087774314,0.089044884,0.093180835,0.10327629,0.096056715,0.10775936,0.088887356,0.09756323,2837249,3604240,4314331,5766711,2699548,3352023,4046247,5540157
26,"MI","Michigan",80.349396,81.038773,83.832329,84.271576,85.827606,86.200989,87.297737,87.531517,74.805573,75.540764,79.851822,80.326912,82.41935,82.845474,84.642471,84.952301,0.071039438,0.085421294,0.076117031,0.087416932,0.080438562,0.088550977,0.08691217,0.091163501,0.053448427,0.079530321,0.06448485,0.08488699,0.071201138,0.086567491,0.081068471,0.087261647,5610699,6192671,6789899,6274765,4906198,5826905,6698201,6125988
27,"MN","Minnesota",82.382988,82.600975,84.942848,85.240112,86.802528,87.063698,88.191505,88.38105,77.272331,77.609596,81.426285,81.779076,84.087807,84.412361,86.049088,86.303635,0.11282083,0.12270034,0.10679726,0.12111217,0.10634842,0.11449069,0.11852007,0.12263185,0.095508352,0.11029834,0.10167686,0.11743537,0.098767638,0.10987924,0.10876378,0.11617608,2116131,3093751,3887814,3790139,2158814,3093717,3825397,3626220
28,"MS","Mississippi",81.215591,82.392303,83.611763,84.316147,85.107986,85.634109,86.793633,87.139206,74.724602,76.104668,78.980667,79.76059,81.46183,82.043663,83.81459,84.229057,0.10988712,0.14437382,0.14182264,0.14971375,0.1655093,0.1648038,0.20719358,0.20516241,0.093280904,0.13753283,0.12080803,0.13813321,0.14778325,0.15439847,0.19161166,0.19276285,2322871,1670721,1376574,979642,1948927,1671502,1347486,915049
29,"MO","Missouri",80.796074,81.419334,83.890884,84.327126,85.70919,86.077103,87.449455,87.700371,75.178047,75.851677,79.698349,80.186684,82.347496,82.762016,84.609077,84.933807,0.085927077,0.098898225,0.093680806,0.10650127,0.1034928,0.11088314,0.11974865,0.12345774,0.065644011,0.090388127,0.081422701,0.1005416,0.098583393,0.11354501,0.11227594,0.12057668,3554005,3857317,3761858,3034516,3271700,3611200,3604798,2853355
30,"MT","Montana",82.418388,82.752808,85.159821,85.482399,86.789734,87.071159,88.129517,88.357407,78.069,78.444435,82.236252,82.594788,84.698883,85.000999,85.999603,86.279648,0.20346461,0.20590679,0.21924929,0.21706852,0.2622323,0.25645697,0.31067264,0.30094156,0.1689107,0.18041673,0.19838719,0.2042215,0.23555338,0.23318423,0.29698926,0.28899133,676666,671015,640935,410824,652990,695820,628442,378566
31,"NE","Nebraska",81.948952,82.307762,84.809319,85.08136,86.618729,86.87606,87.864365,88.083191,76.585991,76.960052,80.856606,81.171562,83.283669,83.605186,85.163528,85.444427,0.18087856,0.18211474,0.17804462,0.18046147,0.18473279,0.18025126,0.22424346,0.21923567,0.13948585,0.14871167,0.15665457,0.16438228,0.18554071,0.18890506,0.22118475,0.22075753,859630,1136947,1259440,946375,862391,1170147,1225673,880201
32,"NV","Nevada",80.663567,80.163551,82.570572,82.023972,84.063667,83.674759,86.0905,85.80407,75.603416,75.365318,78.822083,78.58316,81.237885,81.167137,83.460526,83.464432,0.14750776,0.15613939,0.15102355,0.17635171,0.16465583,0.18207887,0.17266767,0.18768223,0.10193071,0.10260597,0.12153298,0.12224662,0.13994861,0.14029479,0.1651867,0.16696526,1396072,1582808,1444143,1294757,1557991,1585093,1459025,1264011
