"cz","cz_name","state","children_in_1980_82_cohorts","am_80_82_cohort","rm_80_82_cohort","p_child_in_q5_parent_in_q1_80_85_cohort","am_college_attendance","rm_college_attendance","am_teenage_birth","rm_teenage_birth","am_females","rm_females","am_males","rm_males","am_males_individual_income","rm_males_individual_income","am_cost_of_living_adjusted","rm_cost_of_living_adjusted","am_2011_2012_parent_income","rm_2011_2012_parent_income","am_single_parents","rm_single_parents","am_married_parents","rm_married_parents","am_83_85_cohort","rm_83_85_cohort","am_80_85_cohort","rm_80_85_cohort","am_white_80_zips","rm_white_80_zips","am_poverty_line","rm_poverty_line","am_college_quality","rm_college_quality"
100,"Johnson City","TN",18494,38.3875,0.3717,0.0621988102793694,33.66625,0.87497,23.1315,-0.31138,39.97675,0.38227,36.83775,0.36175,40.401,0.34168,39.95,0.35808,38.91025,0.33133,36.68425,0.35865,39.35525,0.35337,40.02,0.34876,39.21575,0.35919,38.368,0.37188,66.56876,0.40215,35.08313,0.20682
200,"Morristown","TN",7760,37.77675,0.35611,0.0536519400775433,32.68875,0.77467,27.156,-0.33872,38.7855,0.37426,36.81325,0.33785,40.4385,0.31502,39.361,0.3498,37.97425,0.33409,36.5295,0.3525,38.56425,0.33909,39.36175,0.37071,38.60225,0.36217,37.77675,0.35611,65.30325,0.43897,34.7445,0.16901
301,"Middlesborough","TN",2217,39.04925,0.37557,0.0726351365447044,40.9725,0.67994,23.18125,-0.26063,41.348,0.36896,36.79175,0.38091,40.5835,0.34866,41.008,0.3552,37.82975,0.34943,35.52075,0.31827,40.24225,0.35485,39.953,0.35244,39.516,0.3624,39.0695,0.3749,65.01175,0.48347,36.09037,0.158215
302,"Knoxville","TN",23805,37.84125,0.37253,0.0562812127172947,32.35125,0.85705,24.969,-0.32944,39.60825,0.37445,36.1375,0.3705,39.724,0.3434,39.2465,0.36466,38.5975,0.34286,35.8915,0.34782,39.227,0.3496,39.50275,0.33015,38.691,0.35036,38.7205,0.35782,65.60225,0.39677,34.77657,0.20817
401,"Winston-Salem","NC",16103,36.96925,0.38913,0.0448007918894291,42.95475,0.73715,26.32775,-0.35645,38.80675,0.39667,35.0955,0.38314,38.7825,0.35758,37.583,0.38244,38.99625,0.35405,34.595,0.38944,40.28375,0.32775,38.227,0.35884,37.6315,0.37298,39.6645,0.3567,66.11926,0.38789,38.09144,0.201735
402,"Martinsville","VA",3269,37.29525,0.42257,0.0518358536064625,36.61375,0.85803,26.48475,-0.38949,38.6325,0.42362,35.99575,0.42083,39.87325,0.40349,37.8435,0.40274,38.53175,0.36819,34.48275,0.34155,39.61525,0.38001,38.65025,0.39901,37.99325,0.40961,39.25475,0.42915,67.417,0.43804,36.76275,0.24467
500,"Greensboro","NC",33788,36.47725,0.39521,0.0473969392478466,39.6805,0.76698,25.92525,-0.32971,38.3885,0.39826,34.5605,0.39246,38.6905,0.3689,37.01575,0.39023,38.1025,0.36494,34.2145,0.35002,39.459,0.3432,38.08325,0.35921,37.3145,0.3761,38.79325,0.36401,66.08675,0.39755,37.17088,0.20727
601,"North Wilkesboro","NC",2958,38.3445,0.38886,0.051663126796484,38.33375,0.80467,24.8685,-0.29242,40.7165,0.39134,36.14325,0.38497,37.94375,0.34671,39.519,0.37344,39.3635,0.36086,37.053,0.3942,39.15525,0.37105,40.71425,0.34649,39.54375,0.36631,38.34725,0.38885,66.88325,0.43925,36.55656,0.206405
602,"Galax","VA",1877,40.813,0.41348,0.0795698910951614,35.259,0.82528,21.29325,-0.25051,42.6245,0.38642,39.059,0.4394,40.94575,0.42399,41.7125,0.40074,41.53475,0.35691,39.784,0.51808,41.93675,0.37643,43.28075,0.35955,42.062,0.3842,40.74325,0.41281,69.54125,0.47333,37.287,0.229155
700,"Spartanburg","SC",12280,36.406,0.4044,0.043111190199852,36.047,0.78672,29.94025,-0.37035,37.71875,0.42027,35.11975,0.38415,39.81825,0.35289,37.28925,0.39985,38.33875,0.35519,33.94025,0.36729,39.5075,0.34682,38.7345,0.36638,37.58575,0.38439,38.2495,0.3801,67.727,0.3898,36.10825,0.199115
