"date","tothrs","avgwkhrs","avgwkhrs_adj","effhrsvw","effhrstorn","civnipop16","nipop16","nipop16_17","nipop18_21","nipop22_24","nipop25_34","nipop35_44","nipop45_54","nipop55_64","nipop65","gengovhrs","nprofhrs","bushrs","effhrs70","effhrs80","effhrs7080","rgdp","xbus","hrsbusindex","fisherdlp","dlp","ffr"
1948-01-01,121.873,22.3747294447378,21.7347294447378,109.045077596583,109.045077596583,102698,104748.151,4406.904,9095.578,7028.036,23208.708,20506.876,16863.312,12547.271,11091.466,11.638,3.063,105.021,113.442656905263,106.76967573817,110.106166321728,1616.1,33.173999786377,63.6150016784668,,,
1948-04-01,122.135,22.3584638675349,21.7199049971978,109.299022405282,109.29902236971,102923,105049.7035,4386.9145,9066.274,7014.086,23266.704,20604.352,16901.174,12626.355,11183.844,11.88,3.083,105.061,113.725771853554,107.058409978946,110.392090916259,1644.6,33.9059982299805,63.6389999389648,,,
1948-07-01,123.491,22.5419896567434,21.9048636660252,110.532249229331,110.532249150499,103240,105351.256,4366.925,9036.97,7000.136,23324.7,20701.828,16939.036,12705.439,11276.222,12.216,3.129,106.029,115.028105697964,108.306910520044,111.667508109011,1654.1,33.7690010070801,64.2249984741211,,,
1948-10-01,123.027,22.3931944009197,21.7574932585431,110.136606442027,110.136606313919,103424,105652.807,4346.935,9007.665,6986.186,23382.698,20799.302,16976.896,12784.524,11368.601,12.486,3.173,105.351,114.635527388759,107.959709874495,111.297618631631,1658,34.0390014648438,63.814998626709,,,
1949-01-01,121.615,22.0731839374627,21.4388995359,108.891990380962,108.891990198577,103559,105954.3565,4326.945,8978.36,6972.2355,23440.696,20896.776,17014.756,12863.608,11460.98,12.579,3.225,103.877,113.35916932487,106.779871894708,110.069520609791,1633.2,33.8720016479492,62.9220008850098,,,
1949-04-01,120.779,21.8592368065204,21.2263609543005,108.195307538419,108.195299440204,103845,106255.909,4306.9555,8949.056,6958.2855,23498.692,20994.252,17052.618,12942.692,11553.358,12.642,3.28,102.934,112.619274063,106.1049653437,109.36211970335,1628.4,34.0209999084473,62.351001739502,,,
1949-07-01,119.069,21.4751878856377,20.8451354175177,106.714590095755,106.714573512794,104121,106624.8395,4287.675,8927.819,6955.3715,23574.792,21105.532,17100.246,13004.49,11668.914,12.613,3.29,101.257,111.06405938701,104.661436540997,107.862747964002,1646.7,35.0379981994629,61.3349990844727,,,
1949-10-01,117.919,21.1944396645014,20.5671910977255,105.734541833557,105.734516007741,104421,106993.7735,4268.395,8906.582,6952.4575,23650.892,21216.814,17147.874,13066.289,11784.47,12.498,3.301,99.967,110.030910794199,103.709356082483,106.870133438337,1629.9,35.0670013427734,60.5530014038086,,,
1950-01-01,118.274,21.1851956902466,20.5607315226914,106.103641737852,106.103605393794,104737,107362.709,4249.1145,8885.346,6949.5435,23726.994,21328.096,17195.502,13128.088,11900.025,12.429,3.35,100.269,110.402679393795,104.081368324547,107.242023859165,1696.8,36.6780014038086,60.7360000610352,,,
1950-04-01,120.492,21.5085731258536,20.8868694700057,108.261741713546,108.078666199536,105014,107731.6395,4229.834,8864.109,6946.6295,23803.094,21439.376,17243.13,13189.886,12015.581,12.433,3.375,102.494,112.51539919062,106.095257003674,109.30532809714,1747.3,37.0400009155273,62.0849990844727,,,
