"date","rgdp","pgdp","cons","inv","hours","rcomp","ff"
1959-01-01,24.375,20.68,22.641,14.865,60.12,61.686,2.57
1959-04-01,25.016,20.711,23.025,16.121,61.27,62.205,3.08333333333333
1959-07-01,24.997,20.77,23.284,14.989,61.09,62.302,3.57666666666667
1959-10-01,25.085,20.853,23.317,15.491,61.099,62.528,3.99
1960-01-01,25.643,20.903,23.527,17.198,61.476,63.789,3.93333333333333
1960-04-01,25.515,20.995,23.817,15.443,61.585,63.781,3.69666666666667
1960-07-01,25.555,21.093,23.719,15.348,61.236,64.108,2.93666666666667
1960-10-01,25.224,21.186,23.746,13.458,60.667,63.974,2.29666666666667
1961-01-01,25.376,21.21,23.744,13.792,60.327,64.416,2.00333333333333
1961-04-01,25.853,21.249,24.1,14.828,60.186,65.347,1.73333333333333
1961-07-01,26.272,21.305,24.217,16.075,60.54,65.577,1.68333333333333
1961-10-01,26.809,21.36,24.704,16.349,61.309,65.95,2.4
1962-01-01,27.291,21.482,24.968,17.322,61.534,66.76,2.45666666666667
1962-04-01,27.589,21.538,25.271,17.152,62.268,66.945,2.60666666666667
1962-07-01,27.843,21.596,25.477,17.454,62.138,67.217,2.84666666666667
1962-10-01,27.911,21.671,25.84,16.861,61.742,67.686,2.92333333333333
1963-01-01,28.277,21.732,26.013,17.802,62.118,68.124,2.96666666666667
1963-04-01,28.63,21.754,26.263,18.059,62.511,68.351,2.96333333333333
1963-07-01,29.169,21.794,26.62,18.652,62.68,68.631,3.33
1963-10-01,29.396,21.923,26.846,18.889,63.167,69.233,3.45333333333333
1964-01-01,30.055,22.001,27.379,19.659,64.34,68.902,3.46333333333333
1964-04-01,30.404,22.073,27.864,19.573,64.62,69.548,3.49
1964-07-01,30.819,22.18,28.38,20.034,65.034,70.304,3.45666666666667
1964-10-01,30.902,22.282,28.459,20.187,65.665,70.501,3.57666666666667
1965-01-01,31.661,22.38,29.087,22.229,66.691,70.563,3.97333333333333
1965-04-01,32.089,22.479,29.409,22.222,67.352,70.583,4.07666666666667
1965-07-01,32.74,22.578,29.914,23.017,67.511,71.108,4.07333333333333
1965-10-01,33.532,22.717,30.755,23.131,68.15,71.782,4.16666666666667
1966-01-01,34.352,22.857,31.208,25.075,69.134,72.361,4.55666666666667
1966-04-01,34.471,23.071,31.294,24.622,69.812,72.844,4.91333333333333
1966-07-01,34.698,23.293,31.652,24.381,70.139,73.249,5.41
1966-10-01,34.977,23.498,31.783,24.501,69.95,73.642,5.56333333333333
1967-01-01,35.287,23.611,31.97,23.822,69.872,74.404,4.82333333333333
1967-04-01,35.289,23.759,32.398,22.808,69.444,75.18,3.99
1967-07-01,35.569,23.977,32.563,23.465,69.672,75.479,3.89333333333333
1967-10-01,35.838,24.242,32.759,23.971,69.989,75.731,4.17333333333333
1968-01-01,36.576,24.503,33.539,24.498,70.113,77.109,4.78666666666667
1968-04-01,37.197,24.777,34.055,25.486,70.786,77.646,5.98
1968-07-01,37.45,25.017,34.695,24.656,71.281,77.888,5.94333333333333
1968-10-01,37.608,25.367,34.849,24.909,71.721,78.469,5.91666666666667
1969-01-01,38.201,25.622,35.24,26.55,72.393,78.533,6.56666666666667
1969-04-01,38.31,25.966,35.463,26.34,73.063,78.556,8.32666666666667
1969-07-01,38.548,26.345,35.626,26.953,73.413,78.883,8.98333333333333
1969-10-01,38.365,26.678,35.906,25.509,73.19,79.21,8.94
1970-01-01,38.301,27.051,36.122,24.704,72.902,79.41,8.57333333333333
1970-04-01,38.373,27.437,36.29,24.787,71.941,79.625,7.88
1970-07-01,38.714,27.655,36.607,25.207,71.576,80.163,6.70333333333333
1970-10-01,38.299,28.009,36.503,23.735,71.029,79.87,5.56666666666667
1971-01-01,39.361,28.429,37.205,26.827,71.364,80.812,3.85666666666667
1971-04-01,39.583,28.809,37.548,27.65,71.594,81.332,4.56333333333333
1971-07-01,39.897,29.097,37.847,28.02,71.595,81.688,5.47333333333333
1971-10-01,40.011,29.329,38.479,27.156,72.361,81.724,4.75
