"date","kuttner","intermeeting","MP1","MP2","MP3","MP4","MP5","MP6","FF1","FF2","FF3","FF4","FF5","FF6","ED1","ED2","ED3","ED4","ED5","ED6","ED7","ED8","OIS01YR","OIS02YR","ONRUN3M","ONRUN6M","ONRUN2","ONRUN5","ONRUN10","ONRUN30","TIPS5","TIPS10","SP500","NASDAQ","WILSHIRE","SP500FUT","EURO","YEN","DXY","SWP2YSPD","SWP5YSPD","SWP10YSPD"
1984-02-01,,0,,,,,,,,,,,,,-0.02,0.01,0,-0.01,,,,,,,,,,,,,,,,,,-0.09066,,-0.17897,-0.40574,,,
1984-03-28,,0,,,,,,,,,,,,,-0.08,0,0,-0.01,,,,,,,,,,,,,,,,,,,,0.11138,0.11999,,,
1984-05-23,,0,,,,,,,,,,,,,0.02,0.03,0.04,0.03,,,,,,,,,,,,,,,,,,-0.22595,,-0.37728,0.10707,,,
1984-07-18,,0,,,,,,,,,,,,,0.01,0.02,0.01,0,,,,,,,,,,,,,,,,,,-0.13038,,0.61894,0.38572,,,
1984-08-22,,0,,,,,,,,,,,,,-0.02,-0.02,-0.01,0,,,,,,,,,,,,,,,,,,0.0586,,-0.35102,-0.17851,,,
1984-10-03,,0,,,,,,,,,,,,,0.02,0.01,0,0.01,,,,,,,,,,,,,,,,,,0.09003,,-0.10163,-0.42438,,,
1984-11-08,,0,,,,,,,,,,,,,0.03,0.04,0.02,0.02,,,,,,,,,,,,,,,,,,-0.14658,,0.06229,0.14429,,,
1984-11-21,,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,0.2982,0.24448,,,
1984-12-19,,0,,,,,,,,,,,,,0.05,-0.08,-0.08,-0.09,,,,,,,,,,,,,,,,,,0,,0.40932,0.36146,,,
1984-12-21,,0,,,,,,,,,,,,,-0.15,-0.64,-0.58,-0.51,,,,,,,,,,,,,,,,,,,,-0.06046,-0.23009,,,
1985-02-14,,0,,,,,,,,,,,,,-0.05,-0.04,-0.04,-0.04,,,,,,,,,,,,,,,,,,0,,-0.87519,-0.38322,,,
1985-02-21,,0,,,,,,,,,,,,,0,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,-0.193,,0.19135,0.55518,,,
1985-03-27,,0,,,,,,,,,,,,,-0.01,-0.01,-0.02,-0.06,,,,,,,,,,,,,,,,,,,,-1.35082,-1.87187,,,
1985-04-18,,0,,,,,,,,,,,,,-0.03,-0.03,-0.03,0.01,,,,,,,,,,,,,,,,,,0.10956,,-0.78141,-1.01386,,,
1985-05-17,,0,,,,,,,,,,,,,-0.26,-0.33,-0.36,-0.4,,,,,,,,,,,,,,,,,,,,-0.31809,-0.33341,,,
1985-05-22,,0,,,,,,,,,,,,,0,0,0,0.01,,,,,,,,,,,,,,,,,,-0.07926,,0.1998,0.15712,,,
1985-07-11,,0,,,,,,,,,,,,,-0.01,0,0,0,,,,,,,,,,,,,,,,,,-0.18009,,-0.18484,-0.18766,,,
1985-08-01,,0,,,,,,,,,,,,,0.02,0.03,-0.03,0.01,,,,,,,,,,,,,,,,,,0.05211,,0.50751,0.61041,,,
1985-08-21,,0,,,,,,,,,,,,,-0.02,-0.03,-0.04,-0.04,,,,,,,,,,,,,,,,,,0.23778,,-0.16849,-0.16979,,,
1985-09-06,,0,,,,,,,,,,,,,0.01,0.02,0.04,0.03,,,,,,,,,,,,,,,,,,0.0531,,1.52115,1.44013,,,
1985-10-02,,0,,,,,,,,,,,,,-0.01,-0.01,0,0.01,,,,,,,,,,,,,,,,,,0.02693,,-0.4186,-0.30462,,,
1985-11-06,,0,,,,,,,,,,,,,-0.01,0.01,0.01,0,,,,,,,,,,,,,,,,,,-0.26021,,-1.32212,-0.45997,,,
