"date","price","d12","e12","ret","retx","AAA","BAA","lty","ltr","corpr","tbl","Rfree","dp","dy","ep","de","bm","tms","dfy","dfr","infl","eqis","ntis","svar","cay","ik","csp","pce","vp","impvar","vrp","govik","lzrt","skew","crdstd","ogap","wtexas","accrul","cfacc","sntm","ndrbl","skvw","tail","fbm","dtoy","dtoat","ygap","rdsp","rsvix","gpce","gip","tchi","house","avgcor","shtint","disag"
1871-01-01,4.74,0.26,0.4,,,,,,,,,0.0496098378405785,0.0548523206751055,0.0560344827586207,0.0843881856540084,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872-01-01,5.07,0.3,0.43,,,,,,,,,0.0741341800822553,0.0591715976331361,0.0606060606060606,0.0848126232741617,0.697674418604651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873-01-01,4.42,0.33,0.46,,,,,,,,,0.0917152744971632,0.0746606334841629,0.0816831683168317,0.104072398190045,0.717391304347826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874-01-01,4.54,0.33,0.46,,,,,,,,,0.0583139676116109,0.0726872246696035,0.0722100656455142,0.101321585903084,0.717391304347826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875-01-01,4.37,0.3,0.36,,,,,,,,,0.0458968191802567,0.068649885583524,0.068649885583524,0.0823798627002288,0.833333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876-01-01,3.58,0.3,0.28,,,,,,,,,0.043972735039346,0.0837988826815642,0.0833333333333333,0.0782122905027933,1.07142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877-01-01,3.25,0.19,0.3,,,,,,,,,0.0422782501794645,0.0584615384615385,0.0582822085889571,0.0923076923076923,0.633333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878-01-01,3.45,0.18,0.31,,,,,,,,,0.0386568760309474,0.0521739130434783,0.0518731988472622,0.0898550724637681,0.580645161290323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879-01-01,4.92,0.2,0.38,,,,,,,,,0.04089233193263,0.040650406504065,0.0405679513184584,0.0772357723577236,0.526315789473684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880-01-01,5.84,0.26,0.49,,,,,,,,,0.0434044475312296,0.0445205479452055,0.0463458110516934,0.0839041095890411,0.530612244897959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881-01-01,6.01,0.32,0.44,,,,,,,,,0.0422321624248314,0.0532445923460899,0.0516962843295638,0.0732113144758735,0.727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882-01-01,5.84,0.32,0.43,,,,,,,,,0.0491516043099136,0.0547945205479452,0.0550774526678141,0.0736301369863014,0.744186046511628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883-01-01,5.34,0.33,0.4,,,,,,,,,0.0491544160058719,0.0617977528089888,0.0604395604395604,0.0749063670411985,0.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884-01-01,4.34,0.31,0.31,,,,,,,,,0.0436794550979553,0.0714285714285714,0.071264367816092,0.0714285714285714,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885-01-01,5.2,0.24,0.27,,,,,,,,,0.0332023628809905,0.0461538461538461,0.0458015267175572,0.0519230769230769,0.888888888888889,,,,,,,,0.02373890328747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886-01-01,5.64,0.22,0.33,,,,,,,,,0.0360609038955517,0.0390070921985816,0.0379965457685665,0.0585106382978723,0.666666666666667,,,,,,,,0.01645860214014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887-01-01,5.27,0.25,0.36,,,,,,,,,0.0483016033129431,0.047438330170778,0.0471698113207547,0.0683111954459203,0.694444444444444,,,,,,,,0.01829845982459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888-01-01,5.14,0.23,0.26,,,,,,,,,0.0422608734628047,0.0447470817120623,0.0438931297709924,0.0505836575875486,0.884615384615385,,,,,,,,0.01285060194772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889-01-01,5.32,0.22,0.3,,,,,,,,,0.0374291583032906,0.0413533834586466,0.0411214953271028,0.056390977443609,0.733333333333333,,,,,,,,0.00687403752511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890-01-01,4.6,0.22,0.29,,,,,,,,,0.0458988373686671,0.0478260869565217,0.0467091295116773,0.0630434782608696,0.758620689655172,,,,,,,,0.02262105886176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891-01-01,5.41,0.22,0.34,,,,,,,,,0.0493783347508383,0.0406654343807763,0.0419047619047619,0.0628465804066543,0.647058823529412,,,,,,,,0.01612353170027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892-01-01,5.51,0.24,0.37,,,,,,,,,0.0325196696249628,0.043557168784029,0.0430879712746858,0.0671506352087114,0.648648648648649,,,,,,,,0.01088615975763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893-01-01,4.41,0.25,0.26,,,,,,,,,0.0613335992304325,0.0566893424036281,0.0547045951859956,0.0589569160997732,0.961538461538461,,,,,,,,0.05458439037797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
