"date","intermediary_capital_ratio","intermediary_capital_risk_factor","intermediary_value_weighted_investment_return","intermediary_leverage_ratio_squared"
1970-01-01,0.0691,-0.0727,-0.096,209.179
1970-02-01,0.0788,0.1416,0.1486,161.1352
1970-03-01,0.0756,-0.036,-0.0088,174.8429
1970-04-01,0.0688,-0.087,-0.105,211.3283
1970-05-01,0.0656,-0.044,-0.0469,232.2706
1970-06-01,0.0662,0.0105,-0.003,228.1091
1970-07-01,0.0715,0.0808,0.093,195.833
1970-08-01,0.0738,0.0358,0.0428,183.4763
1970-09-01,0.07,-0.0481,-0.0185,203.8182
1970-10-01,0.0658,-0.0588,-0.0677,231.2686
1970-11-01,0.0684,0.042,0.0461,213.6244
1970-12-01,0.0725,0.0621,0.0882,190.1067
1971-01-01,0.0706,-0.0233,-0.0147,200.4905
1971-02-01,0.0716,0.0163,0.0236,195.0951
1971-03-01,0.0761,0.0662,0.0996,172.5107
1971-04-01,0.0728,-0.0405,-0.0394,188.7554
1971-05-01,0.0681,-0.0617,-0.0694,215.7244
1971-06-01,0.0632,-0.0698,-0.0303,250.3768
1971-07-01,0.0613,-0.0292,-0.0371,266.1159
1971-08-01,0.0623,0.0169,0.0296,257.5166
1971-09-01,0.0615,-0.013,0.0091,264.677
1971-10-01,0.0605,-0.0148,-0.0218,272.9222
1971-11-01,0.0631,0.043,0.039,250.9673
1971-12-01,0.0786,0.2461,0.0554,161.8508
1972-01-01,0.0782,-0.0014,-0.0026,163.5819
1972-02-01,0.0764,-0.0184,-0.0193,171.1153
1972-03-01,0.0896,0.1757,0.1154,124.5437
1972-04-01,0.0891,3e-04,-0.005,125.8452
1972-05-01,0.0866,-0.0229,-0.0308,133.304
1972-06-01,0.0774,-0.1009,-0.0225,166.7841
1972-07-01,0.08,0.0373,0.0378,156.1207
1972-08-01,0.0859,0.0777,0.0771,135.4632
1972-09-01,0.0819,-0.0416,-0.0033,149.0376
1972-10-01,0.0812,-0.0043,-0.0066,151.673
1972-11-01,0.0813,0.0056,0.0049,151.3121
1972-12-01,0.0791,-0.0223,0.0031,159.7084
1973-01-01,0.0745,-0.0539,-0.0605,179.9621
1973-02-01,0.0706,-0.0493,-0.0563,200.5033
1973-03-01,0.0673,-0.0442,-0.0047,220.6194
1973-04-01,0.0637,-0.0522,-0.0556,246.5429
1973-05-01,0.0627,-0.0151,-0.0168,254.665
1973-06-01,0.0627,0.0013,0.0501,254.3526
1973-07-01,0.0678,0.0817,0.0901,217.692
1973-08-01,0.0668,-0.0123,-0.0133,224.0092
1973-09-01,0.0676,0.0131,0.09,218.9789
1973-10-01,0.0675,8e-04,0.0017,219.4536
1973-11-01,0.0624,-0.0743,-0.082,257.125
1973-12-01,0.0608,-0.025,0.028,270.8155
1974-01-01,0.0608,2e-04,0.0037,270.8054
1974-02-01,0.061,0.0049,0.0059,268.313
1974-03-01,0.0616,0.0096,-0.0297,263.3733
1974-04-01,0.0592,-0.0392,-0.04,285.5915
1974-05-01,0.0532,-0.1015,-0.1063,353.6263
1974-06-01,0.0421,-0.2102,-0.1369,563.8577
1974-07-01,0.0394,-0.0724,-0.064,645.4005
1974-08-01,0.0354,-0.1101,-0.1031,799.2393
1974-09-01,0.0321,-0.1035,-0.0723,969.2521
1974-10-01,0.0405,0.2453,0.275,610.7572
1974-11-01,0.0404,-0.0107,-0.0029,614.0525
1974-12-01,0.0372,-0.0874,-0.0651,724.3574
1975-01-01,0.0453,0.2101,0.2351,486.4194
1975-02-01,0.0436,-0.0428,-0.0445,525.0408
1975-03-01,0.0455,0.0374,0.0039,482.0331
1975-04-01,0.0487,0.0644,0.0762,421.2562
1975-05-01,0.0496,0.0139,0.0191,406.7325
1975-06-01,0.0516,0.037,0.0964,375.6953
1975-07-01,0.0479,-0.0743,-0.0734,435.9156
1975-08-01,0.0449,-0.0667,-0.0646,496.0415
1975-09-01,0.0391,-0.1342,-0.1373,653.2799
1975-10-01,0.0398,0.0092,0.0227,630.3657
1975-11-01,0.042,0.0468,0.0567,566.0923
1975-12-01,0.0412,-0.0276,0.0175,590.0998
1976-01-01,0.0465,0.1227,0.1378,461.8577
1976-02-01,0.0473,0.0118,0.0218,446.9185
1976-03-01,0.0504,0.0606,0.0663,393.9931
1976-04-01,0.0493,-0.0236,-0.0202,410.6307
1976-05-01,0.0485,-0.0217,-0.0166,425.937
1976-06-01,0.0512,0.0524,0.086,381.6905
1976-07-01,0.0497,-0.0314,-0.0287,404.481
1976-08-01,0.0474,-0.0509,-0.0477,445.7974
1976-09-01,0.0459,-0.0356,-0.0131,474.93
1976-10-01,0.0466,0.0107,0.0124,460.2507
1976-11-01,0.0457,-0.0247,-0.0184,479.1506
1976-12-01,0.048,0.0461,0.1324,433.557
1977-01-01,0.0454,-0.0596,-0.0565,486.0237
1977-02-01,0.0436,-0.0444,-0.0386,526.3447
1977-03-01,0.0423,-0.0365,-0.0216,559.683
1977-04-01,0.0418,-0.0174,-0.0091,571.5284
1977-05-01,0.0458,0.0882,-0.0191,476.2704
1977-06-01,0.0468,0.0165,0.0677,456.2955
1977-07-01,0.047,-3e-04,0.0078,452.3309
1977-08-01,0.0463,-0.0199,-0.0177,466.5097
1977-09-01,0.0434,-0.0682,-0.0225,531.7023
1977-10-01,0.0403,-0.0762,-0.0684,614.568
1977-11-01,0.0423,0.0414,0.0517,558.0029
1977-12-01,0.0389,-0.0891,-0.0242,662.3317
