"date","intermediary_capital_ratio","intermediary_capital_risk_factor","intermediary_value_weighted_investment_return","intermediary_leverage_ratio_squared"
1970-01-01,0.0756,0.0225,0.0293,174.8429
1970-04-01,0.0662,-0.1123,-0.1495,228.1091
1970-07-01,0.07,0.0639,0.1186,203.8182
1970-10-01,0.0725,0.0442,0.0614,190.1067
1971-01-01,0.0761,0.0601,0.109,172.5107
1971-04-01,0.0632,-0.1574,-0.1331,250.3768
1971-07-01,0.0615,-0.0238,4e-04,264.677
1971-10-01,0.0786,0.2809,0.0727,161.8508
1972-01-01,0.0896,0.1539,0.091,124.5437
1972-04-01,0.0774,-0.1167,-0.0573,166.7841
1972-07-01,0.0819,0.0711,0.1142,149.0376
1972-10-01,0.0791,-0.0184,0.0013,159.7084
1973-01-01,0.0673,-0.135,-0.1175,220.6194
1973-04-01,0.0627,-0.0619,-0.0249,254.3526
1973-07-01,0.0676,0.0809,0.1724,218.9789
1973-10-01,0.0608,-0.0938,-0.0547,270.8155
1974-01-01,0.0616,0.0155,-0.0203,263.3733
1974-04-01,0.0421,-0.3143,-0.2595,563.8577
1974-07-01,0.0321,-0.2601,-0.2211,969.2521
1974-10-01,0.0372,0.1093,0.1886,724.3574
1975-01-01,0.0455,0.1924,0.1848,482.0331
1975-04-01,0.0516,0.1158,0.2025,375.6953
1975-07-01,0.0391,-0.25,-0.2523,653.2799
1975-10-01,0.0412,0.0233,0.0996,590.0998
1976-01-01,0.0504,0.1992,0.2397,393.9931
1976-04-01,0.0512,0.0061,0.0464,381.6905
1976-07-01,0.0459,-0.1123,-0.0872,474.93
1976-10-01,0.048,0.0303,0.1254,433.557
1977-01-01,0.0423,-0.133,-0.1125,559.683
1977-04-01,0.0468,0.085,0.0378,456.2955
1977-07-01,0.0434,-0.0885,-0.0323,531.7023
1977-10-01,0.0389,-0.1246,-0.044,662.3317
1978-01-01,0.0368,-0.0814,-0.0344,736.8426
1978-04-01,0.0379,-0.0056,0.0914,696.4982
1978-07-01,0.0408,0.0444,0.1204,601.545
1978-10-01,0.0346,-0.1759,-0.099,833.5422
1979-01-01,0.0351,-0.0268,0.0381,812.1388
1979-04-01,0.0361,-0.0104,0.1073,768.1275
1979-07-01,0.0349,-0.0683,0.0313,820.1747
1979-10-01,0.0323,-0.1149,-0.0401,960.1299
1980-01-01,0.0281,-0.1754,-0.1054,1263.7981
1980-04-01,0.0319,0.0709,0.204,984.4025
1980-07-01,0.0313,-0.0664,0.0039,1020.9511
1980-10-01,0.0351,0.0704,0.1685,813.0171
1981-01-01,0.0352,-0.0343,0.0314,805.8998
1981-04-01,0.0393,0.078,0.1012,646.6597
1981-07-01,0.0354,-0.1282,-0.0975,797.8891
1981-10-01,0.0359,-0.0234,0.0522,775.3599
1982-01-01,0.0338,-0.0962,-0.0494,876.8739
1982-04-01,0.0301,-0.1521,-0.0929,1106.3726
1982-07-01,0.0333,0.0535,0.1742,901.0387
1982-10-01,0.0406,0.1762,0.2731,605.3885
1983-01-01,0.0494,0.19,0.2208,409.6031
1983-04-01,0.0539,0.079,0.0994,344.6621
1983-07-01,0.0466,-0.1413,-0.1332,461.3618
1983-10-01,0.0453,-0.0423,0.0022,487.3053
1984-01-01,0.0424,-0.0808,-0.0381,555.7084
1984-04-01,0.0361,-0.1705,-0.1074,765.9731
1984-07-01,0.0418,0.1204,0.1807,572.8842
1984-10-01,0.0435,0.0168,0.0566,529.3503
1985-01-01,0.0479,0.0828,0.1245,434.9743
1985-04-01,0.0509,0.049,0.1216,385.5332
1985-07-01,0.0419,-0.1865,-0.1481,569.6769
1985-10-01,0.0502,0.1743,0.2857,397.2365
1986-01-01,0.0612,0.2099,0.2552,266.8955
1986-04-01,0.0582,-0.0468,-0.0538,294.9045
1986-07-01,0.0504,-0.1352,-0.1096,393.5155
1986-10-01,0.0503,-0.0113,0.0348,394.6643
1987-01-01,0.053,0.0429,0.0996,356.074
1987-04-01,0.0544,0.0203,0.0142,337.6768
1987-07-01,0.0554,0.0133,0.0165,325.6977
1987-10-01,0.0388,-0.3033,-0.3273,663.6841
1988-01-01,0.0398,-0.0042,0.0869,631.2809
1988-04-01,0.0463,0.1366,0.1576,465.8767
1988-07-01,0.0471,0.0015,0.0418,450.2776
1988-10-01,0.0454,-0.0501,-0.0199,484.2536
1989-01-01,0.0507,0.099,0.1639,388.7629
1989-04-01,0.0508,-0.007,0.049,386.9154
1989-07-01,0.0574,0.1203,0.1373,303.2216
1989-10-01,0.0526,-0.0853,-0.1026,361.0093
1990-01-01,0.0469,-0.1159,-0.1059,454.5833
1990-04-01,0.0484,0.0165,0.0628,427.432
1990-07-01,0.035,-0.2885,-0.2716,815.1838
1990-10-01,0.0394,0.0853,0.1189,645.0307
1991-01-01,0.0472,0.1695,0.2704,449.5197
1991-04-01,0.0457,-0.0457,-0.028,479.0571
1991-07-01,0.0509,0.0982,0.1623,385.4507
1991-10-01,0.0494,-0.0385,-0.0058,409.1582
1992-01-01,0.0564,0.1302,0.0498,314.121
1992-04-01,0.0585,0.0335,0.0725,292.5247
1992-07-01,0.0551,-0.0586,-0.028,329.5886
1992-10-01,0.0668,0.2094,0.1368,223.7764
1993-01-01,0.0703,0.0582,0.1332,202.3029
1993-04-01,0.072,0.0337,0.03,192.6416
1993-07-01,0.0776,0.0869,0.1253,166.1187
1993-10-01,0.0729,-0.0468,-0.0606,188.0467
1994-01-01,0.0645,-0.1056,-0.0691,240.728
1994-04-01,0.0658,0.0252,0.0467,231.0952
1994-07-01,0.0639,-0.0233,0.0181,245.0811
1994-10-01,0.0608,-0.0434,-0.0284,270.1508
1995-01-01,0.0637,0.0478,0.1206,246.7595
1995-04-01,0.0699,0.1026,0.1598,204.4391
1995-07-01,0.081,0.1671,0.1924,152.3474
1995-10-01,0.0764,-0.0421,0.0056,171.436
1996-01-01,0.0836,0.1067,0.1396,143.2435
1996-04-01,0.0813,-0.0107,0.0159,151.3293
1996-07-01,0.087,0.0857,0.1018,132.0889
1996-10-01,0.0945,0.104,0.1686,111.9967
1997-01-01,0.0938,0.014,0.0529,113.5918
1997-04-01,0.1032,0.1206,0.1883,93.9116
1997-07-01,0.1153,0.1412,0.1488,75.2379
1997-10-01,0.1176,0.0475,0.0371,72.2971
1998-01-01,0.128,0.1165,0.14,61.0175
1998-04-01,0.1315,0.0575,0.0492,57.8209
1998-07-01,0.0859,-0.3157,-0.3402,135.4547
1998-10-01,0.116,0.3673,0.2794,74.3491
1999-01-01,0.1274,0.126,0.1479,61.6188
1999-04-01,0.1297,0.0484,0.0316,59.4353
1999-07-01,0.1115,-0.1096,-0.1349,80.3993
1999-10-01,0.1183,0.0872,0.0997,71.4534
2000-01-01,0.1107,-0.0358,0.0081,81.5462
2000-04-01,0.1059,-0.0178,-0.0404,89.2214
2000-07-01,0.1206,0.1636,0.2037,68.807
2000-10-01,0.114,-0.0255,0.001,76.9123
2001-01-01,0.1067,-0.0368,-0.0958,87.7712
2001-04-01,0.11,0.0558,0.0309,82.6215
2001-07-01,0.0898,-0.1576,-0.1389,123.9622
2001-10-01,0.0901,0.0227,0.1492,123.0958
2002-01-01,0.0939,0.0607,0.0272,113.5129
2002-04-01,0.0894,-0.0271,-0.0321,125.2185
2002-07-01,0.0723,-0.1723,-0.1936,191.4924
2002-10-01,0.0757,0.0572,0.0933,174.6694
2003-01-01,0.0685,-0.0831,-0.032,213.4175
2003-04-01,0.0802,0.1797,0.2644,155.3576
2003-07-01,0.0835,0.0556,0.0552,143.4128
2003-10-01,0.0915,0.1123,0.1513,119.4128
2004-01-01,0.0872,-0.0272,0.0295,131.5198
2004-04-01,0.086,0.0049,-0.0225,135.0635
2004-07-01,0.0861,0.0186,0.0285,134.7965
2004-10-01,0.0895,0.0573,0.1177,124.7077
2005-01-01,0.0748,-0.1453,-0.039,178.6069
2005-04-01,0.0761,0.0284,0.0078,172.8033
2005-07-01,0.0793,0.0549,0.0626,159.0216
2005-10-01,0.0833,0.0645,0.0777,144.185
2006-01-01,0.0846,0.0316,0.0896,139.8673
2006-04-01,0.0797,-0.0404,0.0022,157.3678
2006-07-01,0.0814,0.0359,0.0968,150.8428
2006-10-01,0.0818,0.0201,0.0626,149.4307
2007-01-01,0.0703,-0.1249,-0.0049,202.2787
2007-04-01,0.0704,0.0097,0.0471,201.9464
2007-07-01,0.0644,-0.0756,-0.034,240.9789
2007-10-01,0.0568,-0.1136,-0.0884,309.9218
2008-01-01,0.0446,-0.2178,-0.125,503.4633
2008-04-01,0.0397,-0.1274,-0.1332,634.0744
2008-07-01,0.0447,0.0967,0.023,501.5538
2008-10-01,0.026,-0.4368,-0.4061,1483.2013
2009-01-01,0.0265,-0.0516,-0.1721,1424.1933
2009-04-01,0.0401,0.4454,0.4994,620.5691
2009-07-01,0.052,0.2685,0.2816,369.8997
2009-10-01,0.0505,-0.037,-0.0541,392.4792
2010-01-01,0.0544,0.0674,0.0642,338.3008
2010-04-01,0.046,-0.159,-0.1681,472.6668
2010-07-01,0.048,0.0281,0.0999,433.4138
2010-10-01,0.0495,0.0178,0.0219,407.8335
2011-01-01,0.0507,0.0123,0.0703,389.4913
2011-04-01,0.048,-0.063,-0.0426,434.7743
2011-07-01,0.0354,-0.2754,-0.2786,798.6187
2011-10-01,0.0363,-0.0119,0.0205,758.6883
2012-01-01,0.0456,0.2203,0.2554,481.061
2012-04-01,0.0398,-0.1442,-0.1361,631.7171
2012-07-01,0.0433,0.0599,0.1086,534.2535
2012-10-01,0.049,0.1108,0.1367,417.2462
2013-01-01,0.0472325568852327,0.0168223150646672,0.0711293544918774,448.246686018038
2013-04-01,0.0497175471649125,0.0383438296551841,0.0541612266896301,404.557830056858
2013-07-01,0.0552094260389565,0.0997219522172237,0.0433736028080576,328.075300720711
2013-10-01,0.060246395748545,0.0871653242554309,0.0714971458746669,275.510312546562
2014-01-01,0.0596350436560242,-0.0302761402481057,-0.00815817618929115,281.18808689367
2014-04-01,0.0584507798672761,-0.019445219115616,-0.0228812294003928,292.697747293335
2014-07-01,0.0604781937100997,0.0339663286696664,0.0657498393042755,273.402433990623
2014-10-01,0.0615596781258572,0.0190749990482139,0.0201405550372373,263.880512704875
2015-01-01,0.0581198133435903,-0.0537172064423524,-0.0240091811970656,296.040806230462
2015-04-01,0.0643869655661718,0.10678725531876,0.060976667300086,241.214873801574
2015-07-01,0.058012376886892,-0.0944646638721977,-0.088516439759498,297.138331560564
2015-10-01,0.0624195508078405,0.0748189611022435,0.0403775830642798,256.660314430784
2016-01-01,0.0510108683787443,-0.179866720876044,-0.15069444760794,384.303700604371
2016-04-01,0.0532210515946517,-0.06719336026583,-0.00341036378112646,353.047464586326
2016-07-01,0.0580643698313719,0.084678943088755,0.106588002984214,296.606432911547
2016-10-01,0.0706022062082182,0.214830828685557,0.275619085916358,200.615024619625
2017-01-01,0.0742041795941909,0.060116218018842,0.0290502932123977,181.611466058935
2017-04-01,0.0759287006460123,0.0346309825446596,0.0314012406036119,173.455495579751
2017-07-01,0.0790614356014479,0.053670217320821,0.0478445118172866,159.981810724381
2017-10-01,0.082577061151116,0.0586183300838688,0.0815464688866581,146.649691843788
2018-01-01,0.0790761319809887,-0.0264491188469591,-0.0365441018874046,159.922350685834
2018-04-01,0.0731760788436387,-0.0604531541449358,-0.0205665873773982,186.750482252632
2018-07-01,0.0754740817030023,0.0421632113391366,0.0273830672944357,175.551411097268
2018-10-01,0.0642006258390064,-0.137221769130091,-0.142763685207155,242.617138746428
2019-01-01,0.0672560801794374,0.0519816508845213,0.075124165356349,221.073606244141
2019-04-01,0.0677005814298254,0.0133578633470769,0.0491790322530059,218.180133389921
2019-07-01,0.0656919409718732,-0.0225951972502255,0.0324243217812774,231.726558673382
2019-10-01,0.0735037873510763,0.124484732931013,0.114572704695912,185.088981589688
2020-01-01,0.0427326936217489,-0.407670152293359,-0.339509082276615,547.620202890155
2020-04-01,0.0455281195857749,0.0437150417640235,0.091289078583263,482.436961298368
2020-07-01,0.0437825094562108,-0.0552521041418878,-0.0224644331034425,521.673408399377
2020-10-01,0.0557026860355913,0.252428248239442,0.302279335599784,322.290663452797
2021-01-01,0.0640800669032608,0.146860802418004,0.196598529359799,243.530907421073
2021-04-01,0.0670882436997803,0.0512356922362109,0.0688630748519619,222.181121542801
2021-07-01,0.066871340743206,0.0033916532771115,0.0262660111356865,223.624786307274
2021-10-01,0.0687309798104652,0.0297147779082844,0.0319733318017812,211.687361440194
2022-01-01,0.0630990449718986,-0.0644620184991424,-0.0380377456824393,251.162286359426
2022-04-01,0.0540551042430785,-0.140214863369365,-0.147028351323341,342.23670158139
2022-07-01,0.0509822086689508,-0.0637767552883032,-0.0281496956502847,384.735895622802
2022-10-01,0.0580643799460797,0.126811586388104,0.128380863877614,296.606329574971
2023-01-01,0.0561864189023113,-0.0323762981443393,-0.0190918257278604,316.765076536241
2023-04-01,0.0571050946284974,0.00942847359595894,0.0540805188427371,306.655168536339
