"year","gdp","hours","k","gdp_l","k_y","sk","edatt","a"
1950,1686.6,117246820,4992.9,14,2.96,0.138,8.6,4.579
1951,1815.1,119622195,5191.8,15,2.86,0.128,8.9,4.825
1952,1887.3,120198750,5389.8,16,2.856,0.112,9.2,4.908
1953,1973.9,121134420,5615,16,2.845,0.112,9.2,5.097
1954,1960.5,117513095,5824.4,17,2.971,0.108,9.2,5.1
1955,2099.5,123096600,6074.2,17,2.893,0.125,9.2,5.274
1956,2141.1,125365035,6301.7,17,2.943,0.121,9.3,5.229
1957,2183.9,124297740,6515.5,18,2.983,0.113,9.3,5.337
1958,2162.8,121344300,6694.7,18,3.095,0.105,9.4,5.28
1959,2319,126028500,6933.2,18,2.99,0.118,9.5,5.509
1960,2376.7,126951540,7158.7,19,3.012,0.115,9.5,5.566
1961,2432,126889780,7380.2,19,3.035,0.111,9.7,5.616
1962,2578.9,129068370,7641.3,20,2.963,0.118,9.9,5.862
1963,2690.4,131458280,7926.6,20,2.946,0.121,9.9,5.995
1964,2846.5,134105175,8249,21,2.898,0.124,10,6.241
1965,3028.5,137910720,8616,22,2.845,0.133,10.1,6.478
1966,3227.5,140687350,9004.5,23,2.79,0.135,10.2,6.794
1967,3308.3,141306800,9364.1,23,2.83,0.126,10.3,6.841
1968,3466.1,143488800,9750.1,24,2.813,0.127,10.4,7.027
1969,3571.4,146845270,10131.1,24,2.837,0.131,10.4,7
1970,3578,145947690,10451.3,25,2.921,0.122,10.5,6.904
1971,3697.7,146432115,10797.2,25,2.92,0.131,10.6,7.066
1972,3898.4,151983050,11225,26,2.879,0.139,10.8,7.15
1973,4123.4,156943080,11668.1,26,2.83,0.147,10.9,7.332
1974,4099,158399050,12014.8,26,2.931,0.137,11,7.043
1975,4084.4,154952030,12283.2,26,3.007,0.113,11.1,7.031
1976,4311.7,160197360,12607.4,27,2.924,0.129,11.2,7.214
1977,4511.8,165630600,13002.6,27,2.882,0.142,11.3,7.31
1978,4760.6,171925920,13459.2,28,2.827,0.15,11.4,7.465
1979,4912.1,176400840,13916.7,28,2.833,0.15,11.5,7.436
1980,4900.9,175269795,14269.2,28,2.912,0.134,11.6,7.33
1981,5021,176698720,14609.5,28,2.91,0.143,11.6,7.423
1982,4919.3,173175240,14866.5,28,3.022,0.125,11.7,7.233
1983,5132.3,176459500,15195.5,29,2.961,0.131,11.8,7.434
1984,5505.2,184808800,15662.9,30,2.845,0.158,11.9,7.724
1985,5717.1,186976750,16178,31,2.83,0.151,12,7.921
1986,5912.4,190698780,16702.7,31,2.825,0.145,12,8.012
1987,6113.3,195645600,17200.7,31,2.814,0.144,12.1,8.052
1988,6368.4,199469480,17691.5,32,2.778,0.142,12.1,8.251
1989,6591.8,203001660,18160.3,32,2.755,0.142,12.2,8.39
1990,6707.9,204917925,18586.4,33,2.771,0.135,12.3,8.404
1991,6676.4,201886370,18883.1,33,2.828,0.124,12.3,8.373
1992,6880,203806240,19212.4,34,2.793,0.131,12.5,8.519
1993,7062.6,207446775,19609.5,34,2.777,0.138,12.5,8.574
