"date","pc1ff1_hf","sp500_hf","mp_pm","cbi_pm","mp_median","cbi_median"
1990-02-01,0.00206916,-0.16664,0.00206916,0,0.01119743,-0.00912827
1990-03-01,-0.02162459,-0.17281,0,-0.02162459,-0.00027316,-0.02135143
1990-04-01,0,0,0,0,0,0
1990-05-01,-0.01424812,0.0369,-0.01424812,0,-0.00937447,-0.00487365
1990-06-01,0,0,0,0,0,0
1990-07-01,-0.06888555,0.01864,-0.06863313,-0.00025242,-0.03557957,-0.03330598
1990-08-01,0,0.29184,0,0,-0.0177984,0.0177984
1990-09-01,0,0,0,0,0,0
1990-10-01,-0.01545627,-0.64155,0,-0.01545627,0.03139798,-0.04685425
1990-11-01,0.01061234,-0.00941,0.01061234,0,0.00588006,0.00473228
1990-12-01,-0.16401195,0.85309,-0.16401195,0,-0.13403324,-0.02997871
1991-01-01,-0.13084393,0.51814,-0.13084393,0,-0.09702169,-0.03382224
1991-02-01,-0.10773118,-0.40345,0,-0.10773118,-0.02926045,-0.07847073
1991-03-01,-0.09188608,0.53704,-0.09188608,0,-0.07869541,-0.01319067
1991-04-01,-0.21222569,0.94203,-0.21222569,0,-0.16356428,-0.04866141
1991-05-01,0.00495497,-0.23957,0.00495497,0,0.0170881,-0.01213313
1991-06-01,0,0,0,0,0,0
1991-07-01,0.01464017,-0.02932,0.01464017,0,0.00910822,0.00553195
1991-08-01,-0.09398818,0.61637,-0.13995659,0.04596841,-0.08458455,-0.00940363
1991-09-01,-0.00448541,-0.04647,0,-0.00448541,0.00059135,-0.00507676
1991-10-01,-0.02056438,-0.02066,-0.02056438,0,-0.0090222,-0.01154218
1991-11-01,-0.11259906,0,0,-0.11259906,-0.05629953,-0.05629953
1991-12-01,-0.28875276,0.01848,0.03120042,-0.31995318,-0.14550341,-0.14324935
1992-01-01,0,0,0,0,0,0
1992-02-01,-0.00019824,0.03623,-0.00019824,0,-0.00230867,0.00211043
1992-03-01,0,0,0,0,0,0
1992-04-01,-0.25610102,0.66953,-0.25610102,0,-0.16888303,-0.08721799
1992-05-01,0.01227227,-0.06721,0.01227227,0,0.01023506,0.00203721
1992-06-01,0,0,0,0,0,0
1992-07-01,-0.07432185,0.0557,-0.07432185,0,-0.04055789,-0.03376396
1992-08-01,0.00947955,0.02617,0,0.00947955,0.00314375,0.0063358
1992-09-01,-0.00673201,-0.0024,0,-0.00673201,-0.00321964,-0.00351237
1992-10-01,0.0051508,-0.18129,0.0051508,0,0.0136317,-0.0084809
1992-11-01,-0.00413971,0.27846,-0.00413971,0,-0.01905225,0.01491254
1992-12-01,-0.00956366,-0.10212,0,-0.00956366,0.00144615,-0.01100981
1993-01-01,0,0,0,0,0,0
1993-02-01,-0.00281371,-0.06245,0,-0.00281371,0.00240177,-0.00521548
1993-03-01,0.00878984,-0.09324,0.00878984,0,0.01008133,-0.00129149
1993-04-01,0,0,0,0,0,0
1993-05-01,-0.02612119,0.15957,-0.02612119,0,-0.02279227,-0.00332892
1993-06-01,0,0,0,0,0,0
1993-07-01,0.00213202,0.29,0,0.00213202,-0.01662017,0.01875219
1993-08-01,0.01210701,-0.11818,0.01210701,0,0.01326093,-0.00115392
1993-09-01,-0.00417072,0,0,-0.00417072,-0.00208536,-0.00208536
1993-10-01,0,0,0,0,0,0
1993-11-01,0.00401787,0.04079,0,0.00401787,-0.00047872,0.00449659
1993-12-01,-0.0201692,0.01935,-0.0201692,0,-0.0112647,-0.0089045
1994-01-01,0,0,0,0,0,0
1994-02-01,0.13512624,-0.65986,0.13512624,0,0.1078059,0.02732034
1994-03-01,-0.03562204,0.30084,-0.03562204,0,-0.0361583,0.00053626
1994-04-01,0.11874372,-0.67892,0.11874372,0,0.10077705,0.01796667
1994-05-01,-0.01764626,0.54159,-0.01764626,0,-0.04185299,0.02420673
1994-06-01,0,0,0,0,0,0
1994-07-01,-0.00407182,-0.18351,0,-0.00407182,0.00915579,-0.01322761
1994-08-01,0.0316339,0.25516,0,0.0316339,0.00025555,0.03137835
1994-09-01,-0.030924,-0.19502,0,-0.030924,-0.00356835,-0.02735565
1994-10-01,0,0,0,0,0,0
1994-11-01,0.06553965,-0.55058,0.06553965,0,0.06634796,-0.00080831
1994-12-01,-0.04287507,0.0459,-0.04287507,0,-0.02423683,-0.01863824
1995-01-01,0,0,0,0,0,0
1995-02-01,0.05101633,-0.2096,0.05101633,0,0.03829101,0.01272532
1995-03-01,0.01768629,-0.14307,0.01768629,0,0.01756853,0.00011776
1995-04-01,0,0,0,0,0,0
1995-05-01,-0.00492486,-0.01713,0,-0.00492486,-0.00141773,-0.00350713
1995-06-01,0,0,0,0,0,0
1995-07-01,-0.2438598,0.31071,-0.2438598,0,-0.14087912,-0.10298068
1995-08-01,0.04654062,-0.16999,0.04654062,0,0.03363746,0.01290316
1995-09-01,0.0582703,-0.17497,0.0582703,0,0.03980602,0.01846428
1995-10-01,0,0,0,0,0,0
1995-11-01,0.02596851,-0.06109,0.02596851,0,0.01670994,0.00925857
1995-12-01,-0.05225614,0.26401,-0.05225614,0,-0.04222921,-0.01002693
1996-01-01,-0.03141163,0.05067,-0.03141163,0,-0.01879602,-0.01261561
1996-02-01,0,0,0,0,0,0
1996-03-01,0.01381713,0.21235,0,0.01381713,-0.00604199,0.01985912
1996-04-01,0,0,0,0,0,0
1996-05-01,0.01188107,-0.21492,0.01188107,0,0.01904783,-0.00716676
1996-06-01,0,0,0,0,0,0
1996-07-01,-0.02998272,0.13861,-0.02998272,0,-0.02344475,-0.00653797
1996-08-01,0.00202063,-0.14401,0.00202063,0,0.00979303,-0.0077724
1996-09-01,-0.11174218,0.00727,-0.11174218,0,-0.05631446,-0.05542772
1996-10-01,0,0,0,0,0,0
1996-11-01,-0.01954638,0.25763,-0.01954638,0,-0.02548523,0.00593885
1996-12-01,-0.00285985,-0.07589,0,-0.00285985,0.00319837,-0.00605822
1997-01-01,0,0,0,0,0,0
1997-02-01,0.00752673,-0.33607,0.00752673,0,0.02425921,-0.01673248
1997-03-01,0.0659931,-0.66551,0.0659931,0,0.0735839,-0.0075908
1997-04-01,0,0,0,0,0,0
1997-05-01,-0.08240452,0.55083,-0.08240452,0,-0.07479564,-0.00760888
1997-06-01,0,0,0,0,0,0
1997-07-01,-0.00890094,0.19237,-0.00890094,0,-0.01618251,0.00728157
1997-08-01,0.01199321,-0.42781,0.01199321,0,0.03208739,-0.02009418
