"date","igrea"
1968-01-01,-12.199591
1968-02-01,-8.8787913
1968-03-01,-10.715198
1968-04-01,-10.841311
1968-05-01,-10.108204
1968-06-01,-7.1595714
1968-07-01,-11.789313
1968-08-01,-15.41956
1968-09-01,-14.650964
1968-10-01,-19.579799
1968-11-01,-8.3317446
1968-12-01,-16.013851
1969-01-01,-18.376633
1969-02-01,-17.586362
1969-03-01,-16.47009
1969-04-01,-22.313468
1969-05-01,-27.209165
1969-06-01,-18.239498
1969-07-01,-26.030248
1969-08-01,-21.440912
1969-09-01,-13.882772
1969-10-01,-6.1208353
1969-11-01,-0.42812575
1969-12-01,4.2239406
1970-01-01,25.753739
1970-02-01,40.001692
1970-03-01,54.082589
1970-04-01,55.393468
1970-05-01,56.938453
1970-06-01,52.436691
1970-07-01,48.014618
1970-08-01,53.933279
1970-09-01,59.256311
1970-10-01,59.69673
1970-11-01,54.554486
1970-12-01,16.89529
1971-01-01,8.108219
1971-02-01,-15.842979
1971-03-01,-17.594989
1971-04-01,-22.853236
1971-05-01,-29.580614
1971-06-01,-53.172886
1971-07-01,-59.391382
1971-08-01,-63.343828
1971-09-01,-49.906741
1971-10-01,-59.632558
1971-11-01,-43.396586
1971-12-01,-47.871496
1972-01-01,-59.868353
1972-02-01,-66.725883
1972-03-01,-69.300773
1972-04-01,-60.098846
1972-05-01,-64.045963
1972-06-01,-66.787876
1972-07-01,-56.596974
1972-08-01,-62.962297
1972-09-01,-8.6191098
1972-10-01,-5.7281701
1972-11-01,-4.5866754
1972-12-01,9.4127494
1973-01-01,20.886577
1973-02-01,29.629638
1973-03-01,38.744362
1973-04-01,43.143198
1973-05-01,50.418217
1973-06-01,57.875301
1973-07-01,59.340235
1973-08-01,69.858101
1973-09-01,81.285305
1973-10-01,107.20737
1973-11-01,104.23624
1973-12-01,114.2407
1974-01-01,105.77078
1974-02-01,88.829192
1974-03-01,98.413761
1974-04-01,86.437623
1974-05-01,104.19358
1974-06-01,82.523275
1974-07-01,62.219697
1974-08-01,58.853184
1974-09-01,60.600561
1974-10-01,61.753835
1974-11-01,59.167554
1974-12-01,22.003305
1975-01-01,-0.56230564
1975-02-01,-9.5110476
1975-03-01,-26.315214
1975-04-01,-41.069979
1975-05-01,-43.736798
1975-06-01,-36.593095
1975-07-01,-41.578362
1975-08-01,-45.292172
1975-09-01,-34.084158
1975-10-01,-33.676578
1975-11-01,-23.780246
1975-12-01,-35.404065
1976-01-01,-45.710648
1976-02-01,-49.97143
1976-03-01,-32.243819
1976-04-01,-28.656726
1976-05-01,-19.06451
1976-06-01,-15.937888
1976-07-01,-21.249121
1976-08-01,-23.734932
1976-09-01,-24.469478
1976-10-01,-20.560264
1976-11-01,-19.132661
1976-12-01,-35.536353
1977-01-01,-48.91991
1977-02-01,-44.832584
1977-03-01,-45.172203
1977-04-01,-43.295029
1977-05-01,-35.549068
1977-06-01,-40.326338
1977-07-01,-44.124528
1977-08-01,-46.832792
1977-09-01,-46.994582
1977-10-01,-32.767018
1977-11-01,-33.249262
1977-12-01,-37.822919
1978-01-01,-38.297913
1978-02-01,-38.610233
1978-03-01,-39.078139
1978-04-01,-39.698681
1978-05-01,-22.59908
1978-06-01,-17.03692
1978-07-01,-25.64247
1978-08-01,-26.086292
1978-09-01,-13.822322
1978-10-01,-17.861609
1978-11-01,-3.8409143
1978-12-01,-6.8451617
1979-01-01,-16.125469
1979-02-01,-10.675876
1979-03-01,7.2224242
1979-04-01,9.1992795
1979-05-01,29.001452
1979-06-01,46.284398
1979-07-01,54.308682
1979-08-01,37.211423
1979-09-01,43.777832
1979-10-01,43.703191
1979-11-01,49.212174
1979-12-01,35.398972
1980-01-01,34.775481
1980-02-01,40.129393
1980-03-01,42.105389
1980-04-01,60.435767
1980-05-01,63.591419
1980-06-01,56.829845
1980-07-01,44.715652
1980-08-01,53.468007
1980-09-01,54.716271
1980-10-01,54.600225
1980-11-01,64.425044
1980-12-01,68.06207
1981-01-01,63.752515
1981-02-01,61.562623
1981-03-01,50.039089
1981-04-01,45.687338
1981-05-01,35.617106
1981-06-01,40.871405
1981-07-01,32.521055
1981-08-01,14.926407
1981-09-01,12.851064
1981-10-01,15.382812
1981-11-01,14.413873
1981-12-01,7.4681555
1982-01-01,2.8908477
1982-02-01,-6.4517642
1982-03-01,2.7724255
1982-04-01,10.717287
1982-05-01,7.5690969
1982-06-01,-16.774805
1982-07-01,-41.075426
1982-08-01,-43.421641
1982-09-01,-27.618371
1982-10-01,-27.052983
1982-11-01,-24.460394
1982-12-01,-19.710052
1983-01-01,-17.681555
1983-02-01,-12.807882
1983-03-01,-9.9195093
1983-04-01,-7.2322072
1983-05-01,-7.4394915
1983-06-01,-22.377964
1983-07-01,-33.634472
1983-08-01,-34.679771
1983-09-01,-31.663925
1983-10-01,-28.696908
1983-11-01,-21.321197
1983-12-01,-31.645389
1984-01-01,-29.781145
1984-02-01,-23.152266
