"date","c","w","y","cay"
1952-01-01,9.1556540884,10.9643718239,8.9796593725,0.0151049319
1952-04-01,9.171140135,10.9818567342,8.9820861154,0.0248372672
1952-07-01,9.1715980319,10.9784775908,8.9960572608,0.014840079
1952-10-01,9.2016945323,10.9726876684,9.0260586723,0.0221659845
1953-01-01,9.2096309236,10.9734574885,9.0365619088,0.0215211835
1953-04-01,9.2119469014,10.9738925842,9.0463206797,0.015925245
1953-07-01,9.2050127674,10.9725099681,9.0394441277,0.0148007265
1953-10-01,9.1936232823,10.9762906307,9.0274548335,0.0121913077
1954-01-01,9.1930344261,10.9837854565,9.0170638996,0.0182928929
1954-04-01,9.2018884145,11.0001860022,9.0160657078,0.0243729346
1954-07-01,9.2107094813,11.021539101,9.0195419272,0.0257567794
1954-10-01,9.226583125,11.0273445804,9.038194563,0.0254240549
1955-01-01,9.2446462125,11.0348100683,9.0461933695,0.0354531586
1955-04-01,9.2595633089,11.0564073458,9.0676902438,0.0284446613
1955-07-01,9.2673407085,11.0708889003,9.0835836488,0.0203354925
1955-10-01,9.2749679574,11.0744546905,9.0934386381,0.0192916004
1956-01-01,9.2724975199,11.0927250558,9.100385692,0.0072753827
1956-04-01,9.2717277128,11.0916649062,9.1078281721,0.000774889
1956-07-01,9.2693038308,11.0861976806,9.1064284729,0.0006634742
1956-10-01,9.277992952,11.0966775426,9.1184046015,-0.0025241662
1957-01-01,9.2804820378,11.0907212144,9.1174325101,0.0020414294
1957-04-01,9.2781192776,11.1049157176,9.1188232991,-0.0045282568
1957-07-01,9.2815191226,11.0893443713,9.1173644318,0.0034330491
1957-10-01,9.2774138817,11.0879797669,9.1085245001,0.0067062341
1958-01-01,9.2597671624,11.0904142363,9.0865049333,0.0061674996
1958-04-01,9.2641458224,11.1028707404,9.088807343,0.0059876886
1958-07-01,9.2762825998,11.1247090139,9.1112788191,-0.0046343284
1958-10-01,9.285186504,11.1355024043,9.1229235075,-0.0074100057
1959-01-01,9.2990184818,11.1347349954,9.1294197648,0.001385457
1959-04-01,9.3104597427,11.1438757472,9.142134456,0.0006501225
1959-07-01,9.3165642227,11.1384415389,9.1333307294,0.0149907574
1959-10-01,9.3132973366,11.1444905068,9.1352072881,0.0089026666
1960-01-01,9.3169670834,11.141410253,9.1446741925,0.0056602557
1960-04-01,9.3234499943,11.1418096444,9.1446672654,0.0120616917
1960-07-01,9.3144568103,11.1290486846,9.1405301832,0.0091629529
1960-10-01,9.3117994854,11.145475002,9.1349667918,0.0073829485
1961-01-01,9.3080538372,11.1642433711,9.1388392415,-0.0035541263
1961-04-01,9.3189937024,11.173497579,9.1511544456,-0.0044955746
1961-07-01,9.3196598277,11.1809520088,9.1597204829,-0.0123153951
1961-10-01,9.3353373272,11.1996689446,9.1728094306,-0.0112008487
1962-01-01,9.3423037746,11.1976255378,9.1803689105,-0.0098445659
1962-04-01,9.3510454845,11.1502678026,9.1884264129,0.002761635
1962-07-01,9.3551394256,11.1600868014,9.1890635468,0.0042057374
1962-10-01,9.3652265409,11.1985147196,9.1925674352,0.0031130157
1963-01-01,9.3688516496,11.2067290201,9.1991173853,-0.0002984348
1963-04-01,9.3750235375,11.2176671905,9.2053969559,-0.0015400299
1963-07-01,9.3846881241,11.2253811769,9.2122398144,0.0009623816
1963-10-01,9.3891767308,11.2149146684,9.2232137671,-0.0010589681
1964-01-01,9.4055091881,11.2255073886,9.2405388612,-0.0009125693
1964-04-01,9.4198636783,11.2399920068,9.2633750689,-0.0080067401
1964-07-01,9.4345138174,11.2504320435,9.2737497468,-0.0039418676
1964-10-01,9.4338237337,11.2602132428,9.2808561955,-0.0124556986
1965-01-01,9.4531876449,11.2699828405,9.2897830634,-0.0023712254
1965-04-01,9.4613911456,11.2629832924,9.2964863764,0.0019878291
1965-07-01,9.4751017127,11.28429132,9.3227207589,-0.0099590803
1965-10-01,9.4995839164,11.306756145,9.3406434987,-0.0047284959
1966-01-01,9.5117556852,11.2979151308,9.3433702206,0.0071854526
1966-04-01,9.5116651833,11.3002020006,9.3515354256,5.60508e-05
1966-07-01,9.5199562286,11.279138661,9.3653151122,0.001898605
1966-10-01,9.5210853231,11.2992968199,9.3770158462,-0.0107372762
1967-01-01,9.5243468744,11.3290407977,9.3888367724,-0.0234256432
1967-04-01,9.5354904491,11.3366250038,9.3953298801,-0.0191358031
1967-07-01,9.5378107297,11.3527272827,9.4023010894,-0.0259082452
1967-10-01,9.541060695,11.3621888489,9.412511735,-0.032898951
1968-01-01,9.5626305065,11.3560553526,9.4288888867,-0.0231113698
