"date","fomc_date","gb_date","is_fomc","is_unscheduled","iv1","iv5"
1990-02-08,1990-02-07,1990-01-31,1,0,-0.0016203,-0.0385844
1990-03-28,1990-03-27,1990-03-21,1,0,-0.0264639,-0.0336647
1990-05-16,1990-05-15,1990-05-09,1,0,0.0611419,0.0384603
1990-07-05,1990-07-03,1990-06-27,1,0,0.031613,0.0238467
1990-07-13,,,0,0,-0.0053312,
1990-08-22,1990-08-21,1990-08-15,1,0,0.0165853,0.0196539
1990-10-03,1990-10-02,1990-09-26,1,0,-0.011521,-0.0115166
1990-10-29,,,0,0,-0.029191,
1990-11-14,1990-11-13,1990-11-07,1,0,0.083535,0.0571181
1990-12-07,,,1,1,0.004271,
1990-12-18,1990-12-18,1990-12-12,1,0,-0.026585,-0.0548146
1991-01-08,,,0,0,-0.0483391,
1991-02-01,,,1,1,-0.1483391,
1991-02-07,1991-02-06,1991-01-30,1,0,0.0705457,0.0307772
1991-03-08,,,0,0,-0.0012936,
1991-03-27,1991-03-26,1991-03-20,1,0,0.0411535,0.0135009
1991-04-30,,,1,1,-0.1392407,
1991-05-15,1991-05-14,1991-05-08,1,0,0.0613822,0.0090928
1991-07-05,1991-07-03,1991-06-28,1,0,0.0770362,0.0192117
1991-08-06,,,1,1,-0.040802,
1991-08-21,1991-08-20,1991-08-14,1,0,0.0673721,0.0547388
1991-09-13,,,1,1,0.0090915,
1991-10-02,1991-10-01,1991-09-25,1,0,0.0352536,0.0106801
1991-10-30,,,1,1,-0.0257464,
1991-11-06,1991-11-05,1991-10-30,1,0,-0.060309,-0.0684679
1991-12-06,,,0,0,0.0441158,
1991-12-18,1991-12-17,1991-12-11,1,0,0.0763799,0.0570023
1991-12-20,,,0,0,-0.1798579,
1992-02-06,1992-02-05,1992-01-30,1,0,0.0137507,0.0036737
1992-04-01,1992-03-31,1992-03-25,1,0,0.0125211,-0.01676
1992-04-09,,,0,0,-0.1814217,
1992-05-20,1992-05-19,1992-05-14,1,0,0.0396251,0.0283852
1992-07-02,1992-07-01,1992-06-26,1,0,-0.2499163,-0.2529096
1992-08-19,1992-08-18,1992-08-13,1,0,-0.0044028,-0.0097495
1992-09-04,,,0,0,0.0298657,
1992-10-07,1992-10-06,1992-09-30,1,0,0.04979,0.0612465
1992-11-18,1992-11-17,1992-11-12,1,0,0.0215719,0.0214885
1992-12-23,1992-12-22,1992-12-16,1,0,0.0067874,0.0021666
1993-02-04,1993-02-03,1993-01-29,1,0,-0.0430994,-0.0199227
1993-03-24,1993-03-23,1993-03-17,1,0,-0.0037765,0.0022337
1993-05-19,1993-05-18,1993-05-14,1,0,-0.0015728,-0.0002584
1993-07-08,1993-07-07,1993-06-30,1,0,0.0155603,0.010209
1993-08-18,1993-08-17,1993-08-11,1,0,0.0258088,0.0238867
1993-09-22,1993-09-21,1993-09-15,1,0,0.0426497,0.0233682
1993-11-17,1993-11-16,1993-11-10,1,0,-0.0012219,-0.0075513
1993-12-22,1993-12-21,1993-12-15,1,0,-0.0282138,-0.0346077
1994-02-04,1994-02-04,1994-01-31,1,0,-0.0163056,-0.0098415
1994-03-22,1994-03-22,1994-03-16,1,0,-0.02711,0.0034142
1994-04-18,,,1,1,0.1414094,
1994-05-17,1994-05-17,1994-05-13,1,0,0.051826,0.0530263
