"date","ltax","lgov","lgdp","tax_narrative","tax_longrun","tax_retroactive","tax_scaled_y4","tax_all_romer"
1950-01-01,-10.5366516294894,-11.0115452440293,-8.63272559013454,0,0,0,0,0.282805429864253
1950-04-01,-10.4480335992513,-11.0104248538587,-8.60618259219354,0,0,0,0,0
1950-07-01,-10.3408672791304,-11.0656376481209,-8.57040961487874,0,0,0,0,0
1950-10-01,-10.275521539635,-10.9776213314671,-8.55549615420554,0,0,0,0,0
1951-01-01,-10.1808697381172,-10.7802680194398,-8.54525635127846,0,0,0,0,0
1951-04-01,-10.2379121438884,-10.6175276705352,-8.53152872830923,0,0,0,0,0
1951-07-01,-10.2540467378982,-10.4595198068309,-8.51419172996896,0,0,0,0,0
1951-10-01,-10.2080224883673,-10.3797750938121,-8.51499048956911,0,0,0,0,0
1952-01-01,-10.2067052042142,-10.3559355063818,-8.50735255314911,0,0,0,0,0
1952-04-01,-10.2091509497529,-10.3053946911623,-8.50879535483551,0,0,0,0,0
1952-07-01,-10.2164629461395,-10.2852350427056,-8.50429548760668,0,0,0,0,0
1952-10-01,-10.1732267346928,-10.257697493882,-8.47398312033882,0,0,0,0,0
1953-01-01,-10.1524204131113,-10.2364278042986,-8.45779532850433,0,0,0,0,0
1953-04-01,-10.1508346642979,-10.2052198505947,-8.4524797049311,0,0,0,0,0
1953-07-01,-10.1716821993143,-10.2470190159504,-8.46127656945406,0,0,0,0,0
1953-10-01,-10.2532789979194,-10.2579922823715,-8.47970903770004,0,0,0,0,0
1954-01-01,-10.3037622947401,-10.3070463699413,-8.48717694178136,0,0,0,0,0
1954-04-01,-10.3053228734397,-10.3625775661032,-8.48824559622731,0,0,0,0,0
1954-07-01,-10.2980720104096,-10.4092024663449,-8.47970107195601,-0.372340425531915,-0.372340425531915,-1.11702127659574,-0.367357648911047,-0.372340425531915
1954-10-01,-10.2713928328584,-10.4161830699261,-8.46253893027101,0,0,0.735294117647059,0,0
1955-01-01,-10.2179933141224,-10.4345216263179,-8.43661199586305,0,0,0,0,0
1955-04-01,-10.1955142718559,-10.4392845721963,-8.42279840573486,0,0,0,0,0
