"date","policy_news_shock","ffr_shock"
2000-02-02,0.0008308,-0.053707
2000-03-21,0.0056992,-0.0310066
2000-05-16,0.0430389,0.0413264
2000-06-28,-0.0126322,-0.0299988
2000-08-22,0.014964,0
2000-10-03,0.0286143,0
2000-11-15,0.0078881,0.0100098
2000-12-19,0.0281693,0.0774968
2001-01-31,0.001645,0.0400009
2001-03-20,-0.0701219,0.0563757
2001-05-15,-0.0952495,-0.0968809
2001-06-27,0.062581,0.1000061
2001-08-21,-0.016669,0.0154915
2001-10-02,-0.0393187,-0.0374096
2001-11-06,-0.1074802,-0.1312542
2001-12-11,-0.0401457,-0.0077457
2002-01-30,0.0256809,0.0149994
2002-03-19,-0.0423784,-0.0387484
2002-05-07,-0.0171498,0.0064548
2002-06-26,0.0141912,0.0050049
2002-08-13,-0.0537513,0.0516646
2002-09-24,0.0026578,0.0199966
2002-11-06,-0.0811143,-0.2000046
2002-12-10,0.0197528,0
2003-01-29,0.0333455,0.0050049
2003-03-18,0.0032819,0.0357678
2003-05-06,-0.0400162,0.0496011
2003-06-25,0.1020654,0.125
2003-08-12,-0.014672,-0.0081534
2003-09-16,0.0036688,0
2003-10-28,-0.0468256,0
2003-12-09,0.0263084,0
2004-01-28,0.0848413,0
2004-03-16,-0.0295025,0
2004-05-04,0.0096208,-0.0057376
2004-06-30,-0.0051865,0
2004-08-10,0.0313785,0.0147619
2004-09-21,-0.0002209,0
2004-11-10,-0.0086397,0
2004-12-14,-0.0003095,-0.0091179
2005-02-02,-0.0062669,0
2005-03-22,0.047054,-0.0172218
2005-05-03,0.0191051,0
2005-06-30,0.030663,-0.0049999
2005-08-09,-0.0065622,-0.0070456
2005-09-20,0.0252495,0.0450003
2005-11-01,0.0120681,-0.0051725
2005-12-13,-0.0084734,0
2006-01-31,0.0257879,0.0050001
2006-03-28,0.038131,0.0050001
2006-05-10,0.0398945,0
2006-06-29,-0.019034,-0.0150003
2006-08-08,-0.0176003,-0.0471737
2006-09-20,0.0153244,-0.0150003
2006-10-25,-0.0002077,-0.0050001
2006-12-12,-0.0135643,0
2007-01-31,-0.0002237,0
2007-03-21,-0.0426143,0.0155004
2007-05-09,0.0287067,0
2007-06-28,0.0132683,0
2007-08-07,-0.0072766,0.0064585
2007-09-18,-0.1323207,-0.200001
2007-10-31,0.0490814,-0.02
2007-12-11,0.0327106,0.0310007
2008-01-30,-0.0731878,-0.1150024
2008-03-18,0.0381265,0.095376
2008-04-30,-0.0500443,-0.0599977
2008-06-25,-0.0219068,-0.0150025
2009-08-12,-0.0040691,0
2009-09-23,-0.0518597,-0.0100021
2009-11-04,-0.0049911,-0.0057661
2009-12-16,0.006277,-0.0154994
2010-01-27,0.0212716,-0.0050049
2010-03-16,-0.0183998,-0.0103277
2010-04-28,0.0004841,0
2010-06-23,0.009309,0
2010-08-10,-0.0092416,0.0036941
2010-09-21,0.0009402,0
2010-11-03,0.0060023,0.008333
2010-12-14,0.0052774,0.0045633
2011-01-26,0.0020455,-0.0049973
2011-03-15,0.0064044,0
2011-04-27,-0.0040784,0
2011-06-22,0.0087453,0
2011-08-09,-0.0098005,-0.0070416
2011-09-21,0.0388016,0.0083415
2011-11-02,0.0119451,-0.0053542
2011-12-13,0.0113382,0.0043098
2012-01-25,-0.0051741,-0.0049973
2012-03-13,0.0133992,0.0043098
2012-04-25,0.0042707,0
2012-06-20,0.0173637,0.0075073
2012-08-01,0.0169816,0.0154994
2012-09-13,0.0159758,0.0088321
2012-10-24,0.0038049,0
2012-12-12,0.0059756,0.0040829
2013-01-30,0.001356,0
2013-03-20,-5.99e-05,0
2013-05-01,0.0046244,0
2013-06-19,0.0187323,0
2013-07-31,0.0036962,0
2013-09-18,-0.0061215,0
2013-10-30,0.0036962,0
2013-12-18,0.0071432,0.0059615
2014-01-29,0.0077151,0
2014-03-19,0.0154908,0
