"date","unscheduled","policy_news_shock","ffr_shock"
1995-02-01,0,0.0458921,0.0622276
1995-03-28,0,0.0313224,-0.0100021
1995-05-23,0,-0.0012996,0
1995-07-06,0,-0.146394,-0.0992023
1995-08-22,0,0.0319764,0
1995-09-26,0,0.0507486,0.0400009
1995-11-15,0,0.0196764,0.0599976
1995-12-19,0,-0.0283547,-0.1162453
1996-01-31,0,-0.0130543,-0.0200043
1996-03-26,0,0.023613,0.0199966
1996-05-21,0,0.0264177,0.030983
1996-07-03,0,-0.0093025,-0.0664343
1996-08-20,0,0.0085158,-0.0281878
1996-09-24,0,-0.0603786,-0.1300049
1996-11-13,0,-0.0079009,0
1996-12-17,0,0.012198,0
1997-02-05,0,0.0142521,-0.0304366
1997-03-25,0,0.0497854,0.0400009
1997-05-20,0,-0.0416072,-0.1127298
1997-07-02,0,0.0105486,-0.0213839
1997-08-19,0,0.0127656,0
1997-09-30,0,0.0070222,-0.0100021
1997-11-12,0,-0.012445,-0.049998
1997-12-16,0,0.0026724,0
1998-02-04,0,0.0172835,0
1998-03-31,0,0.0069333,-0.0099945
1998-05-19,0,-0.0018341,-0.0258389
1998-07-01,0,0.0109336,0.0051638
1998-08-18,0,0.0090166,0
1998-09-29,0,0.0309727,0.0599976
1998-10-15,1,-0.1578926,-0.280931
1998-11-17,0,-0.00386,-0.0576958
1998-12-22,0,0.0082933,0
1999-02-03,0,0.0149171,0
1999-03-30,0,-0.0038888,0
1999-05-18,0,0.0739523,-0.035786
1999-06-30,0,-0.0572516,-0.0400009
1999-08-24,0,0.0121043,0.0400009
1999-10-05,0,0.0457364,-0.041726
1999-11-16,0,0.0680186,0.0750078
1999-12-21,0,0.0321631,0.0154915
2000-02-02,0,0.0052416,-0.053707
2000-03-21,0,0.0081409,-0.0310066
2000-05-16,0,0.043126,0.0413264
2000-06-28,0,-0.009312,-0.0299988
2000-08-22,0,0.0179693,0
2000-10-03,0,0.0315138,0
2000-11-15,0,0.0111264,0.0100098
2000-12-19,0,0.0292255,0.0774968
2001-01-03,1,-0.1373616,-0.3819656
2001-01-31,0,0.0034775,0.0400009
2001-03-20,0,-0.0590337,0.0563757
2001-04-18,1,-0.2434879,-0.4125023
2001-05-15,0,-0.0859066,-0.0968809
2001-06-27,0,0.0618832,0.1000061
2001-08-21,0,-0.0128245,0.0154915
2001-10-02,0,-0.0334098,-0.0374096
2001-11-06,0,-0.0967906,-0.1312542
2001-12-11,0,-0.0362173,-0.0077457
2002-01-30,0,0.0272652,0.0149994
2002-03-19,0,-0.0369183,-0.0387484
2002-05-07,0,-0.0141554,0.0064548
2002-06-26,0,0.0166415,0.0050049
2002-08-13,0,-0.0511244,0.0516646
2002-09-24,0,0.0052077,0.0199966
2002-11-06,0,-0.0709901,-0.2000046
2002-12-10,0,0.0224218,0
2003-01-29,0,0.0350484,0.0050049
2003-03-18,0,0.006309,0.0357678
2003-05-06,0,-0.0369607,0.0496011
2003-06-25,0,0.0986253,0.125
2003-08-12,0,-0.012679,-0.0081534
2003-09-16,0,0.0066282,0
2003-10-28,0,-0.0431726,0
2003-12-09,0,0.0301216,0
2004-01-28,0,0.0880571,0
2004-03-16,0,-0.0263146,0
2004-05-04,0,0.0127136,-0.0057376
2004-06-30,0,-0.0018042,0
2004-08-10,0,0.0331263,0.0147619
2004-09-21,0,0.0029069,0
2004-11-10,0,-0.0060384,0
2004-12-14,0,0.0027219,-0.0091179
2005-02-02,0,-0.0025876,0
2005-03-22,0,0.0493986,-0.0172218
2005-05-03,0,0.0217216,0
2005-06-30,0,0.0327219,-0.0049999
2005-08-09,0,-0.0033526,-0.0070456
2005-09-20,0,0.0260565,0.0450003
2005-11-01,0,0.0149234,-0.0051725
2005-12-13,0,-0.0052487,0
2006-01-31,0,0.0276895,0.0050001
2006-03-28,0,0.0399012,0.0050001
2006-05-10,0,0.0415335,0
