"date","drpoil","infl","drgdp"
1973-01-01,-1.2715,1.2715,2.4321
1973-04-01,-1.6272,1.6272,1.1274
1973-07-01,17.265,1.8531,-0.54492
1973-10-01,-1.7161,1.7161,0.92841
1974-01-01,83.242,2.0168,-0.83417
1974-04-01,-2.2142,2.2142,0.26245
1974-07-01,-3.0006,3.0006,-0.973
1974-10-01,6.8879,2.9932,-0.40083
1975-01-01,-2.234,2.234,-1.2155
1975-04-01,-1.4492,1.4492,0.76751
1975-07-01,-1.7635,1.7635,1.6391
1975-10-01,-1.6523,1.6523,1.3392
1976-01-01,7.0157,1.0712,2.233
1976-04-01,-0.41919,0.99604,0.7528
1976-07-01,12.023,1.2688,0.50716
1976-10-01,-1.6641,1.6641,0.74778
1977-01-01,-1.5933,1.5933,1.1568
1977-04-01,-1.5569,1.5569,1.9436
1977-07-01,5.2304,1.3807,1.7537
1977-10-01,-1.6676,1.6676,0.010497
1978-01-01,-1.6621,1.6621,0.34735
1978-04-01,-1.895,1.895,3.8144
1978-07-01,-1.723,1.723,0.97319
1978-10-01,-2.0116,2.0116,1.3323
1979-01-01,4.6994,1.8176,0.19856
1979-04-01,16.296,2.3558,0.12104
1979-07-01,38.003,2.0183,0.71556
1979-10-01,11.191,1.9427,0.25861
1980-01-01,13.491,2.1434,0.32303
1980-04-01,1.7047,2.1668,-2.0491
1980-07-01,-11.548,2.2701,-0.1517
1980-10-01,-0.029304,2.7692,1.8359
1981-01-01,0.11572,2.5511,2.0501
1981-04-01,-7.1626,1.7559,-0.73338
1981-07-01,-1.8479,1.8479,1.1407
1981-10-01,-4.6014,1.7844,-1.1736
1982-01-01,-21.95,1.3354,-1.6869
1982-04-01,19.586,1.2282,0.5435
1982-07-01,0.18229,1.4019,-0.36068
1982-10-01,-12.705,1.0805,0.097501
1983-01-01,-10.433,0.84478,1.3013
1983-04-01,6.6169,0.67485,2.2563
1983-07-01,-0.68576,1.04,1.9391
1983-10-01,-6.9215,0.72233,2.0414
1984-01-01,4.0349,1.0328,1.9674
1984-04-01,-3.4833,0.88151,1.7412
1984-07-01,-3.0487,0.82188,0.97907
1984-10-01,-14.819,0.61957,0.79441
1985-01-01,9.3042,1.1767,0.98908
1985-04-01,-4.5379,0.56485,0.91149
1985-07-01,3.51,0.63993,1.5439
1985-10-01,-4.3545,0.53564,0.74738
1986-01-01,-77.388,0.48462,0.92221
1986-04-01,6.1473,0.37093,0.45808
1986-07-01,9.6916,0.46515,1.0016
1986-10-01,6.954,0.60046,0.51674
1987-01-01,12.4,0.58676,0.69708
1987-04-01,8.3263,0.65204,1.1163
1987-07-01,-3.2639,0.73598,0.90291
1987-10-01,-13.25,0.77846,1.6369
1988-01-01,-6.8712,0.77245,0.56093
1988-04-01,0.90595,0.98724,1.3125
1988-07-01,-14.51,1.2005,0.5753
1988-10-01,10.871,0.85328,1.3157
1989-01-01,16.838,1.0144,1.0036
1989-04-01,1.7923,1.0462,0.7832
1989-07-01,-2.8529,0.73163,0.74368
1989-10-01,6.7145,0.66343,0.21119
1990-01-01,-4.3376,1.1092,1.0889
1990-04-01,-20.123,1.025,0.38585
1990-07-01,68.269,0.89704,0.02513
1990-10-01,-21.659,0.77393,-0.856
1991-01-01,-32.949,0.98466,-0.46966
1991-04-01,1.027,0.67047,0.77291
1991-07-01,7.1796,0.71794,0.47883
1991-10-01,-11.848,0.52648,0.43551
1992-01-01,-3.5786,0.45663,1.1743
1992-04-01,16.163,0.6321,1.0964
1992-07-01,-2.6325,0.46441,0.96733
1992-10-01,-12.76,0.68978,0.99692
1993-01-01,4.1278,0.60143,0.18597
1993-04-01,-7.0971,0.6006,0.59279
1993-07-01,-9.0432,0.50879,0.48633
1993-10-01,-19.354,0.56109,1.326
1994-01-01,0.51006,0.5184,0.97539
1994-04-01,25.808,0.49129,1.3573
1994-07-01,-9.3201,0.4997,0.58746
1994-10-01,-2.2989,0.56574,1.1289
1995-01-01,7.1862,0.60262,0.34116
1995-04-01,-1.1495,0.44627,0.34893
1995-07-01,-1.4639,0.42708,0.85228
1995-10-01,3.8707,0.47665,0.70734
1996-01-01,10.988,0.50978,0.65392
1996-04-01,-4.7304,0.37672,1.731
1996-07-01,15.512,0.45332,0.92075
1996-10-01,5.2503,0.42151,1.0508
1997-01-01,-19.522,0.4906,0.75939
1997-04-01,-9.5338,0.46385,1.4976
1997-07-01,2.8924,0.29058,1.2654
1997-10-01,-8.0603,0.34198,0.77325
1998-01-01,-20.005,0.14384,0.98448
1998-04-01,-9.7198,0.2287,0.96516
1998-07-01,8.6642,0.35978,1.2997
1998-10-01,-28.429,0.26142,1.6282
1999-01-01,25.835,0.37389,0.92966
1999-04-01,19.501,0.4113,0.83885
1999-07-01,28.523,0.35726,1.2651
1999-10-01,8.3202,0.49257,1.7157
2000-01-01,12.902,0.7331,0.28619
2000-04-01,5.7394,0.54908,1.8712
2000-07-01,5.6005,0.64106,0.12757
2000-10-01,-17.967,0.53412,0.53097
2001-01-01,-5.0305,0.64924,-0.28676
2001-04-01,0.62726,0.68567,0.52951
2001-07-01,-6.7601,0.3256,-0.30467
2001-10-01,-29.494,0.31268,0.24465
2002-01-01,23.088,0.28685,0.93573
2002-04-01,3.9843,0.42166,0.54491
2002-07-01,14.625,0.44219,0.47963
2002-10-01,-1.374,0.52783,0.048218
2003-01-01,12.513,0.62371,0.50537
2003-04-01,-9.1181,0.30578,0.94128
2003-07-01,-8.7884,0.54782,1.6757
2003-10-01,12.275,0.51509,1.1277
2004-01-01,12.553,0.84658,0.59597
2004-04-01,2.5724,0.79783,0.76228
2004-07-01,18.264,0.67979,0.87405
2004-10-01,-6.5871,0.71627,0.83963
2005-01-01,21.689,0.89726,1.088
2005-04-01,2.8391,0.68846,0.54403
2005-07-01,14.371,0.94275,0.81285
2005-10-01,-10.609,0.77728,0.55175
2006-01-01,4.9247,0.74997,1.2062
2006-04-01,11.233,0.82371,0.31061
2006-07-01,-11.218,0.69107,0.087464
2006-10-01,-3.2816,0.3584,0.77803
2007-01-01,-3.5032,1.1048,0.065251
2007-04-01,10.247,0.57255,0.76753
2007-07-01,16.602,0.32966,0.6714
2007-10-01,13.345,0.42459,0.36438
2008-01-01,13.484,0.55894,-0.67378
2008-04-01,23.365,0.43864,0.49437
2008-07-01,-26.069,0.67998,-0.49636
2008-10-01,-93.131,0.19458,-2.1746
2009-01-01,15.424,0.24819,-1.3996
2009-04-01,37.469,-0.15605,-0.10566
2009-07-01,-0.30822,-0.0080091,0.31741
