"BIBTEXKEY","AUTHORYEAR","TITLE","JOURNAL","DOI","CATEGORY","ADDRESS","AUTHOR","BOOKTITLE","EDITION","EDITOR","INSTITUTION","MONTH","NUMBER","PAGES","PUBLISHER","SERIES","TYPE","VOLUME","YEAR","URL","REFERENCE"
"bbe2005","Bernanke, Boivin, and Eliasz (2005)","Measuring the Effects of Monetary Policy: A Factor-Augmented Vector Autoregressive (FAVAR) Approach","The Quarterly Journal of Economics","10.1162/0033553053327452","ARTICLE",,"B. S. Bernanke and J. Boivin and P. Eliasz",,,"NA",,"feb","1","387--422","Oxford University Press (OUP)",,,"120",2005,"https://doi.org/10.1162%2F0033553053327452","B. S. Bernanke, J. Boivin, and P. Eliasz. ""Measuring the Effects of Monetary Policy: A Factor-Augmented Vector Autoregressive (FAVAR) Approach"". In: _The Quarterly Journal of Economics_ 120.1 (Feb. 2005), pp. 387-422. DOI: 10.1162/0033553053327452. <https://doi.org/10.1162%2F0033553053327452>"
"gk2015","Gertler and Karadi (2015)","Monetary Policy Surprises, Credit Costs, and Economic Activity","American Economic Journal: Macroeconomics","10.1257/mac.20130329","ARTICLE",,"Mark Gertler and Peter Karadi",,,"NA",,"jan","1","44--76","American Economic Association",,,"7",2015,"https://doi.org/10.1257%2Fmac.20130329","M. Gertler and P. Karadi. ""Monetary Policy Surprises, Credit Costs, and Economic Activity"". In: _American Economic Journal: Macroeconomics_ 7.1 (Jan. 2015), pp. 44-76. DOI: 10.1257/mac.20130329. <https://doi.org/10.1257%2Fmac.20130329>"
"sw2001","Stock and Watson (2001)","Vector Autoregressions","Journal of Economic Perspectives","10.1257/jep.15.4.101","ARTICLE",,"James H Stock and Mark W Watson",,,"NA",,"nov","4","101--115","American Economic Association",,,"15",2001,"https://doi.org/10.1257%2Fjep.15.4.101","J. H. Stock and M. W. Watson. ""Vector Autoregressions"". In: _Journal of Economic Perspectives_ 15.4 (Nov. 2001), pp. 101-115. DOI: 10.1257/jep.15.4.101. <https://doi.org/10.1257%2Fjep.15.4.101>"
"psy2015","Phillips, Shi, and Yu (2015)","Testing for multiple bubbles: Historical episodes of exuberance and collapse in the S&P 500","International Economic Review","10.1111/iere.12132","ARTICLE",,"Phillips, Peter CB and Shi, Shuping and Yu, Jun",,,"NA",,,"4","1043--1078","Wiley Online Library",,,"56",2015,"https://doi.org/10.1111%2Fiere.12132","P. C. Phillips, S. Shi, and J. Yu. ""Testing for multiple bubbles: Historical episodes of exuberance and collapse in the S&P 500"". In: _International Economic Review_ 56.4 (2015), pp. 1043-1078. DOI: 10.1111/iere.12132. <https://doi.org/10.1111%2Fiere.12132>"
"u2005","Uhlig (2005)","What are the effects of monetary policy on output? Results from an agnostic identification procedure","Journal of Monetary Economics","10.1016/j.jmoneco.2004.05.007","ARTICLE",,"Harald Uhlig",,,"NA",,"mar","2","381--419","Elsevier BV",,,"52",2005,"https://doi.org/10.1016%2Fj.jmoneco.2004.05.007","H. Uhlig. ""What are the effects of monetary policy on output? Results from an agnostic identification procedure"". In: _Journal of Monetary Economics_ 52.2 (Mar. 2005), pp. 381-419. DOI: 10.1016/j.jmoneco.2004.05.007. <https://doi.org/10.1016%2Fj.jmoneco.2004.05.007>"
"bq1989","Blanchard and Quah (1989)","The Dynamic Effects of Aggregate Demand and Supply Disturbances","The American Economic Review",,"ARTICLE",,"Blanchard, Olivier Jean and Quah, Danny",,,"NA",,,"4","655--673",,,,"79",1989,,"O. J. Blanchard and D. Quah. ""The Dynamic Effects of Aggregate Demand and Supply Disturbances"". In: _The American Economic Review_ 79.4 (1989), pp. 655-673."
"kl2017","Kilian and Lütkepohl (2017)","Structural Vector Autoregressive Analysis",,"10.1017/9781108164818","BOOK","Cambridge","Kilian, Lutz and L{\""u}tkepohl, Helmut",,,"NA",,,,,"Cambridge University Press","Themes in Modern Econometrics",,,2017,"https://doi.org/10.1017/9781108164818","L. Kilian and H. Lütkepohl. _Structural Vector Autoregressive Analysis_. Themes in Modern Econometrics. Cambridge: Cambridge University Press, 2017. DOI: 10.1017/9781108164818. <https://doi.org/10.1017/9781108164818>."
"r2016","Ramey (2016)","Macroeconomic Shocks and Their Propagation",,"10.1016/bs.hesmac.2016.03.003","INCOLLECTION",,"Ramey, Valerie A.","Handbook of Macroeconomics",,"Taylor, John B. and Uhlig, Harald",,,,"71--162","Elsevier",,,"2",2016,"https://doi.org/10.1016/bs.hesmac.2016.03.003","V. A. Ramey. ""Macroeconomic Shocks and Their Propagation"". In: _Handbook of Macroeconomics_. Ed. by J. B. Taylor and H. Uhlig. Vol. 2. Elsevier, 2016, pp. 71-162. DOI: 10.1016/bs.hesmac.2016.03.003. <https://doi.org/10.1016/bs.hesmac.2016.03.003>."
"rz2018","Ramey and Zubairy (2018)","Government Spending Multipliers in Good Times and in Bad: Evidence from US Historical Data","Journal of Political Economy","10.1086/696277","ARTICLE",,"Ramey, Valerie A. and Zubairy, Sarah",,,"NA",,,"2","850--901",,,,"126",2018,"https://doi.org/10.1086/696277","V. A. Ramey and S. Zubairy. ""Government Spending Multipliers in Good Times and in Bad: Evidence from US Historical Data"". In: _Journal of Political Economy_ 126.2 (2018), pp. 850-901. DOI: 10.1086/696277. <https://doi.org/10.1086/696277>."
"gz2012","Gilchrist and Zakrajšek (2012)","Credit Spreads and Business Cycle Fluctuations","American Economic Review","10.1257/aer.102.4.1692","ARTICLE",,"Gilchrist, Simon and Zakraj{\v{s}}ek, Egon",,,"NA",,,"4","1692--1720",,,,"102",2012,"https://doi.org/10.1257/aer.102.4.1692","S. Gilchrist and E. Zakrajšek. ""Credit Spreads and Business Cycle Fluctuations"". In: _American Economic Review_ 102.4 (2012), pp. 1692-1720. DOI: 10.1257/aer.102.4.1692. <https://doi.org/10.1257/aer.102.4.1692>."
