"year","p90_100","p95_100","p99_100","p99_5_100","p99_9_100","p99_99_100","p90_95","p95_99","p99_99_5","p99_5_99_9","p99_9_99_99"
1913,,,17.9600418618677,14.7264569314871,8.61660817145581,2.75501620545077,,,3.23358493038063,6.10984876003125,5.86159196600504
1914,,,18.1579410592163,15.0802622430197,8.60334089140613,2.72920847365446,,,3.07767881619657,6.47692135161362,5.87413241775167
1915,,,17.577725,14.57755,9.21885,4.36035,,,3.000175,5.3587,4.8585
1916,,,18.5730667754062,15.6036449461324,9.86653043001581,4.40493410443468,,,2.96942182927383,5.7371145161166,5.46159632558114
1917,40.2870418752226,30.3345483573205,17.5994874581952,14.2341917768497,8.35788084805983,3.33076913805183,9.95249351790209,12.7350608991253,3.36529568134557,5.87631092878983,5.027111710008
1918,39.9037275120226,29.2979482993876,15.8832204355484,12.3854950735275,6.74116426024008,2.44816293043196,10.605779212635,13.4147278638392,3.49772536202085,5.64433081328745,4.29300132980812
1919,39.4813240153393,29.307649555521,15.8674148545227,12.2339651877482,6.45397884830736,2.22020659211262,10.1736744598183,13.4402347009983,3.63344966677449,5.77998633944083,4.23377225619474
1920,38.1003874377692,27.4694503319667,14.4590420554394,10.9532629518181,5.37143303444607,1.67163862642264,10.6309371058025,13.0104082765273,3.50577910362131,5.581829917372,3.69979440802344
1921,42.8597266399737,30.457060858318,15.4729299864716,11.5988330223682,5.60216500839064,1.68921038823408,12.4026657816557,14.9841308718465,3.8740969641034,5.99666801397751,3.91295462015656
1922,42.9485534276513,31.0527850746989,16.2923194904341,12.3762254901969,6.16852820539588,2.0093203672445,11.8957683529523,14.7604655842648,3.91609400023718,6.20769728480104,4.15920783815137
1923,40.589552069786,28.9486580563953,14.9910046820313,11.3231413689003,5.50386522487682,1.75159731843984,11.6408940133907,13.957653374364,3.66786331313099,5.81927614402346,3.75226790643698
1924,43.2639146553968,30.9278771313489,16.3159068690895,12.4163921511566,6.14012849581822,2.00871357325958,12.3360375240479,14.6119702622594,3.89951471793286,6.27626365533843,4.13141492255864
1925,44.166809347302,32.4655056493413,17.6028065888758,13.4134914418351,6.75202917964938,2.34507839236309,11.7013036979607,14.8626990604655,4.18931514704071,6.66146226218568,4.40695078728629
1926,44.0689852798539,32.7523532474833,18.0114970143105,13.747729345105,7.06817377268681,2.53877896987219,11.3166320323706,14.7408562331728,4.26376766920547,6.67955557241819,4.52939480281462
1927,44.6657333195794,33.4316491815881,18.6788857502351,14.3330284572369,7.4726058910537,2.75813488115311,11.2340841379913,14.7527634313529,4.34585729299826,6.86042256618319,4.7144710099006
1928,46.0931821506666,34.77142212976,19.5987179625089,15.1749131176866,8.19166227134544,3.22548835908997,11.3217600209066,15.1727041672511,4.4238048448223,6.98325084634114,4.96617391225547
1929,43.7584036034691,33.0483674827158,18.4179042853159,14.2131252267332,7.62186084387362,3.00578126085171,10.7100361207533,14.6304631973999,4.20477905858275,6.59126438285954,4.61607958302191
1930,43.0734745533906,31.1806842377483,16.4228184164495,12.4172567715379,6.40172303242754,2.38875384911164,11.8927903156423,14.7578658212988,4.00556164491166,6.01553373911034,4.0129691833159
1931,44.4049938396853,31.0122221839071,15.2705940442233,11.3237713377459,5.67514453418838,2.07441333984932,13.3927716557782,15.7416281396838,3.94682270647737,5.6486268035575,3.60073119433906
1932,46.3005258710505,32.59080516095,15.4784676318871,11.548961982268,5.89622449627439,1.92648554937774,13.7097207101005,17.1123375290629,3.92950564961906,5.65273748599362,3.96973894689665
1933,45.0264295057035,32.4864162701919,15.770913177787,11.7786833886698,6.05447824968753,2.04461435372473,12.5400132355116,16.7155030924049,3.99222978911724,5.72420513898224,4.00986389596281
1934,45.1550766438589,32.9946429507902,15.8681850764176,11.7959911037941,5.82368062873078,1.92189398243564,12.1604336930687,17.1264578743726,4.07219397262354,5.97231047506328,3.90178664629514
1935,43.3929872727685,30.9901858662781,15.6283119904622,11.6705265313908,5.79687185625506,1.9463370851066,12.4028014064904,15.3618738758159,3.95778545907146,5.87365467513571,3.85053477114845
1936,44.772366982564,32.6547726941797,17.6373421759018,13.3691316878629,6.68744941647528,2.23412597052131,12.1175942883843,15.0174305182779,4.26821048803891,6.6816822713876,4.45332344595396
1937,43.3478798533453,31.3792744893922,16.4504342867913,12.4151890813592,6.16118178662899,2.01553805780817,11.9686053639531,14.9288402026009,4.03524520543213,6.25400729473018,4.14564372882081
1938,43.0008904925141,30.1821920253925,14.7293830254249,10.8163667232096,5.15572030443175,1.66646302615225,12.8186984671216,15.4528089999676,3.91301630221528,5.6606464187779,3.4892572782795
