"date","pdvmil","pdvmily","rgdp","rcons","rcdur","rcnd","rcsv","rinvfx","rnri","rres","rgov","rfed","rdef","kcdur","tothours","milithours","totpop","rwmfg","cpi","BAA","tb3","amtbr"
1939-01-01,0.5,0.00557413600891862,8.27097,8.903867,2.674537,16.17316,7.952937,4.04713,3.085607,8.381926,10.29587,9.269643,3.034027,3.436602,107.845505878331,0.627877061756809,130763.25,0.0364037716069396,13.9333333969116,5.01999998092651,0.0299999993294477,0.0509999990463257
1939-04-01,0,0,8.37198,9.233281,2.842816,16.82255,8.047124,4.166428,3.264018,8.168047,10.25256,9.446696,3.329588,3.461079,108.046890801172,0.635226793248945,131028,0.036525316632517,13.8000001907349,5.04333353042603,0.0299999993294477,0.0509999990463257
1939-07-01,0.7,0.00775872235567225,8.635213,9.300076,3.00219,16.52958,8.110264,4.327064,3.506525,7.865519,9.793538,8.430821,3.59898,3.490228,108.572374927857,0.731298283467587,131301.5,0.0361862319480831,13.9000005722046,4.89666652679443,0.0766666680574417,0.0509999990463257
1939-10-01,0,0,8.677839,9.350774,3.048456,17.01471,8.173676,4.531379,3.74785,7.836507,9.926039,9.160838,3.813405,3.525,110.026990865982,0.827369773686229,131575,0.0370271083171551,14,4.88333320617676,0.0466666668653488,0.0509999990463257
1940-01-01,0,0,9.002978,9.486541,3.148987,17.08938,8.268688,4.716776,3.885899,8.258941,10.0551,9.683177,4.399279,3.568177,111.648905982611,0.923441263904872,131848.5,0.0380314086183774,13.9666662216187,4.82999992370605,0.0166666656732559,0.0689999982714653
1940-04-01,31.6,0.321674793705679,9.056465,9.64829,3.294787,17.33448,8.390668,4.970328,4.015147,9.183468,9.884892,9.080085,4.67625,3.616542,111.58904210568,1.01951275412351,132122,0.0382192167009004,14.0333337783813,4.92999982833862,0.0599999986588955,0.0689999982714653
1940-07-01,0,0,9.331182,9.715816,3.364036,17.3607,8.378447,5.314031,4.364031,9.428938,9.942092,9.194157,4.912116,3.664475,114.594001365616,1.6040788981588,132442,0.0386455925200327,14,4.74000024795532,0.0466666668653488,0.0689999982714653
1940-10-01,4.9,0.0478274152600689,9.541374,9.841354,3.432189,17.60344,8.490198,5.506865,4.574923,9.500655,11.51792,12.69458,10.10435,3.707,115.921121867799,2.18864504219409,132762,0.0392081079820016,14.0333337783813,4.496666431427,0.0199999995529652,0.0689999982714653
1941-01-01,7,0.0662993053727063,10.08199,10.17337,3.796737,18.29905,8.62787,5.767212,4.943536,9.144988,13.61487,18.27872,19.17254,3.741453,118.72650680058,2.77321118622938,133082,0.0395785907594472,14.1333332061768,4.39333343505859,0.0566666647791862,0.126000002026558
1941-04-01,44.3,0.391521569480054,10.70785,10.46932,4.235274,18.27867,8.837781,6.197662,5.308119,9.900734,15.11975,21.83285,25.98996,3.769077,123.244902376767,3.35777733026467,133402,0.0407984223315295,14.4666662216187,4.32000017166138,0.109999999403954,0.126000002026558
1941-07-01,0,0,10.95966,10.56261,3.936767,18.75877,8.887079,6.001264,4.987081,10.46885,17.7685,28.25985,35.29367,3.788059,128.409255874902,4.76551340141926,133766.5,0.0403545323227813,14.8999996185303,4.28333330154419,0.116666667163372,0.126000002026558
1941-10-01,97,0.745046020033289,11.4865,10.2307,3.307222,18.24752,9.167271,5.433862,4.589262,9.133421,22.31688,38.89658,49.82383,3.801,131.893727183152,6.17324947257384,134131,0.0411232260718506,15.3999996185303,4.31333351135254,0.233333334326744,0.126000002026558
1942-01-01,0,0,11.57757,10.10772,2.571949,18.37368,9.115754,4.225926,3.524658,7.399261,26.42831,48.87296,65.74001,3.810436,134.342064473571,7.58098554372842,134495.5,0.0419108020460827,15.8333330154419,4.29333353042603,0.256666660308838,0.204999998211861
1942-04-01,29,0.20223589212877,12.38668,9.986543,2.39328,18.24771,9.245479,3.738733,3.241655,5.90648,36.06126,71.73628,102.6936,3.815395,138.395466222562,8.98872161488301,134860,0.0430533587462978,16.2333335876465,4.28666687011719,0.353333324193954,0.204999998211861
1942-07-01,66.2,0.424517896443284,13.15275,10.10017,2.371025,18.47311,9.46618,2.852272,2.690957,3.220406,46.43963,96.49124,141.447,3.813535,142.986720336761,12.2685392932489,135329.75,0.0461502164657736,16.466667175293,4.28000020980835,0.379999995231628,0.204999998211861
1942-10-01,0,0,14.099,10.26156,2.359746,18.6975,9.648588,2.391069,2.21473,3.025853,53.0028,112.3795,165.9915,3.802,148.365121612048,15.5483569716149,135799.5,0.0472838677187701,16.7999992370605,4.25666666030884,0.379999995231628,0.204999998211861
1943-01-01,23,0.126655678827631,14.32669,10.38362,2.203479,18.64918,9.836525,2.258713,2.153043,2.510876,57.51636,123.4642,182.7935,3.779452,153.21725603629,18.8281746499808,136269.25,0.048671683875085,17,4.08333349227905,0.379999995231628,0.221000000834465
1943-04-01,0,0,14.70674,10.29949,2.278118,18.35172,10.04324,2.389239,2.258446,2.866185,59.55737,128.6061,191.2963,3.749353,157.294183356805,22.1079923283468,136739,0.0501711398833138,17.466667175293,3.91666674613953,0.379999995231628,0.221000000834465
1943-07-01,0,0,15.06242,10.41038,2.151662,18.62766,10.18037,2.682761,2.587274,2.94548,60.54859,131.0972,195.8829,3.719779,160.056240432849,23.5377775939778,137153.5,0.0521318534764403,17.3666667938232,3.81666660308838,0.379999995231628,0.221000000834465
1943-10-01,0,0,15.50415,10.4945,2.070743,18.63145,10.41186,2.861287,2.757237,3.293459,63.27368,137.9845,205.2833,3.695,160.210633677499,24.9675628596087,137568,0.0527163312564036,17.3999996185303,3.82333326339722,0.379999995231628,0.221000000834465
1944-01-01,0,0,15.80836,10.53323,2.121271,18.72377,10.49803,2.99033,2.928051,3.275959,65.95108,144.2773,215.1537,3.678105,161.025756678143,26.3973481252397,137982.5,0.0533846568231583,17.3999996185303,3.72666668891907,0.379999995231628,0.263000011444092
1944-04-01,-34,-0.159299457210526,15.98451,10.62961,1.948725,18.84051,10.62928,3.174462,3.261925,2.549294,67.18441,147.589,219.0653,3.666769,163.669113710355,27.8271333908707,138397,0.0537102513799849,17.533332824707,3.63333344459534,0.379999995231628,0.263000011444092
1944-07-01,0,0,16.23024,10.72763,1.938747,19.05026,10.72157,3.008792,3.160872,2.139567,68.22958,149.8138,222.058,3.656351,158.289943275259,27.1656575565784,138779.75,0.0538891864759389,17.7000007629395,3.55999994277954,0.379999995231628,0.263000011444092
1944-10-01,19.4,0.0870861164978812,16.3889,10.88153,2.015257,19.20547,10.88312,3.342416,3.601151,2.035179,69.71895,153.1319,228.6711,3.643,159.122283433302,26.5041817222862,139162.5,0.0543893706814224,17.7333335876465,3.52333331108093,0.379999995231628,0.263000011444092
1945-01-01,0,0,16.69016,11.09925,2.097537,19.76122,11.12274,3.505147,3.862051,1.901815,70.5416,154.7754,233.805,3.622784,155.384709955679,25.8427058879939,139545.25,0.054566114018044,17.7999992370605,3.41666674613953,0.379999995231628,0.26800000667572
1945-04-01,0,0,16.75557,11.1173,2.049519,19.48797,11.15858,3.745436,4.119228,2.086875,69.73591,152.9276,228.9095,3.603384,150.095348010409,25.1812300537016,139928,0.0541925074352368,17.9333324432373,3.32333326339722,0.379999995231628,0.26800000667572
1945-07-01,-41,-0.175960303355563,15.73604,11.32465,2.169756,20.15825,11.31672,4.641103,4.99454,2.857465,57.27486,123.3315,183.2232,3.58997,141.831951666873,20.4868515535098,140293.25,0.0518702484170921,18.1000003814697,3.25333333015442,0.379999995231628,0.26800000667572
1945-10-01,0,0,14.51023,11.87881,2.599188,21.11656,11.42597,5.244313,5.224182,4.913845,39.11963,79.86953,116.3863,3.591,135.95087226088,15.792473053318,140658.5,0.0495144012865339,18.1333332061768,3.15000009536743,0.379999995231628,0.26800000667572
1946-01-01,0,0,14.30782,12.66004,3.367936,22.48509,11.63575,6.231739,5.514467,9.191818,24.71347,44.55482,61.17973,3.627781,132.759944762514,11.0980945531262,141023.75,0.0498030368827039,18.2000007629395,2.96666669845581,0.379999995231628,0.238000005483627
1946-04-01,0,0,14.60362,12.99789,3.765911,22.73378,11.73403,7.850529,6.687576,12.36926,20.58571,34.61912,48.17882,3.699728,129.40024106363,6.40371605293441,141389,0.0520850614001617,18.533332824707,3.00333333015442,0.379999995231628,0.238000005483627
1946-07-01,3.7,0.0169820742731672,14.0959,12.86292,4.487961,21.66879,11.85034,8.480985,7.053889,13.89266,18.20528,29.38997,38.05054,3.810451,129.83058460012,5.5482598053318,142073.25,0.0484538873709237,20.1333332061768,3.0533332824707,0.379999995231628,0.238000005483627
1946-10-01,0,0,13.71665,12.54715,4.482193,20.90034,11.85189,9.040747,7.584068,13.90226,17.87154,28.77608,34.87491,3.932,130.231432576351,4.69280355772919,142757.5,0.0452456735959307,21.1999988555908,3.16333341598511,0.379999995231628,0.238000005483627
1947-01-01,0,0,14.022,12.83,4.542,21.561,11.719,9.329,7.918,14.61,17.184,25.544,31.436,4.052135,129.594339521164,3.83734731012658,143441.75,0.044673820836791,21.7000007629395,3.13333344459534,0.379999995231628,0.238000005483627
1947-04-01,7.8,0.0328836424957841,14.001,13.043,4.637,21.93,11.888,9.082,7.793,13.883,17.293,25.597,29.376,4.171385,128.84548585578,2.98189106252397,144126,0.0456103576793254,22.0100002288818,3.1800000667572,0.379999995231628,0.238000005483627
