"date","ngdp","rgdp","rcons","rcndsv","rcdur","rinv","rnri","rres","tothours","ngov","nfed","rameynews","mfev","ntaxrev","nfedtaxrev","pgdp","ybus","xbus","nbus","pop","baa","tbond10","tbill3","ffr","aftr15","pubdebt","endognrratio","exogenrratio","rrtaxu","taxu","taxnews"
1945-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
1945-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,235.2,0,0,,0,0
1945-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,235.3,0,0,,0,0
1945-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,237.7,0,0,,0,0
1946-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,240.4,-2.654071075,0,,0,0
1946-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,241.9,0,0,,0,0
1946-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,239.8,0,0,,0,0
1946-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,235,0,0,,0,0
1947-01-01,243.1,1934.58538914531,1199.53952417498,1430.01816584769,46.5807061365017,222.953670351509,1.32464480290567,1.17200580421922,122.243500528627,40.1,26.6,0,,54.7,43,12.566,12.205,21.479,56.822,142985.578125,3.13,,0.38,,,229.3,0,0,0,0,0
1947-04-01,246.3,1932.52255786583,1219.64217738866,1452.37935319958,47.7124765896727,205.601907032181,1.30651182082124,1.12062585897029,121.195252720941,40.3,26.5,7.8,,54.2,42.1,12.745,12.245,21.581,56.74,143669.828125,3.18,,0.38,,,224.3,0,0,0,0,0
1947-07-01,250.1,1930.23076329397,1223.46786248132,1453.7316340859,48.3359570741225,199.519780471072,1.28302268020407,1.29212321686996,122.144600678187,39.8,25.3,0,,53.7,41.2,12.957,12.23,21.388,57.182,144334.75,3.19,,0.74,,,221.2,0,0,0,0,0.27
1947-10-01,260.3,1960.68092799036,1223.65638445271,1440.67251629176,51.4358255997198,237.924767307375,1.31481022078889,1.54156171284635,122.916486264648,40,24.8,0,,56.4,43.4,13.276,12.484,21.667,57.619,144961,3.44,,0.91,,,218.8,0,0,0,0,0
1948-01-01,266.2,1989.68532775245,1229.71510998918,1449.71824190497,51.0403544589722,262.63075895838,1.39176784127924,1.51245551601424,121.872892962923,41.2,25.5,1.8,0.363697722669794,57.1,43.6,13.379,12.702,22.159,57.323,145587.25,3.53,,0.99,,,217.4,0,0,0,0,0
1948-04-01,272.9,2021.93079943691,1244.28897772701,1468.74169121118,51.4502540356293,278.701241134752,1.34447325458561,1.6021883548261,122.135390248682,43.1,26.7,3.5,-1.08073691517199,56,42,13.497,12.967,22.612,57.345,146213.5,3.4,,1,,,216.3,0,-1.870557426,-1.920288129,-3.741114852,0
1948-07-01,279.5,2033.17087364516,1245.86936651902,1467.55058333136,52.4059075750357,281.667471430871,1.35097493036212,1.55549193625346,123.491319126782,44.8,27.5,0,-0.441642767231887,55.4,41.1,13.747,13.025,22.506,57.872,146844.078125,3.42,,1.05,,,215.2,0,0,0,1.825483753,0
1948-10-01,280.7,2035.68061498296,1256.0829395585,1484.10699244222,51.6827916976763,268.095113666057,1.38322722484313,1.44212523719165,123.026568330384,46.8,28.7,0,-2.31488438416879,55.4,40.8,13.789,13.011,22.627,57.503,147483.328125,3.52,,1.14,,,214.4,0,0,0,0,0
1949-01-01,275.4,2007.72763723846,1258.08515175208,1491.05198547401,50.6003608386388,227.849439627828,1.31742595236998,1.33672220653299,121.615193473619,48.8,30.2,0,-0.426248869318294,54.4,39.4,13.717,12.784,22.547,56.698,148122.578125,3.46,,1.17,,,214,0,0,0,0,0
1949-04-01,271.7,2000.88371750497,1277.26525066152,1497.16907740757,55.0906700611423,197.512003491925,1.26880132878103,1.31020831369592,120.778509113568,50.6,31.3,0,-0.194184086160046,52.6,37.4,13.579,12.719,22.638,56.184,148761.828125,3.46,,1.17,,,214.3,0,0,0,0,0
1949-07-01,273.3,2023.09571396847,1279.67198964178,1489.29275249619,57.6667159544581,213.86031402274,1.2092290585619,1.41932992179202,119.069291614104,50.6,30.5,0,-0.473580984147624,52.5,36.9,13.509,12.878,23.301,55.268,149444.921875,3.41,,1.04,,,215.5,0,0,0,0,0
1949-10-01,271,2004.73442816985,1298.86960904313,1503.30146893926,60.0816602847532,203.793272104777,1.19369579408748,1.59343312409464,117.919166065283,50.1,29.8,-2,-0.807013727480091,51.4,35.6,13.518,12.747,23.361,54.564,150215.671875,3.34,,1.08,,,217.1,0,0,0,0,0
1950-01-01,281.2,2084.50704225352,1320.68667051356,1523.33851259728,62.2120304902648,251.65705663631,1.2300810735253,1.77153920619555,118.273657819239,49.2,28.6,0,-0.860548947423233,57.1,41,13.49,13.367,24.424,54.729,150986.421875,3.24,,1.1,0.976666666667,,218.3,0,0.27252907,0,0,0
1950-04-01,290.7,2147.28911212882,1342.4264178033,1550.55693079525,62.8148647794102,278.948210571231,1.33401033973412,1.9452313503305,120.492135448637,49.9,29,7.7,-0.474982265702066,61.7,45.1,13.538,13.806,24.678,55.944,151757.171875,3.25,,1.15,0.973333333333,,219,0,0,0,0,0
1950-07-01,308.5,2230.33545401966,1411.29315800577,1575.4762388455,77.798348345225,302.623424912208,1.44174274609057,2.05585372509779,123.826785508818,50,28.4,179.4,8.80113379822374,68.7,51.4,13.832,14.387,25.072,57.383,152488.25,3.25,,1.22,1.186666666667,,218.6,0,0,0,0,0.35
1950-10-01,320.3,2273.24343506033,1368.47195357834,1561.53283525774,68.1120883616281,341.147132169576,1.4392580602826,1.95810564663024,125.443815624557,53.9,31.8,124,0.38746858339804,73.6,56.1,14.09,14.542,25.189,57.732,153140,3.21,,1.34,1.05,,217.3,1.499680919,0,0,0,0
1951-01-01,336.4,2304.74102493834,1401.79408220645,1597.55292016229,70.1671397035635,306.538863054,1.4007024670983,1.85870331219168,128.083874649732,62.3,39.6,4.1,-0.159857360952191,82.4,64.1,14.596,14.695,25.196,58.324,153791.75,3.19,,1.37,1.223333333333,,215.6,1.155015198,0,0,0,0
1951-04-01,344.5,2344.81350394773,1361.97622684109,1588.99926818888,60.0935658778163,313.648843594397,1.41846921797005,1.60995561743974,129.497452027254,70,46.6,0,-0.148723890068451,79.4,61.1,14.692,14.83,25.297,58.625,154443.5,3.41,,1.49,0.903333333333,,214.3,0,0,0,0,0
1951-07-01,351.8,2393.03448744983,1377.98408488064,1616.73043518166,59.0870849719239,290.588676415448,1.43428265259861,1.5058416270013,128.925129383065,78.3,54.3,0,-0.0232977184625534,79,60.3,14.701,15.077,26.028,57.926,155100.921875,3.5,,1.6,1.503333333333,,213.8,0,0,0,0,0
1951-10-01,356.6,2398.27829712825,1385.56188232214,1628.77621288437,58.9044546493829,267.409731653632,1.41069025971378,1.51814049232353,129.238632840298,83.6,59.3,0,0.339611328858548,83.2,64,14.869,15.076,25.937,58.126,155769.671875,3.56,,1.61,1.253333333333,,213.7,1.551724138,0,0,0,-0.35
1952-01-01,360.2,2423.46767139878,1388.90699341719,1631.54385037599,59.2672413793103,274.160060400151,1.42485994966307,1.56263342156946,129.73211369684,85.3,60.9,-0.5,0.608241974671803,83.8,64.2,14.863,15.207,26.043,58.391,156522,3.54,,1.57,1.116666666667,,214.1,0,0,0,0,0
1952-04-01,361.4,2428.43703803252,1415.90612777053,1662.49465199555,60.3629566165589,253.624922237642,1.45021469658916,1.59214092140921,129.231103484043,89.2,64.1,-4.6,0.103857424929324,84.2,64.3,14.882,15.193,26.292,57.786,157142,3.5,,1.65,1.576666666667,,214.8,0,0,0,0,0
1952-07-01,368.1,2446.17224880383,1422.9274611399,1688.9386532958,56.8576054274921,267.139921539324,1.3362033953375,1.57744588018124,129.764001317293,91.2,66.2,0.8,0.130259075580829,85.1,64.7,15.048,15.293,26.38,57.972,157801,3.51,,1.78,1.536666666667,,215.6,0,0,0,0,0
1952-10-01,381.2,2526.00887946458,1473.55489460753,1712.54873467829,66.5337308246629,286.293745873031,1.45345296577484,1.65456694242782,132.171791291893,93.7,68.1,0,0.690965386641285,88.8,67.9,15.091,15.901,26.776,59.385,158505,3.53,,1.89,1.68,,216.5,0,0,0,0,0
1953-01-01,388.5,2573.52941176471,1491.04727553781,1727.05783041427,68.8481624190741,292.833412434741,1.53340635268346,1.68676731044952,132.645136681778,96,69.7,-7.5,-0.527035576057761,90.9,69.5,15.096,16.229,27.193,59.681,159164,3.54,,1.98,1.91,,217.5,0,0,0,0,0
1953-04-01,392.3,2593.71900826446,1499.67845659164,1740.98047452654,68.3874245295922,294.215189273701,1.54954519842228,1.69305929919137,132.494677434381,98.2,71.9,-4.4,0.213284699621428,91.5,69.9,15.125,16.353,27.439,59.598,159752,3.76,3,2.15,1.613333333333,,218.4,0,0,0,0,0
1953-07-01,391.7,2579.00974453516,1496.00255836265,1737.49168683737,68.0405883741053,287.992495309568,1.58229112558437,1.62839248434238,131.624137465522,96.9,70,-11.7,0.0521111168000024,90.9,68.9,15.188,16.211,27.441,59.075,160450,3.86,2.92,1.96,1.583333333333,,219.7,0,0,0,0,0
1953-10-01,386.5,2539.58867205467,1486.34018977265,1733.65025460254,66.127702994388,267.108690504381,1.5685019206146,1.61844863731656,130.013777034721,97,69.5,-1,0.0547397194751321,85.8,63.8,15.219,15.902,27.37,58.1,161218,3.77,2.64,1.47,1.556666666667,,221.2,0,0,0,0,0
1954-01-01,385.9,2527.83964365256,1491.57267773413,1749.97451544581,64.0140091448584,265.351817445572,1.52613962384444,1.63616429113604,128.920535176453,95.1,66.8,0,0.146372834091278,83.4,61,15.266,15.798,27.361,57.738,161909,3.61,2.44,1.06,1.19,0.421381533,223,-0.985877964,0,0,0,0
1954-04-01,386.7,2530.5935475427,1511.32542351374,1761.77624268554,67.0498084291188,264.565425023878,1.51527171757239,1.74110522331567,127.359686820006,92.8,63.7,0,0.0672230603913522,83.8,61.1,15.281,15.796,27.74,56.942,162568,3.48,2.35,0.79,0.8,0.416825235,224.5,-0.265957447,0,0,0,0
1954-07-01,391.6,2559.47712418301,1531.60608568337,1788.70969698299,67.3564617569487,277.712402918334,1.55301820504631,1.84569338210841,126.935689878361,91.4,61.3,-5,0.280114316049665,84.8,61.8,15.3,15.985,28.18,56.725,163295,3.49,2.35,0.88,1.03,0.462850332,225.3,0,-0.367647059,-0.372340426,-1.129201681,0
