"year","activity","sex","age_group","hours"
1900,"home_production","all","14+",22.7683416053399
1900,"home_production","all","14-17",12.3395861419531
1900,"home_production","all","18-24",20.0931217487603
1900,"home_production","all","25-54",25.9797902011778
1900,"home_production","all","55-64",24.1522589515618
1900,"home_production","all","65+",21.8313384001006
1900,"home_production","female","14+",42.5103239307884
1900,"home_production","female","14-17",20.99
1900,"home_production","female","18-24",35.5096818064067
1900,"home_production","female","25-54",50.3833515607708
1900,"home_production","female","55-64",45.1842755800781
1900,"home_production","female","65+",37.8362612874957
1900,"home_production","male","14+",4.01965312088829
1900,"home_production","male","14-17",3.801
1900,"home_production","male","18-24",4.32190112311796
1900,"home_production","male","25-54",3.70789816306806
1900,"home_production","male","55-64",4.21455293385535
1900,"home_production","male","65+",6.11302993125824
1901,"home_production","all","14+",22.6486358646044
1901,"home_production","all","14-17",12.2728559100251
1901,"home_production","all","18-24",19.9174866222885
1901,"home_production","all","25-54",25.8275229377308
1901,"home_production","all","55-64",24.0233797811702
1901,"home_production","all","65+",21.8801361392476
1901,"home_production","female","14+",42.3623839524279
1901,"home_production","female","14-17",20.8505
1901,"home_production","female","18-24",35.3069487822431
1901,"home_production","female","25-54",50.1814730817193
1901,"home_production","female","55-64",45.0917078452264
1901,"home_production","female","65+",37.8310807936091
1901,"home_production","male","14+",3.95561320453409
1901,"home_production","male","14-17",3.80545
1901,"home_production","male","18-24",4.238028878929
1901,"home_production","male","25-54",3.62595648897902
1901,"home_production","male","55-64",4.15420863134124
1901,"home_production","male","65+",6.14919240561328
1902,"home_production","all","14+",22.53433282789
1902,"home_production","all","14-17",12.2061200487164
1902,"home_production","all","18-24",19.7589785298868
1902,"home_production","all","25-54",25.6836960835419
1902,"home_production","all","55-64",23.9046746243777
1902,"home_production","all","65+",21.93636401261
1902,"home_production","female","14+",42.2217215584264
1902,"home_production","female","14-17",20.711
1902,"home_production","female","18-24",35.1246240374713
1902,"home_production","female","25-54",49.991578108318
1902,"home_production","female","55-64",45.0048396129874
1902,"home_production","female","65+",37.8281983325447
1902,"home_production","male","14+",3.90393956424001
1902,"home_production","male","14-17",3.8099
1902,"home_production","male","18-24",4.16742578350884
1902,"home_production","male","25-54",3.55853419329476
1902,"home_production","male","55-64",4.10796335880794
1902,"home_production","male","65+",6.19774441338172
1903,"home_production","all","14+",22.4715940786243
1903,"home_production","all","14-17",12.139378561009
1903,"home_production","all","18-24",19.6800335850126
1903,"home_production","all","25-54",25.5992034063411
1903,"home_production","all","55-64",23.8316744859976
1903,"home_production","all","65+",22.0218915646112
1903,"home_production","female","14+",42.1302100372368
1903,"home_production","female","14-17",20.5715
1903,"home_production","female","18-24",35.0394763714361
1903,"home_production","female","25-54",49.8563363656274
1903,"home_production","female","55-64",44.9447216663861
1903,"home_production","female","65+",37.8348975902386
1903,"home_production","male","14+",3.9085993384722
1903,"home_production","male","14-17",3.81435
1903,"home_production","male","18-24",4.15808794768238
1903,"home_production","male","25-54",3.55746799227021
1903,"home_production","male","55-64",4.12480161248634
1903,"home_production","male","65+",6.29512467118827
1904,"home_production","all","14+",22.4957339307909
1904,"home_production","all","14-17",12.0726314498833
1904,"home_production","all","18-24",19.737968199205
1904,"home_production","all","25-54",25.6136137199285
1904,"home_production","all","55-64",23.8365189985916
1904,"home_production","all","65+",22.1549897969583
