"date","country","distress"
1967-01-01,"Australia",
1967-01-01,"Austria",0
1967-01-01,"Belgium",0
1967-01-01,"Canada",0
1967-01-01,"Czech Republic",
1967-01-01,"Denmark",0
1967-01-01,"Finland",
1967-01-01,"France",0
1967-01-01,"Germany",0
1967-01-01,"Greece",0
1967-01-01,"Hungary",
1967-01-01,"Iceland",0
1967-01-01,"Ireland",0
1967-01-01,"Italy",0
1967-01-01,"Japan",0
1967-01-01,"Korea",
1967-01-01,"Luxembourg",0
1967-01-01,"Mexico",
1967-01-01,"Netherlands",0
1967-01-01,"New Zealand",
1967-01-01,"Norway",0
1967-01-01,"Poland",
1967-01-01,"Portugal",0
1967-01-01,"Slovak Republic",
1967-01-01,"Spain",0
1967-01-01,"Sweden",0
1967-01-01,"Switzerland",0
1967-01-01,"Turkey",0
1967-01-01,"United Kingdom",0
1967-01-01,"United States",0
1967-07-01,"Australia",
1967-07-01,"Austria",0
1967-07-01,"Belgium",0
1967-07-01,"Canada",0
1967-07-01,"Czech Republic",
1967-07-01,"Denmark",0
1967-07-01,"Finland",
1967-07-01,"France",0
1967-07-01,"Germany",0
1967-07-01,"Greece",0
1967-07-01,"Hungary",
1967-07-01,"Iceland",0
1967-07-01,"Ireland",0
1967-07-01,"Italy",0
1967-07-01,"Japan",0
1967-07-01,"Korea",
1967-07-01,"Luxembourg",0
1967-07-01,"Mexico",
1967-07-01,"Netherlands",0
1967-07-01,"New Zealand",
1967-07-01,"Norway",0
1967-07-01,"Poland",
1967-07-01,"Portugal",0
1967-07-01,"Slovak Republic",
1967-07-01,"Spain",0
1967-07-01,"Sweden",0
1967-07-01,"Switzerland",0
1967-07-01,"Turkey",0
1967-07-01,"United Kingdom",0
1967-07-01,"United States",0
1968-01-01,"Australia",
1968-01-01,"Austria",0
1968-01-01,"Belgium",0
1968-01-01,"Canada",0
1968-01-01,"Czech Republic",
1968-01-01,"Denmark",0
1968-01-01,"Finland",
1968-01-01,"France",0
1968-01-01,"Germany",0
1968-01-01,"Greece",0
1968-01-01,"Hungary",
1968-01-01,"Iceland",0
1968-01-01,"Ireland",0
1968-01-01,"Italy",0
1968-01-01,"Japan",0
1968-01-01,"Korea",
1968-01-01,"Luxembourg",0
1968-01-01,"Mexico",
1968-01-01,"Netherlands",0
1968-01-01,"New Zealand",
1968-01-01,"Norway",0
1968-01-01,"Poland",
1968-01-01,"Portugal",0
1968-01-01,"Slovak Republic",
1968-01-01,"Spain",0
1968-01-01,"Sweden",0
1968-01-01,"Switzerland",0
1968-01-01,"Turkey",0
1968-01-01,"United Kingdom",0
1968-01-01,"United States",0
1968-07-01,"Australia",
1968-07-01,"Austria",0
1968-07-01,"Belgium",0
1968-07-01,"Canada",0
1968-07-01,"Czech Republic",
1968-07-01,"Denmark",0
1968-07-01,"Finland",
1968-07-01,"France",0
1968-07-01,"Germany",0
1968-07-01,"Greece",0
1968-07-01,"Hungary",
1968-07-01,"Iceland",0
1968-07-01,"Ireland",0
1968-07-01,"Italy",0
1968-07-01,"Japan",0
1968-07-01,"Korea",
1968-07-01,"Luxembourg",0
1968-07-01,"Mexico",
1968-07-01,"Netherlands",0
1968-07-01,"New Zealand",
1968-07-01,"Norway",0
1968-07-01,"Poland",
1968-07-01,"Portugal",0
1968-07-01,"Slovak Republic",
1968-07-01,"Spain",0
1968-07-01,"Sweden",0
1968-07-01,"Switzerland",0
1968-07-01,"Turkey",0
1968-07-01,"United Kingdom",0
1968-07-01,"United States",0
1969-01-01,"Australia",
1969-01-01,"Austria",0
1969-01-01,"Belgium",0
1969-01-01,"Canada",0
1969-01-01,"Czech Republic",
1969-01-01,"Denmark",0
1969-01-01,"Finland",0
1969-01-01,"France",0
1969-01-01,"Germany",0
1969-01-01,"Greece",0
1969-01-01,"Hungary",
1969-01-01,"Iceland",0
1969-01-01,"Ireland",0
