"date","ngov","ngdp","pgdp","pop","recession","unemp","news","rgdp","nfedcurrreceipts_nipa","ndeficit_nipa","tbill","zlb_dummy","rgdp_potcbo","rgdp_pott6","unemp_altcr","rgdp_altcr","pgdp_altcr","ngdp_altcr","ntotrev_nipa","pubfeddebt_treas","fedrevq_treas","fedexpq_treas","nfedexp_nipa","hpunemp_split","hpunemp_full","tbill_interp","nydiscrate"
1875-01-01,,,,45049.08203125,1,,,,,,,0,,,,,,,,,,,,,,,
1875-04-01,,,,45314.83203125,1,,,,,,,0,,,,,,,,,,,,,,,
1875-07-01,,,,45572.58203125,1,,,,,,,0,,,,,,,,,,,,,,,
1875-10-01,,,,45814.33203125,1,,,,,,,0,,,,,,,,,,,,,,,
1876-01-01,,,,46056.08203125,1,,,,,,,0,,,,,,,,,,,,,,,
1876-04-01,,,,46297.83203125,1,,,,,,,0,,,,,,,,,,,,,,,
1876-07-01,,,,46537.41796875,1,,,,,,,0,,,,,,,,,,,,,,,
1876-10-01,,,,46772.66796875,1,,,,,,,0,,,,,,,,,,,,,,,
1877-01-01,,,,47007.91796875,1,,,,,,,0,,,,,,,,,,,,,,,
1877-04-01,,,,47243.16796875,1,,,,,,,0,,,,,,,,,,,,,,,
1877-07-01,,,,47476.58203125,1,,,,,,,0,,,,,,,,,,,,,,,
1877-10-01,,,,47706.33203125,1,,,,,,,0,,,,,,,,,,,,,,,
1878-01-01,,,,47936.08203125,1,,,,,,,0,,,,,,,,,,,,,,,
1878-04-01,,,,48165.83203125,1,,,,,,,0,,,,,,,,,,,,,,,
1878-07-01,,,,48397.75,1,,,,,,,0,,,,,,,,,,,,,,,
1878-10-01,,,,48634,1,,,,,,,0,,,,,,,,,,,,,,,
1879-01-01,,,,48870.25,1,,,,,,,0,,,,,,,,,,,,,,,
1879-04-01,,,,49106.5,0,,,,,,,0,,,,,,,,,,,,,,,
1879-07-01,,,,49347.16796875,0,,,,0.2726217,-0.0002286,,0,,,,,,,,2.237321,0.2986928,0.30992536,0.2797612,,,,
1879-10-01,,,,49596.66796875,0,,,,0.3009655,-0.0688271,,0,,,,,,,,2.179573,0.32974718,0.26617899,0.2402726,,,,
1880-01-01,,,,49846.16796875,0,,,,0.3293316,-0.1181807,,0,,,,,,,,2.129495,0.36082603,0.24377798,0.2200518,,,,
1880-04-01,,,,50095.66796875,0,,,,0.3147427,-0.0969585,,0,,,,,,,,2.090909,0.34484198,0.25068969,0.2262908,,,,
1880-07-01,,,,50362.33203125,0,,,,0.3310224,-0.1117151,,0,,,,,,,,2.067648,0.36267853,0.25286447,0.2282539,,,,
1880-10-01,,,,50663.33203125,0,,,,0.3217345,-0.0791204,,0,,,,,,,,2.052659,0.35250238,0.27840609,0.2513096,,,,
1881-01-01,,,,50964.33203125,0,,,,0.321979,-0.0926971,,0,,,,,,,,2.038888,0.35277027,0.26364376,0.2379841,,,,
1881-04-01,,,,51265.33203125,0,,,,0.3424298,-0.127878,,0,,,,,,,,2.019286,0.37517681,0.24793772,0.2238066,,,,
1881-07-01,,,,51584.91796875,0,,,,0.3511681,-0.1334782,,0,,,,,,,,1.986798,0.38475069,0.25167574,0.2271809,,,,
1881-10-01,,,,51941.66796875,0,,,,0.3731019,-0.1460725,,0,,,,,,,,1.945915,0.40878213,0.2626791,0.2371133,,,,
1882-01-01,,,,52298.41796875,0,,,,0.3686962,-0.1544388,,0,,,,,,,,1.901125,0.40395511,0.24839801,0.2242222,,,,
1882-04-01,,,,52655.16796875,1,,,,0.3802484,-0.1475519,,0,,,,,,,,1.856916,0.41661205,0.26917116,0.2429735,,,,
1882-07-01,,,,53021.5,1,,,,0.389493,-0.1605249,,0,,,,,,,,1.817778,0.42674074,0.26531761,0.239495,,,,
1882-10-01,,,,53407,1,,,,0.3678075,-0.1525349,,0,,,,,,,,1.782829,0.40298139,0.24949609,0.2252134,,,,
1883-01-01,,,,53792.5,1,,,,0.3559194,-0.1163862,,0,,,,,,,,1.751182,0.38995638,0.2760165,0.2491526,,,,
1883-04-01,,,,54178,1,,,,0.3408752,-0.1056426,,0,,,,,,,,1.721959,0.37347354,0.27080184,0.2444455,,,,
1883-07-01,,,,54550.91796875,1,,,,0.3211064,-0.1091852,,0,,,,,,,,1.694277,0.35181417,0.24438494,0.2205997,,,,
1883-10-01,,,,54898.66796875,1,,,,0.3277642,-0.1182971,,0,,,,,,,,1.668621,0.35910872,0.24186568,0.2183256,,,,
