"date","ff_factor","fg_factor","lsap_factor"
1991-07-05,-0.0528,0.6122,-0.0829
1991-08-06,-1.7624,-0.0655,0.3271
1991-08-21,1.3483,-0.6852,-0.3851
1991-09-13,-0.2191,0.5076,0.5474
1991-10-02,0.1163,0.1457,0.2356
1991-10-30,-0.3028,0.2426,0.2819
1991-11-06,-1.4813,-0.389,0.3688
1991-12-06,0.127,0.2337,0.0379
1991-12-18,0.319,0.3233,0.2664
1991-12-20,-3.9013,-1.2243,0.0713
1992-02-06,0.3064,-0.1059,-0.0086
1992-04-01,-0.0885,0.2901,0.1247
1992-04-09,-2.3357,-1.9294,-0.8946
1992-05-20,0.318,0.2013,0.3881
1992-07-02,-1.2613,1.7221,0.6392
1992-08-19,0.3873,-0.1127,-0.0189
1992-09-04,0.1877,-0.1289,-0.2503
1992-10-07,0.3143,0.0939,-0.0287
1992-11-18,0.3758,0.1324,0.3447
1992-12-23,0.3326,-0.4192,-0.2965
1993-02-04,-0.1136,0.2992,0.1063
1993-03-24,0.2365,0.2362,0.206
1993-05-19,-0.1463,-0.0739,0.1429
1993-07-08,0.116,-0.0208,-0.0624
1993-08-18,0.6136,-0.0165,0.0252
1993-09-22,0.3298,-0.1272,-0.1854
1993-11-17,-0.0399,0.1139,0.1377
1993-12-22,0.2094,-0.3285,-0.3
1994-02-04,0.9019,2.053,0.0382
1994-03-22,-0.3825,-0.7124,0.5607
1994-04-18,1.1904,0.802,-0.3535
1994-05-17,0.7621,-2.1364,0.0947
1994-07-06,0.0677,0.3893,0.0958
1994-08-16,1.1206,-0.7659,0.3041
1994-09-27,-0.6467,0.7788,-0.011
1994-11-15,1.1161,-0.3582,0.0327
1994-12-20,-1.9854,2.1238,1.3529
1995-02-01,0.8013,0.6796,-0.0802
1995-03-28,0.4821,0.2032,0.0546
1995-05-23,0.1395,0.0184,-0.0619
1995-07-06,-1.1568,-3.4116,-0.4801
1995-08-22,0.4356,0.769,0.1613
1995-09-26,0.5176,0.8589,0.1424
1995-11-15,0.3602,0.377,-0.0382
1995-12-19,-0.916,0.4445,0.3207
1996-01-31,-0.1428,-0.2768,0.0539
1996-03-26,0.0693,0.2903,0.2824
1996-05-21,0.1984,0.3575,0.0612
1996-07-03,-0.4959,0.3291,0.4418
1996-08-20,-0.0449,0.4932,0.1195
1996-09-24,-1.37,-0.1876,0.2241
1996-11-13,0.0277,-0.1753,0.2371
1996-12-17,0.2383,-0.0134,-0.1185
1997-02-05,-0.1922,0.776,0.1477
1997-03-25,0.6425,1.0719,-0.2055
1997-05-20,-1.1094,0.2048,0.1457
1997-07-02,0.0126,0.1768,0.3032
1997-08-19,0.1893,0.3183,-0.0049
1997-09-30,0.1425,0.0627,-0.0582
1997-11-12,-0.1335,-0.2576,0.1958
1997-12-16,0.094,-0.0742,0.0088
1998-02-04,0.1006,0.468,0.2097
1998-03-31,-0.0028,0.2544,0.079
1998-05-19,-0.1035,-1e-04,0.1194
1998-07-01,0.2903,0.0441,0.0546
1998-08-18,0.2477,-0.0752,-0.0598
1998-09-29,0.9672,-0.3375,-0.1144
1998-10-15,-2.9603,-2.4332,0.3738
1998-11-17,-0.0225,0.1287,0.3387
1998-12-22,0.2151,-0.0014,0.0055
1999-02-03,0.2094,0.2768,-0.2118
1999-03-30,0.0659,-0.387,-0.1443
1999-05-18,-0.0395,2.9835,0.2453
1999-06-30,-0.3678,-1.7254,0.1541
1999-08-24,0.5327,-0.49,0.0544
1999-10-05,-0.4347,2.3462,0.3615
1999-11-16,1.2575,0.5482,-0.0827
1999-12-21,0.1886,0.8563,-0.1042
2000-02-02,-0.3775,1.1098,-0.2409
2000-03-21,0.101,0.3935,0.2478
2000-05-16,0.7103,0.5494,0.2483
2000-06-28,-0.1596,-0.1981,0.0586
2000-08-22,-0.0425,0.6783,0.3355
2000-10-03,0.0256,1.2013,0.3226
2000-11-15,0.1507,0.1349,0.4781
2000-12-19,0.8049,-0.2578,-0.5124
2001-01-03,-4.0334,2.6939,-0.0444
2001-01-31,0.8316,-0.7344,-0.7924
2001-03-20,-0.2878,-1.0225,-1.0006
2001-04-18,-5.7674,-0.1372,-0.9075
2001-05-15,-1.0852,-1.4497,-0.76
2001-06-27,1.2762,0.1831,0.1713
2001-08-21,0.2449,-0.7854,-0.5634
2001-10-02,-0.3513,-0.2621,-0.433
2001-11-06,-1.6435,-0.8846,-1.3002
2001-12-11,0.0916,-1.5986,-0.2351
2002-01-30,0.3761,0.1204,0.3955
2002-03-19,-0.1633,-1.162,0.0507
2002-05-07,0.2803,-0.8223,-0.4716
2002-06-26,0.1549,0.2172,-0.0111
2002-08-13,0.8185,-2.9402,-1.355
2002-09-24,0.3159,-0.4086,-0.0436
2002-11-06,-2.1545,0.545,1.2461
2002-12-10,0.0903,0.693,0.2611
2003-01-29,0.3047,0.9744,-0.0457
2003-03-18,0.211,-0.2129,0.153
2003-05-06,0.5107,-2.3955,-0.7233
2003-06-25,1.606,0.6574,0.4157
2003-08-12,0.3002,-1.0697,-0.1837
2003-09-16,0.2693,-0.1075,-0.0068
2003-10-28,0.3265,-2.3187,-0.1503
2003-12-09,-0.0291,1.5696,-0.7962
2004-01-28,-0.223,4.4319,-0.2286
2004-03-16,0.3326,-1.771,0.1513
2004-05-04,-0.0093,0.5609,-0.075
2004-06-30,-0.0468,-0.0481,-0.3709
2004-08-10,0.3594,0.7461,0.1665
2004-09-21,0.1499,-0.2519,0.2136
2004-11-10,0.1976,-0.6317,0.0502
2004-12-14,0.0635,-0.1725,0.0747
2005-02-02,0.0371,-0.1468,0.196
2005-03-22,0.1106,2.0778,-0.6014
2005-05-03,0.05,0.6959,0.2637
2005-06-30,0.0757,0.989,0.6774
2005-08-09,0.213,-0.4931,0.0746
2005-09-20,0.7183,-0.2786,0.284
2005-11-01,0.0959,0.3896,0.1212
2005-12-13,0.0902,-0.2964,0.0319
2006-01-31,0.2948,0.6753,-0.1081
2006-03-28,0.2454,1.1983,0.0782
2006-05-10,0.2349,1.2488,0.1938
2006-06-29,-0.04,-0.5808,-0.2383
2006-08-08,-0.2635,-0.0312,-0.057
2006-09-20,-0.0251,0.6957,0.2287
2006-10-25,0.1407,-0.1804,0.2265
2006-12-12,0.2328,-0.9068,0.0488
2007-01-31,0.1043,-0.0917,0.1182
2007-03-21,0.2377,-1.9887,-0.5645
2007-05-09,0.0403,0.9269,0.2506
2007-06-28,0.0939,0.4185,0.1357
2007-08-07,0.2368,-0.6886,-0.1569
2007-08-10,0.4016,0.3283,0.2616
2007-08-17,0.7101,-0.6014,-1.3685
2007-09-18,-2.2456,-0.5758,-0.9525
2007-10-31,0.024,1.8714,0.4441
2007-12-11,0.8929,-1.3742,1.1662
2008-01-22,-2.7591,2.3911,-0.5296
2008-01-30,-1.2648,-0.0678,-0.7747
2008-03-11,1.3296,1.8285,-0.985
2008-03-18,1.4094,-0.7948,-0.0228
2008-04-30,-0.8034,-0.1611,-0.4328
2008-06-25,0.1006,-0.3273,-0.1409
2008-08-05,0.0689,-0.1506,-0.5328
2008-09-16,1.812,-0.1191,-0.4837
2008-10-08,-0.9952,1.292,-0.1626
2008-10-29,-0.5087,-0.6957,0.0753
2008-12-16,-1.9226,-3.2665,-0.4599
2009-01-28,0.1792,-0.0808,-0.3325
2009-03-18,-0.2756,-1.9285,5.6307
