"name","used_in","category","tags","frequency","coverage","url","notes"
"Ramey (2016) Handbook of Macroeconomics data","Ramey (2016); Romer and Romer (2004); Christiano, Eichenbaum and Evans (1999); Coibion (2012); Ramey (2011)","Macro shocks","monetary-policy|fiscal-policy|technology|shocks|var|local-projections|us","monthly/quarterly","1889-2015","https://econweb.ucsd.edu/~vramey/research.html","Single zip with monetary, fiscal, technology and uncertainty shock series plus the Stata/Matlab code used in the Handbook chapter. Also hosts Ramey-Zubairy (2018) military news shocks."
"Romer and Romer (2004) monetary policy shocks","Romer and Romer (2004); Coibion (2012); Ramey (2016)","Monetary policy","monetary-policy|narrative|shocks|us","monthly","1969-1996","https://www.aeaweb.org/articles?id=10.1257/0002828042002651","Narrative shocks from Greenbook forecasts. Updated series to 2007 (Coibion et al. 2017) and 2019 (Wieland and Yang) circulate; the Ramey zip bundles one."
"Kilian (2009) oil market VAR data","Kilian (2009); Kilian and Murphy (2014); Baumeister and Hamilton (2019)","Oil and energy","oil|svar|global-activity|us","monthly","1973-2007","https://www.aeaweb.org/articles?id=10.1257/aer.99.3.1053","World oil production, global real activity index, real oil price. The activity index is maintained by the Dallas Fed (IGREA)."
"Kilian global real economic activity index","Kilian (2009); Kilian and Zhou (2018)","Oil and energy","oil|global-activity|shipping|index","monthly","1968-present","https://www.dallasfed.org/research/igrea","Corrected and updated by the Dallas Fed; download as xlsx."
"FRED-MD / FRED-QD","McCracken and Ng (2016); Stock and Watson (2016); Bernanke, Boivin and Eliasz (2005) updates","Macro panel","factor-model|favar|big-data|us|vintages","monthly/quarterly","1959-present","https://www.stlouisfed.org/research/economists/mccracken/fred-databases","Drop-in replacement for the Stock-Watson large panels (e.g. the 120 series in bbe2005). Monthly vintages are archived so results can be pinned to a date."
"Gilchrist and Zakrajsek (2012) excess bond premium","Gilchrist and Zakrajsek (2012); Gertler and Karadi (2015)","Financial conditions","credit-spread|ebp|financial|us","monthly","1973-present","https://www.federalreserve.gov/econres/notes/feds-notes/updating-the-recession-risk-and-the-excess-bond-premium-20161006.html","Updated monthly by the Fed Board (ebp_csv.csv). This is the `ebp` column in gk2015."
"Gertler and Karadi (2015) high-frequency surprises","Gertler and Karadi (2015); Ramey (2016); Jarocinski and Karadi (2020)","Monetary policy","monetary-policy|high-frequency|proxy-svar|fed-funds-futures|us","monthly","1990-2012","https://www.aeaweb.org/articles?id=10.1257/mac.20130329","Replication package on the AEA site. Extended surprise series are maintained by Jarocinski and Karadi (2020) and by Bauer and Swanson (2023)."
"Jarocinski and Karadi (2020) monetary and information shocks","Jarocinski and Karadi (2020)","Monetary policy","monetary-policy|high-frequency|information-effect|us|euro-area","monthly","1990-2019","https://www.aeaweb.org/articles?id=10.1257/mac.20180090","Poor man's sign restrictions split of high-frequency surprises. AEA replication package."
"Bauer and Swanson (2023) monetary policy surprises","Bauer and Swanson (2023)","Monetary policy","monetary-policy|high-frequency|orthogonalised|us","monthly","1988-2023","https://www.michaeldbauer.com/research/","Orthogonalised FOMC announcement surprises; updated on the author's site."
"Miranda-Agrippino and Ricco (2021) informationally-robust shocks","Miranda-Agrippino and Ricco (2021)","Monetary policy","monetary-policy|high-frequency|bvar|us","monthly","1991-2009","http://silviamirandaagrippino.com/code-data","Monetary policy shock series purged of central bank information effects."
"Mertens and Ravn (2013) narrative tax shocks","Mertens and Ravn (2013); Mertens and Ravn (2014)","Fiscal policy","fiscal-policy|tax|narrative|proxy-svar|us","quarterly","1950-2006","https://karelmertens.com/research/","Personal and corporate income tax narrative measures used as external instruments."
"Auerbach and Gorodnichenko (2012) fiscal multipliers","Auerbach and Gorodnichenko (2012)","Fiscal policy","fiscal-policy|multipliers|regime-switching|stvar|us","quarterly","1947-2008","https://www.aeaweb.org/articles?id=10.1257/pol.4.2.1","AEA replication package with forecasts from SPF and Greenbook."
"Fernald utilization-adjusted TFP","Fernald (2014); Basu, Fernald and Kimball (2006); Gali (1999) updates","Productivity","tfp|technology-shocks|productivity|us","quarterly","1947-present","https://www.frbsf.org/research-and-insights/data-and-indicators/total-factor-productivity-tfp/","Updated quarterly by the San Francisco Fed."
"Jurado, Ludvigson and Ng (2015) uncertainty indexes","Jurado, Ludvigson and Ng (2015); Ludvigson, Ma and Ng (2021)","Uncertainty","uncertainty|macro|financial|us","monthly","1960-present","https://www.sydneyludvigson.com/macro-and-financial-uncertainty-indexes","Macro, real and financial uncertainty at 1, 3 and 12 month horizons; updated regularly."
"Economic Policy Uncertainty index","Baker, Bloom and Davis (2016)","Uncertainty","uncertainty|news|policy|us|global","monthly/daily","1985-present","https://www.policyuncertainty.com/","US and country-level indexes plus categorical sub-indexes."
"Wu and Xia (2016) shadow federal funds rate","Wu and Xia (2016)","Monetary policy","monetary-policy|zlb|shadow-rate|us|euro-area|uk","monthly","1990-present","https://sites.google.com/view/jingcynthiawu/shadow-rates","Drop-in policy rate for VARs spanning the zero lower bound."
"Shiller online data (S&P, CAPE, house prices)","Shiller (1981); Campbell and Shiller (1988); Phillips, Shi and Yu (2015); Case and Shiller (2003)","Asset prices","stock-market|dividends|cape|house-prices|bubbles|us","monthly/annual","1871-present","http://www.econ.yale.edu/~shiller/data.htm","The long S&P price/dividend/earnings series behind psy2015 and most bubble tests."
"Jorda-Schularick-Taylor Macrohistory Database","Schularick and Taylor (2012); Jorda, Schularick and Taylor (2017); Jorda et al. (2019)","Macro-financial panel","panel|credit|crises|house-prices|returns|18-countries","annual","1870-present","https://www.macrohistory.net/database/","18 advanced economies, 1870 onwards. CC BY-NC-SA licence; download as xlsx or dta."
"Reinhart and Rogoff crisis chronologies","Reinhart and Rogoff (2009); Reinhart and Rogoff (2011)","Crises","crises|banking|sovereign-debt|inflation|panel","annual","1800-present","https://www.reinhartandrogoff.com/data/","Country-level crisis dates and debt series."
"Laeven and Valencia systemic banking crises database","Laeven and Valencia (2013); Laeven and Valencia (2020)","Crises","crises|banking|panel|imf","annual","1970-2017","https://www.imf.org/en/Publications/WP/Issues/2018/09/14/Systemic-Banking-Crises-Revisited-46232","IMF WP 18/206 with the database as an appendix xlsx."
"Penn World Table","Mankiw, Romer and Weil (1992); Hall and Jones (1999); Feenstra, Inklaar and Timmer (2015)","Growth panel","growth|productivity|panel|cross-country","annual","1950-present","https://www.rug.nl/ggdc/productivity/pwt/","Also on CRAN as the `pwt10` package."
"Maddison Project Database","Bolt and van Zanden (2020)","Growth panel","growth|gdp-per-capita|long-run|cross-country","annual","1-2018","https://www.rug.nl/ggdc/historicaldevelopment/maddison/","Long-run GDP per capita. CRAN: `maddison` package."
"Barro-Lee educational attainment","Barro and Lee (2013)","Growth panel","education|human-capital|panel|cross-country","5-yearly","1950-2015","http://www.barrolee.com/","Download as csv or dta from the project site."
"Acemoglu, Johnson and Robinson (2001) settler mortality","Acemoglu, Johnson and Robinson (2001); Albouy (2012)","Institutions","institutions|instrumental-variables|cross-country|colonial","cross-section","1995","https://economics.mit.edu/people/faculty/daron-acemoglu/data-archive","Data archive on Acemoglu's MIT page covers most of his published papers."
"Nelson and Plosser (1982) US macro series","Nelson and Plosser (1982); Perron (1989); Zivot and Andrews (1992)","Unit roots","unit-root|structural-break|long-run|us","annual","1860-1970","https://cran.r-project.org/package=tseries","Bundled in R: `tseries::NelPlo`. Extended to 1988 by Schotman and van Dijk (1991)."
