"year","bottom90","top10","top5","top1","top05","top01","top001"
1913,,,,0.440213924342302,0.39208625067717,0.22531783408552,0.0881305948090459
1914,,,,0.440617094140532,0.393106110527889,0.221877487821527,0.0917211264788205
1915,,,,0.437755521868841,0.392343583351855,0.233136216760278,0.111337793137128
1916,,,,0.426838751385579,0.370967063392955,0.2476542960993,0.114063352600576
1917,0.204876358931306,0.795123641068694,0.673100371870463,0.410817423975098,0.34837108776891,0.220017007555753,0.0943238369539054
1918,0.222356069161792,0.777643930838208,0.646856220264751,0.373897113250468,0.301797098678412,0.176360898922465,0.0703506021027501
1919,0.20634129843219,0.79365870156781,0.672270933300613,0.399732353525344,0.323707870891332,0.184814385044375,0.0694127560562306
1920,0.227405954698081,0.772594045301919,0.627439428605651,0.355994224270234,0.28279381849709,0.149546239120481,0.0506332033733533
1921,0.225899478949647,0.774100521050353,0.62983903109177,0.359489150459351,0.286252627825166,0.1507951999603,0.0490497894956863
1922,0.213921774610977,0.786078225389023,0.651962468220256,0.39093978552263,0.315409430709653,0.171719464229059,0.0602641708079532
1923,0.207466805411631,0.792533194588369,0.634456089421467,0.347459736109986,0.279109292110623,0.149111023137705,0.0516654759049177
1924,0.193159793870898,0.806840206129102,0.652256869840396,0.367926094180135,0.297083287147606,0.160089676320447,0.055759200620813
1925,0.177012304141714,0.822987695858286,0.707850873633704,0.430548091307408,0.346258881556638,0.186407630797141,0.0671632490948068
1926,0.169776107122324,0.830223892877676,0.724376892411192,0.451255989660194,0.364618642494942,0.202698955595958,0.0751184577687762
1927,0.161067065670504,0.838932934329496,0.733310294841533,0.494607909466615,0.402585682036493,0.226411862135567,0.0853505791020991
1928,0.155622089406958,0.844377910593042,0.741023170037541,0.514098061715649,0.423099260120056,0.246173475761623,0.0976166804847311
1929,0.157421206514796,0.842578793485204,0.740589916044007,0.505533209731026,0.417106529374605,0.247900424898164,0.101938913266898
1930,0.163812146886847,0.836187853113153,0.746936684855453,0.489513409285756,0.399882212711654,0.229722373211112,0.0895894141185368
1931,0.164294619647742,0.835705380352258,0.739464797173981,0.479656896212023,0.387575381757639,0.216201481767133,0.0818176399590421
1932,0.160144924883949,0.839855075116051,0.742758466435708,0.470348965570125,0.390375495322027,0.224171747207859,0.0751335294300971
1933,0.158558935893933,0.841441064106067,0.748341798369022,0.470753447574121,0.386181471565576,0.221877668221508,0.0776526106539847
1934,0.174681563396001,0.825318436603999,0.734505159541242,0.472145547068807,0.392683142520122,0.217792661179378,0.0740267913242929
1935,0.188380007649462,0.811619992350538,0.718312671267441,0.45274818369984,0.376687336760669,0.207662750840695,0.0703299758211269
1936,0.184313370205417,0.815686629794583,0.719043116308307,0.451933053247541,0.372624241971172,0.199683619906148,0.0654998995258985
1937,0.201044907494956,0.798955092505044,0.682536247354004,0.453153571020033,0.365869946187084,0.197376594926006,0.0664115737779489
1938,0.203029315464175,0.796970684535825,0.661813078777985,0.406660961242877,0.320934589663941,0.167915825962136,0.0583252277890358
1939,0.199349532516234,0.800650467483766,0.67114727442694,0.419464053205291,0.332181785379632,0.174325117522263,0.0583272138483081
1940,0.224260290021112,0.775739709978888,0.638655350800486,0.379293085603151,0.297310410039555,0.15335431181742,0.0517804430310103
1941,0.238236771465608,0.761763228534392,0.620618549418751,0.35035574331191,0.268784232324701,0.133927145578348,0.04428528036367
1942,0.253232535393626,0.746767464606374,0.604379301805969,0.346028574421889,0.265522485638588,0.129859972388532,0.0408593733705377
1943,0.248178745688892,0.751821254311108,0.615577027876232,0.350529643706763,0.26522072338268,0.126678952753615,0.0367007902635381
1944,0.251379305086006,0.748620694913994,0.61608083390531,0.34463177591038,0.258290050576469,0.121729930098372,0.0380599585900765
1945,0.247691810694813,0.752308189305187,0.623724739086127,0.343978019095201,0.255427080054201,0.118694800106689,0.035126150896502
1946,0.254094567881212,0.745905432118788,0.608882936124624,0.31831027415762,0.234639782487193,0.109118808395294,0.0344189493157163
1947,0.270020003315496,0.729979996684504,0.590027916194625,0.302310862210113,0.223421116090474,0.104770813766533,0.0334597917648338
1948,0.281343608126085,0.718656391873915,0.576477585094697,0.299211416246598,0.222487345368155,0.103223438013103,0.0317868868285202
1949,0.288783759397115,0.711216240602885,0.562335235894006,0.290557773139919,0.215738470992755,0.0999517748449976,0.0310494752779099
1950,0.284342455592151,0.715657544407849,0.572974229359967,0.305304163393099,0.226689751147168,0.105869021806649,0.0280353377644849
1951,0.285634449344863,0.714365550655137,0.57210932385617,0.300093887833752,0.221419870890563,0.101307239412733,0.0310429086504046
1952,0.288692053540851,0.711307946459149,0.565862779521635,0.297001931221689,0.217764332709733,0.0994554188207558,0.0305277505716268
1953,0.29683605927098,0.70316394072902,0.554150757351892,0.283302583954548,0.207244922166653,0.0944392299225612,0.0294759197297299
1954,0.294466501079471,0.705533498920529,0.55105288585965,0.288182783044313,0.210090406369206,0.0950568830834937,0.0291543117011647
1955,0.290325611559032,0.709674388440968,0.550140790526085,0.290640817702411,0.210089989904262,0.0974356151072645,0.0307644512658072
1956,0.28693742954386,0.71306257045614,0.559602460984686,0.294183353764475,0.216161797449186,0.0996197383960225,0.0316369114103978
