"date","ff","shadow"
1960-01-01,4,
1960-02-01,4,
1960-03-01,4,
1960-04-01,4,
1960-05-01,3.5,
1960-06-01,3.5,
1960-07-01,3.25,
1960-08-01,3,
1960-09-01,3,
1960-10-01,2.75,
1960-11-01,0.25,
1960-12-01,3,
1961-01-01,2.25,
1961-02-01,2,
1961-03-01,2,
1961-04-01,0.5,
1961-05-01,1,
1961-06-01,0.5,
1961-07-01,2.5,
1961-08-01,1.75,
1961-09-01,1.5,
1961-10-01,2,
1961-11-01,1.75,
1961-12-01,2.5,
1962-01-01,1.5,
1962-02-01,2.75,
1962-03-01,2.75,
1962-04-01,2.5,
1962-05-01,2.75,
1962-06-01,2.75,
1962-07-01,2.75,
1962-08-01,3,
1962-09-01,2.75,
1962-10-01,3,
1962-11-01,2.88,
1962-12-01,3,
1963-01-01,3,
1963-02-01,3,
1963-03-01,3,
1963-04-01,3,
1963-05-01,3,
1963-06-01,3,
1963-07-01,3.5,
1963-08-01,3.5,
1963-09-01,3.5,
1963-10-01,3.5,
1963-11-01,3.5,
1963-12-01,3.25,
1964-01-01,3.5,
1964-02-01,3.5,
1964-03-01,3.5,
1964-04-01,3.5,
1964-05-01,3.5,
1964-06-01,3.5,
1964-07-01,3.5,
1964-08-01,3.5,
1964-09-01,2.75,
1964-10-01,3.5,
1964-11-01,4,
1964-12-01,4,
1965-01-01,4,
1965-02-01,4,
1965-03-01,4,
1965-04-01,4.13,
1965-05-01,4.13,
1965-06-01,4.13,
1965-07-01,4.13,
1965-08-01,4,
1965-09-01,4.13,
1965-10-01,4.13,
1965-11-01,4.13,
1965-12-01,4.63,
1966-01-01,4.5,
1966-02-01,4.63,
1966-03-01,4.75,
1966-04-01,4.63,
1966-05-01,4.75,
1966-06-01,5.5,
1966-07-01,5.75,
1966-08-01,4.5,
1966-09-01,5.75,
1966-10-01,5.75,
1966-11-01,5.75,
1966-12-01,5,
1967-01-01,4,
1967-02-01,4.75,
1967-03-01,4.5,
1967-04-01,4,
1967-05-01,4.13,
1967-06-01,3.5,
1967-07-01,3.75,
1967-08-01,4,
1967-09-01,3.75,
1967-10-01,4.13,
1967-11-01,4.5,
1967-12-01,4.5,
1968-01-01,4.75,
1968-02-01,4.75,
1968-03-01,5.25,
1968-04-01,6.25,
1968-05-01,6.13,
1968-06-01,5.5,
1968-07-01,6,
1968-08-01,5.75,
1968-09-01,5.5,
1968-10-01,6,
1968-11-01,6,
1968-12-01,4,
1969-01-01,6.38,
1969-02-01,7,
1969-03-01,6.25,
1969-04-01,8,
1969-05-01,9.38,
1969-06-01,7.5,
1969-07-01,8.75,
1969-08-01,9.75,
1969-09-01,8.5,
1969-10-01,9,
1969-11-01,9.25,
1969-12-01,5,
1970-01-01,9.38,
1970-02-01,8.5,
1970-03-01,7.5,
1970-04-01,8.5,
1970-05-01,7.88,
1970-06-01,5.75,
1970-07-01,6.75,
1970-08-01,6.5,
1970-09-01,5,
1970-10-01,6.13,
1970-11-01,5.5,
1970-12-01,3,
1971-01-01,4,
1971-02-01,3.38,
1971-03-01,4.5,
1971-04-01,4.25,
1971-05-01,4.88,
1971-06-01,4.75,
1971-07-01,5.5,
1971-08-01,5.75,
1971-09-01,5.38,
1971-10-01,5.13,
1971-11-01,4.25,
1971-12-01,3,
1972-01-01,3.13,
1972-02-01,3.25,
1972-03-01,4,
1972-04-01,4.31,
1972-05-01,4.75,
1972-06-01,4.5,
1972-07-01,4.5,
1972-08-01,5.13,
1972-09-01,4.88,
1972-10-01,4.88,
1972-11-01,5.19,
1972-12-01,5.5,
1973-01-01,6.5,
1973-02-01,7.5,
1973-03-01,7.38,
1973-04-01,7.63,
1973-05-01,8.13,
1973-06-01,8.88,
1973-07-01,11.22,
1973-08-01,11.22,
1973-09-01,10.82,
1973-10-01,10.61,
1973-11-01,10.34,
1973-12-01,9.83,
1974-01-01,9.31,
1974-02-01,8.87,
1974-03-01,9.95,
1974-04-01,11,
1974-05-01,11.64,
1974-06-01,13.31,
1974-07-01,12.06,
1974-08-01,11.6,
1974-09-01,11.11,
1974-10-01,9.66,
1974-11-01,9.47,
1974-12-01,3.87,
1975-01-01,6.76,
1975-02-01,6.07,
1975-03-01,5.39,
1975-04-01,7.03,
1975-05-01,5.23,
1975-06-01,5.97,
1975-07-01,6.23,
1975-08-01,6.13,
1975-09-01,6.22,
1975-10-01,5.65,
1975-11-01,5.29,
1975-12-01,5.37,
1976-01-01,4.84,
1976-02-01,4.89,
1976-03-01,5.07,
1976-04-01,5.1,
1976-05-01,5.67,
1976-06-01,5.71,
1976-07-01,5.32,
1976-08-01,5.31,
1976-09-01,5.31,
1976-10-01,5.02,
1976-11-01,4.69,
1976-12-01,4.17,
1977-01-01,4.65,
1977-02-01,4.73,
1977-03-01,4.72,
1977-04-01,5.12,
1977-05-01,5.47,
1977-06-01,5.64,
1977-07-01,5.86,
1977-08-01,6.03,
1977-09-01,6.46,
1977-10-01,6.6,
1977-11-01,6.56,
1977-12-01,6.53,
1978-01-01,6.79,
1978-02-01,6.83,
1978-03-01,6.97,
1978-04-01,7.25,
1978-05-01,7.43,
1978-06-01,8.01,
1978-07-01,8,
1978-08-01,8.4,
1978-09-01,8.9,
1978-10-01,9.35,
1978-11-01,9.94,
1978-12-01,10.84,
1979-01-01,10.57,
1979-02-01,10.24,
1979-03-01,10.07,
1979-04-01,10.43,
1979-05-01,10.31,
1979-06-01,10.54,
1979-07-01,10.81,
1979-08-01,11.29,
1979-09-01,12.16,
1979-10-01,14.82,
1979-11-01,13.96,
1979-12-01,14.77,
1980-01-01,13.4,
1980-02-01,16.33,
1980-03-01,19.85,
1980-04-01,14.64,
1980-05-01,11.06,
1980-06-01,10.44,
1980-07-01,9.93,
1980-08-01,10.74,
1980-09-01,13.19,
1980-10-01,13.77,
1980-11-01,18.56,
1980-12-01,22,
1981-01-01,17.25,
1981-02-01,15.53,
1981-03-01,14.63,
1981-04-01,18.92,
1981-05-01,17.56,
1981-06-01,18.64,
1981-07-01,17.46,
1981-08-01,16.83,
1981-09-01,16.58,
1981-10-01,14.44,
1981-11-01,12.44,
1981-12-01,13.13,
1982-01-01,14.21,
1982-02-01,13.74,
1982-03-01,16.8,
1982-04-01,15.28,
1982-05-01,13.38,
1982-06-01,14.58,
1982-07-01,11.41,
1982-08-01,10.63,
1982-09-01,12.17,
1982-10-01,9.41,
1982-11-01,8.93,
1982-12-01,11.2,
1983-01-01,8.56,
1983-02-01,8.53,
1983-03-01,10.81,
1983-04-01,8.84,
1983-05-01,8.94,
1983-06-01,10.06,
1983-07-01,9.52,
1983-08-01,9.59,
1983-09-01,10.59,
1983-10-01,9.43,
1983-11-01,9.34,
1983-12-01,9.92,
1984-01-01,9.35,
1984-02-01,9.45,
1984-03-01,10.24,
1984-04-01,10.9,
1984-05-01,10.81,
1984-06-01,10.85,
1984-07-01,11.83,
1984-08-01,11.64,
1984-09-01,11.23,
1984-10-01,9.99,
1984-11-01,8.92,
1984-12-01,8.74,
1985-01-01,8.73,
1985-02-01,8.74,
1985-03-01,8.58,
1985-04-01,8.58,
1985-05-01,7.64,
1985-06-01,7.95,
1985-07-01,8.61,
1985-08-01,7.8,
1985-09-01,8.84,
1985-10-01,8.08,
1985-11-01,8.54,
1985-12-01,13.46,
1986-01-01,8.09,
1986-02-01,7.95,
1986-03-01,8.06,
1986-04-01,7.05,
1986-05-01,6.84,
1986-06-01,7.72,
1986-07-01,6.35,
1986-08-01,5.77,
1986-09-01,6.9,
1986-10-01,5.93,
1986-11-01,6.03,
1986-12-01,14.35,
1987-01-01,6.28,
1987-02-01,6.02,
1987-03-01,6.23,
1987-04-01,7.63,
1987-05-01,6.63,
1987-06-01,6.56,
1987-07-01,6.75,
1987-08-01,6.95,
1987-09-01,8.38,
1987-10-01,6.62,
1987-11-01,7.19,
1987-12-01,6.89,
1988-01-01,6.79,
1988-02-01,6.67,
1988-03-01,6.83,
1988-04-01,6.98,
1988-05-01,7.48,
1988-06-01,8.27,
1988-07-01,7.84,
1988-08-01,8.14,
1988-09-01,8.54,
1988-10-01,8.39,
1988-11-01,8.5,
1988-12-01,9.04,
1989-01-01,9.14,
1989-02-01,9.87,
1989-03-01,9.79,
1989-04-01,9.82,
1989-05-01,10.48,
1989-06-01,9.63,
1989-07-01,8.94,
1989-08-01,8.92,
1989-09-01,9.24,
1989-10-01,8.89,
1989-11-01,8.6,
1989-12-01,7.97,
1990-01-01,8.26,7.94979833297833
1990-02-01,8.29,7.79750347102762
1990-03-01,8.3,7.9509563482731
1990-04-01,8.23,8.13632876790624
1990-05-01,8.23,7.7727899094338
1990-06-01,8.32,7.66850936415486
1990-07-01,8.05,7.53042621904417
1990-08-01,8.06,7.55474901762004
1990-09-01,8.03,7.51045173170882
1990-10-01,9.52,7.33898999500339
1990-11-01,7.61,7.1907365810926
1990-12-01,5.53,6.7576338713869
1991-01-01,8.18,6.38995533371065
1991-02-01,6.99,6.10359516636096
1991-03-01,5.53,5.75942857834753
1991-04-01,5.98,5.56057274920347
1991-05-01,5.92,5.54275588809492
1991-06-01,6.74,5.52920423423313
1991-07-01,5.85,5.45452539442252
1991-08-01,5.5,5.20854894699444
1991-09-01,5.6,5.01706150028372
1991-10-01,5.23,4.79698094421584
1991-11-01,4.86,4.40738547370066
1991-12-01,4.09,3.74803748176444
1992-01-01,4.4,3.59653493247717
1992-02-01,4.13,3.53362033549439
1992-03-01,4.07,3.52929196186183
1992-04-01,3.85,3.26677246702553
1992-05-01,3.8,3.28777197770274
1992-06-01,4.53,3.41979860362263
1992-07-01,3.37,3.10088820021058
1992-08-01,3.51,3.0814570659258
1992-09-01,4.47,2.84950075215069
1992-10-01,3.04,2.94839943228799
1992-11-01,3.45,2.98305317212807
1992-12-01,2.66,2.75757713285953
1993-01-01,3.02,2.8158270528483
1993-02-01,3.18,2.87044820279727
1993-03-01,3.83,2.92547776657819
1993-04-01,3.01,2.91226032848024
1993-05-01,3.02,3.10141099184876
1993-06-01,3.92,3.13662932663363
1993-07-01,3.07,3.0810375894548
1993-08-01,3.19,3.08617962334254
1993-09-01,3.99,3.03764463590414
1993-10-01,3.03,3.11137145125299
1993-11-01,3.16,3.13468518506237
1993-12-01,2.85,3.12744610945956
1994-01-01,3.68,3.04533151132082
1994-02-01,3.49,3.42867923113284
1994-03-01,4.18,3.6875159333393
1994-04-01,3.73,4.06585809458144
1994-05-01,4.6,4.43178311604578
1994-06-01,5.96,4.68378122592799
1994-07-01,4.29,4.70136387674415
1994-08-01,4.7,4.74293162888099
