"Name","F","Dates","Comments"
"IPP","M","1959:01  2001:07","INDUSTRIAL PRODUCTION: PRODUCTS, TOTAL (1992=100,SA)"
"IPF","M","1959:01  2001:07","INDUSTRIAL PRODUCTION: FINAL PRODUCTS (1992=100,SA)"
"IPC","M","1959:01  2001:07","INDUSTRIAL PRODUCTION: CONSUMER GOODS (1992=100,SA)"
"IPCD","M","1959:01  2001:07","INDUSTRIAL PRODUCTION: DURABLE CONS. GOODS (1992=100,SA)"
"IPCN","M","1959:01  2001:07","INDUSTRIAL PRODUCTION: NONDURABLE CONS. GOODS (1992=100,SA)"
"IPE","M","1959:01  2001:07","INDUSTRIAL PRODUCTION: BUSINESS EQUIPMENT (1992=100,SA)"
"IPI","M","1959:01  2001:07","INDUSTRIAL PRODUCTION: INTERMEDIATE PRODUCTS (1992=100,SA)"
"IPM","M","1959:01  2001:07","INDUSTRIAL PRODUCTION: MATERIALS (1992=100,SA)"
"IPMD","M","1959:01  2001:07","INDUSTRIAL PRODUCTION: DURABLE GOODS MATERIALS (1992=100,SA)"
"IPMND","M","1959:01  2001:07","INDUSTRIAL PRODUCTION: NONDUR. GOODS MATERIALS (1992=100,SA)"
"IPMFG","M","1959:01  2001:07","INDUSTRIAL PRODUCTION: MANUFACTURING (1992=100,SA)"
"IPD","M","1959:01  2001:07","INDUSTRIAL PRODUCTION: DURABLE MANUFACTURING (1992=100,SA)"
"IPN","M","1959:01  2001:07","INDUSTRIAL PRODUCTION: NONDUR. MANUFACTURING (1992=100,SA)"
"IPMIN","M","1959:01  2001:07","INDUSTRIAL PRODUCTION: MINING (1992=100,SA)"
"IPUT","M","1959:01  2001:07","INDUSTRIAL PRODUCTION: UTILITIES (1992-=100,SA)"
"IP","M","1959:01  2001:07","INDUSTRIAL PRODUCTION: TOTAL INDEX (1992=100,SA)"
"IPXMCA","M","1959:01  2001:07","CAPACITY UTIL RATE: MANUFAC.,TOTAL(% OF CAPACITY,SA)(FRB)"
"PMI","M","1959:01  2001:07","PURCHASING MANAGERS' INDEX (SA)"
"PMP","M","1959:01  2001:07","NAPM PRODUCTION INDEX (PERCENT)"
"GMPYQ","M","1959:01  2001:07","PERSONAL INCOME (CHAINED) (SERIES #52) (BIL 92$,SAAR)"
"GMYXPQ","M","1959:01  2001:07","PERSONAL INC. LESS TRANS. PAYMENTS (CHAINED) (#51) (BIL 92$,SAAR)"
"LHEL","M","1959:01  2001:07","INDEX OF HELP-WANTED ADVERTISING IN NEWSPAPERS (1967=100;SA)"
"LHELX","M","1959:01  2001:07","EMPLOYMENT: RATIO; HELP-WANTED ADS:NO. UNEMPLOYED CLF"
"LHEM","M","1959:01  2001:07","CIVILIAN LABOR FORCE: EMPLOYED, TOTAL (THOUS.,SA)"
"LHNAG","M","1959:01  2001:07","CIVILIAN LABOR FORCE: EMPLOYED, NONAG.INDUSTRIES (THOUS.,SA)"
"LHUR","M","1959:01  2001:07","UNEMPLOYMENT RATE: ALL WORKERS, 16 YEARS & OVER (%,SA)"
"LHU680","M","1959:01  2001:07","UNEMPLOY.BY DURATION: AVERAGE(MEAN)DURATION IN WEEKS (SA)"
"LHU5","M","1959:01  2001:07","UNEMPLOY.BY DURATION: PERS UNEMPL.LESS THAN 5 WKS (THOUS.,SA)"
"LHU14","M","1959:01  2001:07","UNEMPLOY.BY DURATION: PERS UNEMPL.5 TO 14 WKS (THOUS.,SA)"
"LHU15","M","1959:01  2001:07","UNEMPLOY.BY DURATION: PERS UNEMPL.15 WKS + (THOUS.,SA)"
"LHU26","M","1959:01  2001:07","UNEMPLOY.BY DURATION: PERS UNEMPL.15 TO 26 WKS (THOUS.,SA)"
"LPNAG","M","1959:01  2001:07","EMPLOYEES ON NONAG. PAYROLLS: TOTAL (THOUS.,SA)"
"LP","M","1959:01  2001:07","EMPLOYEES ON NONAG PAYROLLS: TOTAL, PRIVATE (THOUS,SA)"
"LPGD","M","1959:01  2001:07","EMPLOYEES ON NONAG. PAYROLLS: GOODS-PRODUCING (THOUS.,SA)"
"LPMI","M","1959:01  2001:07","EMPLOYEES ON NONAG. PAYROLLS: MINING (THOUS.,SA)"
"LPCC","M","1959:01  2001:07","EMPLOYEES ON NONAG. PAYROLLS: CONTRACT CONSTRUC. (THOUS.,SA)"
"LPEM","M","1959:01  2001:07","EMPLOYEES ON NONAG. PAYROLLS: MANUFACTURING (THOUS.,SA)"
"LPED","M","1959:01  2001:07","EMPLOYEES ON NONAG. PAYROLLS: DURABLE GOODS (THOUS.,SA)"
"LPEN","M","1959:01  2001:07","EMPLOYEES ON NONAG. PAYROLLS: NONDURABLE GOODS (THOUS.,SA)"
"LPSP","M","1959:01  2001:07","EMPLOYEES ON NONAG. PAYROLLS: SERVICE-PRODUCING (THOUS.,SA)"
"LPTU","M","1959:01  2001:07","EMPLOYEES ON NONAG. PAYROLLS: TRANS. & PUBLIC UTIL. (THOUS.,SA)"
"LPT","M","1959:01  2001:07","EMPLOYEES ON NONAG. PAYROLLS: WHOLESALE & RETAIL (THOUS.,SA)"
"LPFR","M","1959:01  2001:07","EMPLOYEES ON NONAG. PAYROLLS: FINANCE,INS.&REAL EST (THOUS.,SA"
"LPS","M","1959:01  2001:07","EMPLOYEES ON NONAG. PAYROLLS: SERVICES (THOUS.,SA)"
"LPGOV","M","1959:01  2001:07","EMPLOYEES ON NONAG. PAYROLLS: GOVERNMENT (THOUS.,SA)"
"LPHRM","M","1959:01  2001:07","AVG. WEEKLY HRS. OF PRODUCTION WKRS.: MANUFACTURING (SA)"
